Days Old,Inf,Name,Position,Nat,Age,Club,Ability,Potential,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Media Description,Expires,Left Foot,Right Foot,Av Rat,Apps,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,UID,Cor,Height
-,,Arda Süne,M/AM (C),GER,18,1. FC Köln,Unknown,Unknown,€35K - €100K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young attacking midfielder,30/6/2025,Strong,Very Strong,-,-,2,10,1,15,11,10,5,3,3,6,13,5,11,13,12,5,13,13,3,7,7,1,7,9,8,6,12,10,9,3,8,5,8,8,9,1,3,8,12,2000196582,3,184 cm
-,,Luis Cortijo-Lange,ST (C),GER,18,1. FC Köln,Unknown,Unknown,€28K - €85K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young striker,30/6/2024,Reasonable,Very Strong,-,-,3,13,1,11,9,10,7,8,2,7,11,4,6,13,13,13,13,13,3,10,5,1,8,5,4,8,13,7,7,1,6,9,1,6,13,2,2,3,5,2000196609,6,184 cm
-,,Rasmus Carstensen,D/WB (R),DEN,22,1. FC Köln,Unknown,Unknown,€4.1M - €12.5M,"€41,500 p/m",-,-,-,Fairly Determined,Level-headed,Enthusiastic full-back,30/6/2026,Reasonable,Very Strong,-,-,3,14,3,12,12,12,11,11,2,11,10,12,11,15,12,8,11,13,2,8,11,3,7,8,10,12,14,12,10,3,15,11,13,15,12,3,1,11,16,27155679,8,183 cm
-,,Marvin Schwäbe,GK,GER,28,1. FC Köln,Unknown,Unknown,€3.1M - €9.4M,"€137,000 p/m",-,-,-,Light-Hearted,Unflappable,Goalkeeper,30/6/2027,Weak,Very Strong,-,-,15,9,12,10,13,13,13,14,12,15,13,4,13,13,3,3,10,6,13,7,16,12,13,2,3,3,11,11,15,15,12,13,2,15,10,12,13,10,12,91108114,4,190 cm
-,,Julian Pauli,D (C),GER,17,1. FC Köln,Unknown,Unknown,€160K - €475K,"€5,250 p/m",-,-,-,Balanced,Level-headed,Young centre-back,30/6/2026,Reasonable,Very Strong,-,-,1,12,1,10,12,9,7,9,2,8,7,3,13,13,3,3,7,6,3,9,9,2,3,5,13,5,11,7,11,2,9,7,13,2,6,3,2,2,7,2000178873,2,186 cm
-,Inj,Noah Katterbach,D/WB (L),GER,22,1. FC Köln,Unknown,Unknown,€950K - €2.9M,"€125,000 p/m",-,-,-,Fairly Professional,Level-headed,Full-back,30/6/2024,Very Strong,Fairly Strong,-,-,4,13,1,9,12,12,12,11,1,10,12,13,11,12,13,7,13,13,1,8,10,2,7,8,10,12,13,13,11,2,13,10,11,12,13,3,3,12,12,91178620,11,180 cm
-,Yth,Justin von der Hitz,D/WB/M (R),GER,16,1. FC Köln,Unknown,Unknown,€200K - €600K,€275 p/m,-,-,-,Balanced,Level-headed,Young full-back,30/6/2025,Fairly Strong,Very Strong,-,-,2,12,3,8,14,6,8,8,1,9,6,12,13,13,8,4,13,5,3,3,7,2,9,7,7,6,12,9,5,2,8,6,7,8,9,1,2,8,9,2000180865,7,176 cm
-,,Benjamin Bußmann,GK,GER,18,1. FC Köln,Unknown,Unknown,€26K - €80K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young goalkeeper,30/6/2024,Very Strong,Very Strong,-,-,9,9,9,11,8,5,7,14,9,7,3,2,13,13,2,2,4,1,13,1,7,11,9,1,2,2,11,8,10,13,5,6,3,7,4,7,12,6,6,2000190872,3,186 cm
-,,Linton Maina,M/AM (RL),GER,24,1. FC Köln,Unknown,Unknown,€2M - €5.8M,"€70,500 p/m",-,-,-,Fairly Ambitious,Media-friendly,Winger,30/6/2025,Fairly Strong,Very Strong,-,-,1,16,2,8,15,12,8,8,2,10,11,12,10,11,14,10,12,15,2,5,6,3,4,8,7,12,16,12,7,1,12,8,7,11,14,2,1,12,13,91151069,11,173 cm
-,Yth,Alessandro Blažič,GK,GER,17,1. FC Köln,Unknown,Unknown,€28K - €85K,€275 p/m,-,-,-,Balanced,Level-headed,Young goalkeeper,30/6/2024,Fairly Strong,Very Strong,-,-,8,14,8,5,9,7,6,11,10,11,3,2,13,13,3,2,3,1,9,1,8,13,1,2,2,2,14,8,6,13,1,4,3,7,6,7,5,6,6,2000183022,3,189 cm
-,,Aaron Bayakala,"AM (C), ST (C)",GER,18,1. FC Köln,Unknown,Unknown,€18K - €55K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young striker,30/6/2024,Reasonable,Very Strong,-,-,3,12,1,9,13,3,6,3,1,6,8,3,13,13,7,13,13,11,3,10,5,2,11,7,4,9,13,6,6,1,7,6,5,5,11,3,1,3,7,2000133459,4,171 cm
-,,Florian Kainz,M/AM (LC),AUT,30,1. FC Köln,Unknown,Unknown,€4M - €12M,"€125,000 p/m",-,-,-,Fairly Ambitious,Media-friendly,Winger,30/6/2025,Fairly Strong,Very Strong,-,-,3,14,2,14,15,12,10,9,2,11,13,16,12,12,13,11,14,15,4,7,7,1,14,11,8,12,12,14,10,1,14,8,8,12,15,3,4,15,14,16042540,15,176 cm
-,,Phil Thieltges,"DM, M (C)",GER,17,1. FC Köln,Unknown,Unknown,€35K - €100K,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,1,8,2,14,11,8,8,12,1,8,8,8,8,11,12,8,13,5,1,6,6,2,9,10,8,11,9,11,8,3,11,1,11,13,14,2,3,12,12,2000196576,7,168 cm
-,,Faride Alidou,M/AM (RL),GER,21,1. FC Köln,Unknown,Unknown,€2.2M - €6.6M,"€83,000 p/m",-,-,-,Balanced,Media-friendly,Winger,30/6/2026,Reasonable,Very Strong,-,-,3,16,3,11,13,9,10,9,3,9,10,11,9,12,16,9,12,16,4,8,12,2,2,8,7,12,16,11,7,1,11,11,7,10,13,2,3,11,9,91206292,8,186 cm
-,,Philipp Pentke,GK,GER,38,1. FC Köln,Unknown,Unknown,€7K - €20K,"€29,000 p/m",-,-,-,Fairly Professional,Media-friendly,Veteran goalkeeper,30/6/2024,Weak,Very Strong,-,-,13,7,13,10,13,12,11,12,11,13,10,2,12,10,2,1,7,5,13,5,15,10,12,3,1,2,8,9,13,14,9,12,2,16,8,11,10,7,12,8707663,2,191 cm
-,Yth,Samuele Carella,DM,GER,17,1. FC Köln,Unknown,Unknown,€30K - €90K,€275 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2024,Reasonable,Very Strong,-,-,3,12,1,6,12,9,4,7,2,8,6,6,14,8,5,3,13,5,2,5,10,2,10,9,6,3,11,8,11,4,6,5,12,8,11,2,1,8,11,2000310834,6,183 cm
-,Yth,Etienne Borié,AM (C),GER,17,1. FC Köln,Unknown,Unknown,€190K - €550K,€275 p/m,-,-,-,Resolute,Level-headed,Young attacking midfielder,30/6/2024,Very Strong,Strong,-,-,4,10,3,5,12,9,7,8,2,7,6,7,14,15,12,8,10,16,1,7,9,3,6,8,4,9,10,12,5,1,11,6,6,7,12,1,1,14,8,2000263460,8,175 cm
-,Yth,Nick Zimmermann,DM,GER,17,1. FC Köln,Unknown,Unknown,€35K - €100K,€275 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,4,13,2,15,14,8,7,7,2,4,7,4,14,2,2,7,9,5,3,6,6,2,3,10,6,5,14,10,6,1,5,8,12,7,12,1,2,9,9,2000310837,6,173 cm
-,,Marlon Becker,M/AM (C),GER,18,1. FC Köln,Unknown,Unknown,€22K - €65K,"€2,800 p/m",-,-,-,Balanced,Level-headed,Young attacking midfielder,30/6/2024,Reasonable,Very Strong,-,-,3,13,1,13,12,6,4,2,3,6,7,7,10,13,9,8,13,9,1,5,5,4,2,5,5,7,13,6,6,3,12,3,7,6,8,3,2,9,7,2000190871,5,179 cm
