Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-14,19:30,La Liga,Matchweek 1,Mon,Away,L,0.0,1.0,Cádiz,0.3,0.7,55.0,19306.0,Rubén Duarte,5-4-1,Isidro Díaz de Mera,Match Report,
2023-08-21,19:00,La Liga,Matchweek 2,Mon,Home,W,4.0,3.0,Sevilla,1.8,0.6,34.0,15308.0,Rubén Duarte,4-4-2,Guillermo Cuadra,Match Report,
2023-08-28,19:30,La Liga,Matchweek 3,Mon,Away,L,0.0,1.0,Getafe,0.7,2.2,53.0,11023.0,Rubén Duarte,4-3-3,Juan Martínez,Match Report,
2023-09-02,18:30,La Liga,Matchweek 4,Sat,Home,W,1.0,0.0,Valencia,1.3,0.8,40.0,16641.0,Rubén Duarte,4-2-3-1,Pablo González,Match Report,
2023-09-15,21:00,La Liga,Matchweek 5,Fri,Away,L,0.0,2.0,Rayo Vallecano,0.7,2.6,49.0,12116.0,Rubén Duarte,4-2-3-1,Víctor García,Match Report,
2023-09-22,21:00,La Liga,Matchweek 6,Fri,Home,L,0.0,2.0,Athletic Club,1.1,1.7,44.0,19421.0,Rubén Duarte,4-2-3-1,Alejandro Muñíz,Match Report,
2023-09-28,19:00,La Liga,Matchweek 7,Thu,Away,D,1.0,1.0,Celta Vigo,2.6,0.6,54.0,16852.0,Ander Guevara,4-2-3-1,César Soto,Match Report,
2023-10-01,16:15,La Liga,Matchweek 8,Sun,Home,L,0.0,2.0,Osasuna,1.5,1.1,46.0,19035.0,Rubén Duarte,4-2-3-1,Jorge Figueroa,Match Report,
2023-10-08,18:30,La Liga,Matchweek 9,Sun,Home,D,1.0,1.0,Betis,1.3,0.9,40.0,18288.0,Luis Rioja,4-2-3-1,Alejandro Hernández,Match Report,
2023-10-22,18:30,La Liga,Matchweek 10,Sun,Away,D,1.0,1.0,Villarreal,1.7,1.5,32.0,17498.0,Rubén Duarte,4-2-3-1,Jesús Gil,Match Report,
2023-10-29,21:00,La Liga,Matchweek 11,Sun,Away,L,1.0,2.0,Atlético Madrid,0.5,1.3,37.0,50009.0,Rubén Duarte,4-2-3-1,Alejandro Muñíz,Match Report,
2023-11-02,21:00,Copa del Rey,First round,Thu,Away,W,10.0,0.0,Deportivo Murcia,,,63.0,2500.0,Rubén Duarte,4-2-3-1,José Luis Munuera,Match Report,
2023-11-05,14:00,La Liga,Matchweek 12,Sun,Home,W,1.0,0.0,Almería,2.4,0.5,56.0,16380.0,Luis Rioja,4-2-3-1,Juan Pulido,Match Report,
2023-11-12,16:15,La Liga,Matchweek 13,Sun,Away,L,1.0,2.0,Barcelona,1.7,1.6,29.0,38183.0,Rubén Duarte,5-4-1,Mateo Busquets,Match Report,
2023-11-24,21:00,La Liga,Matchweek 14,Fri,Home,W,3.0,1.0,Granada,0.8,1.1,43.0,15705.0,Luis Rioja,4-2-3-1,Alberola Rojas,Match Report,
2023-12-03,14:00,La Liga,Matchweek 15,Sun,Away,D,0.0,0.0,Mallorca,0.3,0.8,37.0,15090.0,Luis Rioja,4-2-3-1,Jorge Figueroa,Match Report,
2023-12-06,16:00,Copa del Rey,Second round,Wed,Away,W,1.0,0.0,Terrassa,,,45.0,7000.0,Rubén Duarte,4-2-3-1,Jesús Gil,Match Report,
2023-12-09,14:00,La Liga,Matchweek 16,Sat,Home,L,0.0,1.0,Las Palmas,1.9,0.4,41.0,15971.0,Luis Rioja,4-4-1-1,José Luis Munuera,Match Report,
