Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-11,19:30,La Liga,Matchweek 1,Fri,Home,L,0.0,2.0,Rayo Vallecano,1.4,2.1,60.0,14837.0,Lucas Robertone,4-2-3-1,Alberola Rojas,Match Report,
2023-08-19,19:30,La Liga,Matchweek 2,Sat,Home,L,1.0,3.0,Real Madrid,1.3,2.0,43.0,17561.0,Lucas Robertone,4-2-3-1,José Sánchez,Match Report,
2023-08-26,19:00,La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Cádiz,0.3,1.6,48.0,18653.0,Juan Brandáriz,4-2-3-1,Víctor García,Match Report,
2023-09-01,22:00,La Liga,Matchweek 4,Fri,Home,L,2.0,3.0,Celta Vigo,3.0,1.5,63.0,14196.0,Lucas Robertone,4-2-3-1,Ricardo de Burgos,Match Report,
2023-09-17,16:15,La Liga,Matchweek 5,Sun,Away,L,1.0,2.0,Villarreal,1.5,0.9,38.0,18467.0,Lucas Robertone,4-2-3-1,Francisco Hernández,Match Report,
2023-09-23,21:00,La Liga,Matchweek 6,Sat,Home,D,2.0,2.0,Valencia,2.6,0.8,61.0,14266.0,Lucas Robertone,4-2-3-1,Mateo Busquets,Match Report,
2023-09-26,19:00,La Liga,Matchweek 7,Tue,Away,L,1.0,5.0,Sevilla,1.8,2.2,54.0,35729.0,Gonzalo Melero,4-4-2,Guillermo Cuadra,Match Report,
2023-10-01,14:00,La Liga,Matchweek 8,Sun,Home,D,3.0,3.0,Granada,2.9,2.9,49.0,14264.0,Gonzalo Melero,4-3-3,Pablo González,Match Report,
2023-10-06,21:00,La Liga,Matchweek 9,Fri,Away,L,0.0,3.0,Athletic Club,0.1,1.9,41.0,43677.0,Adri Embarba,4-4-2,Víctor García,Match Report,
2023-10-22,16:15,La Liga,Matchweek 10,Sun,Away,L,2.0,5.0,Girona,1.0,1.9,34.0,12884.0,Lucas Robertone,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2023-10-28,14:00,La Liga,Matchweek 11,Sat,Home,L,1.0,2.0,Las Palmas,0.3,0.9,41.0,12132.0,Lucas Robertone,4-2-3-1,Francisco Hernández,Match Report,
2023-10-31,21:00,Copa del Rey,First round,Tue,Away,W,2.0,0.0,CF Talavera de la Reina,,,48.0,3118.0,Gonzalo Melero,4-2-3-1,Mateo Busquets,Match Report,
2023-11-05,14:00,La Liga,Matchweek 12,Sun,Away,L,0.0,1.0,Alavés,0.5,2.4,44.0,16380.0,Lucas Robertone,4-2-3-1,Juan Pulido,Match Report,
2023-11-11,16:15,La Liga,Matchweek 13,Sat,Home,L,1.0,3.0,Real Sociedad,0.4,2.4,47.0,13016.0,Lucas Robertone,4-2-3-1,Isidro Díaz de Mera,Match Report,
