Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,21:30,La Liga,Matchweek 1,Sat,Home,L,0.0,2.0,Real Madrid,0.4,0.9,46.0,48927.0,Iker Muniain,4-2-3-1,Jesús Gil,Match Report,
2023-08-19,21:30,La Liga,Matchweek 2,Sat,Away,W,2.0,0.0,Osasuna,1.5,1.3,37.0,20704.0,Óscar de Marcos,4-2-3-1,José Luis Munuera,Match Report,
2023-08-27,21:30,La Liga,Matchweek 3,Sun,Home,W,4.0,2.0,Betis,2.9,0.4,48.0,44340.0,Iker Muniain,4-2-3-1,César Soto,Match Report,
2023-09-03,16:15,La Liga,Matchweek 4,Sun,Away,D,0.0,0.0,Mallorca,0.6,0.4,67.0,17043.0,Iñaki Williams,4-2-3-1,Jorge Figueroa,Match Report,
2023-09-16,14:00,La Liga,Matchweek 5,Sat,Home,W,3.0,0.0,Cádiz,2.9,0.3,65.0,42881.0,Óscar de Marcos,4-2-3-1,Guillermo Cuadra,Match Report,
2023-09-22,21:00,La Liga,Matchweek 6,Fri,Away,W,2.0,0.0,Alavés,1.7,1.1,56.0,19421.0,Óscar de Marcos,4-2-3-1,Alejandro Muñíz,Match Report,
2023-09-27,19:00,La Liga,Matchweek 7,Wed,Home,D,2.0,2.0,Getafe,0.7,1.4,49.0,43091.0,Óscar de Marcos,4-2-3-1,Isidro Díaz de Mera,Match Report,
2023-09-30,21:00,La Liga,Matchweek 8,Sat,Away,L,0.0,3.0,Real Sociedad,1.8,1.4,49.0,38229.0,Iker Muniain,4-2-3-1,Jesús Gil,Match Report,
2023-10-06,21:00,La Liga,Matchweek 9,Fri,Home,W,3.0,0.0,Almería,1.9,0.1,59.0,43677.0,Óscar de Marcos,4-2-3-1,Víctor García,Match Report,
2023-10-22,21:00,La Liga,Matchweek 10,Sun,Away,L,0.0,1.0,Barcelona,0.4,1.3,38.0,38194.0,Óscar de Marcos,4-2-3-1,Juan Martínez,Match Report,
