Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-14,21:30,La Liga,Matchweek 1,Mon,Home,W,3.0,1.0,Granada,2.4,0.9,46.0,56164.0,Koke,3-5-2,Juan Pulido,Match Report,
2023-08-20,21:30,La Liga,Matchweek 2,Sun,Away,D,0.0,0.0,Betis,0.5,0.7,47.0,51782.0,Jan Oblak,5-3-2,Ricardo de Burgos,Match Report,
2023-08-28,21:30,La Liga,Matchweek 3,Mon,Away,W,7.0,0.0,Rayo Vallecano,3.4,0.6,44.0,13966.0,Jan Oblak,5-3-2,José Luis Munuera,Match Report,
2023-09-16,16:15,La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Valencia,0.6,1.3,63.0,45363.0,Jan Oblak,5-3-2,Jesús Gil,Match Report,
2023-09-19,21:00,Champions Lg,Group stage,Tue,Away,D,1.0,1.0,it Lazio,0.9,1.2,51.0,46168.0,Jan Oblak,5-3-2,Slavko Vinčič,Match Report,
2023-09-24,21:00,La Liga,Matchweek 6,Sun,Home,W,3.0,1.0,Real Madrid,1.4,1.0,37.0,69082.0,Koke,5-3-2,Alberola Rojas,Match Report,
2023-09-28,21:30,La Liga,Matchweek 7,Thu,Away,W,2.0,0.0,Osasuna,1.5,1.0,45.0,20192.0,Koke,5-3-2,Juan Martínez,Match Report,
2023-10-01,21:00,La Liga,Matchweek 8,Sun,Home,W,3.0,2.0,Cádiz,2.7,0.8,69.0,53421.0,Koke,3-5-2,Javier Villanueva,Match Report,
2023-10-04,18:45,Champions Lg,Group stage,Wed,Home,W,3.0,2.0,nl Feyenoord,0.8,2.4,48.0,61742.0,Koke,3-5-2,François Letexier,Match Report,
2023-10-08,16:15,La Liga,Matchweek 9,Sun,Home,W,2.0,1.0,Real Sociedad,2.2,1.2,38.0,65607.0,Koke,3-5-2,José Luis Munuera,Match Report,
2023-10-21,21:00,La Liga,Matchweek 10,Sat,Away,W,3.0,0.0,Celta Vigo,1.8,0.9,64.0,20282.0,Koke,3-5-2,Guillermo Cuadra,Match Report,
2023-10-25,20:00,Champions Lg,Group stage,Wed,Away,D,2.0,2.0,sct Celtic,2.1,0.9,48.0,55844.0,Koke,3-5-2,Felix Zwayer,Match Report,
2023-10-29,21:00,La Liga,Matchweek 11,Sun,Home,W,2.0,1.0,Alavés,1.3,0.5,63.0,50009.0,Koke,3-5-2,Alejandro Muñíz,Match Report,
2023-11-03,20:00,La Liga,Matchweek 12,Fri,Away,L,1.0,2.0,Las Palmas,1.2,0.4,48.0,30080.0,Koke,5-3-2,Mario Melero,Match Report,
2023-11-07,21:00,Champions Lg,Group stage,Tue,Home,W,6.0,0.0,sct Celtic,2.9,0.0,66.0,60863.0,Koke,5-3-2,Ivan Kružliak,Match Report,
2023-11-12,21:00,La Liga,Matchweek 13,Sun,Home,W,3.0,1.0,Villarreal,3.9,0.8,50.0,56632.0,Koke,3-5-2,Francisco Hernández,Match Report,
2023-11-25,21:00,La Liga,Matchweek 14,Sat,Home,W,1.0,0.0,Mallorca,1.7,1.1,68.0,58119.0,Koke,3-4-3,Juan Martínez,Match Report,
2023-11-28,21:00,Champions Lg,Group stage,Tue,Away,W,3.0,1.0,nl Feyenoord,1.3,1.1,49.0,43992.0,Koke,5-3-2,Anthony Taylor,Match Report,
2023-12-03,21:00,La Liga,Matchweek 15,Sun,Away,L,0.0,1.0,Barcelona,0.6,2.6,42.0,34568.0,Koke,5-3-2,José Sánchez,Match Report,
2023-12-10,14:00,La Liga,Matchweek 16,Sun,Home,W,2.0,1.0,Almería,2.2,1.3,57.0,55473.0,Koke,3-4-3,Ricardo de Burgos,Match Report,
