Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-13,21:30,La Liga,Matchweek 1,Sun,Away,D,0.0,0.0,Getafe,1.4,0.6,74.0,13410.0,Marc-André ter Stegen,4-2-3-1,César Soto,Match Report,
2023-08-20,19:30,La Liga,Matchweek 2,Sun,Home,W,2.0,0.0,Cádiz,3.4,1.1,74.0,39603.0,Marc-André ter Stegen,3-4-3,Alejandro Muñíz,Match Report,
2023-08-27,17:30,La Liga,Matchweek 3,Sun,Away,W,4.0,3.0,Villarreal,3.1,1.9,60.0,21679.0,Sergi Roberto,4-3-3,Alejandro Hernández,Match Report,
2023-09-03,21:00,La Liga,Matchweek 4,Sun,Away,W,2.0,1.0,Osasuna,2.0,0.8,69.0,21966.0,Sergi Roberto,4-3-3,Miguel Ángel Ortiz Arias,Match Report,
2023-09-16,21:00,La Liga,Matchweek 5,Sat,Home,W,5.0,0.0,Betis,2.4,0.8,65.0,45055.0,Marc-André ter Stegen,4-3-3,José Sánchez,Match Report,
2023-09-19,21:00,Champions Lg,Group stage,Tue,Home,W,5.0,0.0,be Antwerp,2.8,0.3,70.0,40989.0,Marc-André ter Stegen,4-3-3,Radu Petrescu,Match Report,
2023-09-23,18:30,La Liga,Matchweek 6,Sat,Home,W,3.0,2.0,Celta Vigo,1.6,1.5,74.0,43272.0,Marc-André ter Stegen,4-3-3,Mario Melero,Match Report,
2023-09-26,21:30,La Liga,Matchweek 7,Tue,Away,D,2.0,2.0,Mallorca,1.9,0.8,69.0,19939.0,Marc-André ter Stegen,4-3-3,Alejandro Muñíz,Match Report,
2023-09-29,21:00,La Liga,Matchweek 8,Fri,Home,W,1.0,0.0,Sevilla,2.4,1.1,58.0,41116.0,Marc-André ter Stegen,4-3-3,Miguel Ángel Ortiz Arias,Match Report,
2023-10-04,20:00,Champions Lg,Group stage,Wed,Away,W,1.0,0.0,pt Porto,1.3,0.7,56.0,49722.0,Marc-André ter Stegen,4-3-3,Anthony Taylor,Match Report,
2023-10-08,21:00,La Liga,Matchweek 9,Sun,Away,D,2.0,2.0,Granada,3.0,0.8,80.0,20354.0,Marc-André ter Stegen,4-3-3,César Soto,Match Report,
2023-10-22,21:00,La Liga,Matchweek 10,Sun,Home,W,1.0,0.0,Athletic Club,1.3,0.4,62.0,38194.0,Marc-André ter Stegen,4-3-3,Juan Martínez,Match Report,
2023-10-25,18:45,Champions Lg,Group stage,Wed,Home,W,2.0,1.0,ua Shakhtar,2.6,0.9,54.0,41409.0,Marc-André ter Stegen,4-3-3,Ivan Kružliak,Match Report,
2023-10-28,16:15,La Liga,Matchweek 11,Sat,Home,L,1.0,2.0,Real Madrid,1.5,1.1,53.0,50112.0,Marc-André ter Stegen,3-4-1-2,Jesús Gil,Match Report,
2023-11-04,21:00,La Liga,Matchweek 12,Sat,Away,W,1.0,0.0,Real Sociedad,1.2,0.9,49.0,37555.0,Marc-André ter Stegen,3-4-1-2,Alberola Rojas,Match Report,
2023-11-07,19:45,Champions Lg,Group stage,Tue,Away,L,0.0,1.0,ua Shakhtar,0.9,0.9,67.0,49147.0,Marc-André ter Stegen,4-3-3,Irfan Peljto,Match Report,
2023-11-12,16:15,La Liga,Matchweek 13,Sun,Home,W,2.0,1.0,Alavés,1.6,1.7,71.0,38183.0,Marc-André ter Stegen,4-2-3-1,Mateo Busquets,Match Report,
2023-11-25,14:00,La Liga,Matchweek 14,Sat,Away,D,1.0,1.0,Rayo Vallecano,1.0,0.7,67.0,14148.0,Frenkie de Jong,4-2-3-1,José Luis Munuera,Match Report,
2023-11-28,21:00,Champions Lg,Group stage,Tue,Home,W,2.0,1.0,pt Porto,1.8,1.1,54.0,43533.0,Ronald Araújo,4-3-3,Daniele Orsato,Match Report,
2023-12-03,21:00,La Liga,Matchweek 15,Sun,Home,W,1.0,0.0,Atlético Madrid,2.6,0.6,58.0,34568.0,Ronald Araújo,4-3-3,José Sánchez,Match Report,
2023-12-10,21:00,La Liga,Matchweek 16,Sun,Home,L,2.0,4.0,Girona,3.7,2.5,54.0,42848.0,Ronald Araújo,4-3-3,Isidro Díaz de Mera,Match Report,
2023-12-13,21:00,Champions Lg,Group stage,Wed,Away,L,2.0,3.0,be Antwerp,1.1,1.7,69.0,13550.0,Sergi Roberto,4-3-3,Marco Guida,Match Report,
2023-12-16,21:00,La Liga,Matchweek 17,Sat,Away,D,1.0,1.0,Valencia,3.2,0.5,63.0,46492.0,Ronald Araújo,4-3-3,Miguel Ángel Ortiz Arias,Match Report,
2023-12-20,19:00,La Liga,Matchweek 18,Wed,Home,W,3.0,2.0,Almería,3.4,1.6,65.0,34471.0,Sergi Roberto,4-3-3,Guillermo Cuadra,Match Report,
2024-01-04,20:30,La Liga,Matchweek 19,Thu,Away,W,2.0,1.0,Las Palmas,2.4,0.7,56.0,31712.0,Sergi Roberto,4-3-3,Pablo González,Match Report,
2024-01-07,21:00,Copa del Rey,Round of 32,Sun,Away,W,3.0,2.0,Barbastro,,,72.0,6000.0,Ronald Araújo,4-3-3,Juan Pulido,Match Report,
2024-01-11,22:00,Supercopa de España,Semi-finals,Thu,Home,W,2.0,0.0,Osasuna,,,68.0,23932.0,Sergi Roberto,4-3-3,Alejandro Muñíz,Match Report,
2024-01-14,22:00,Supercopa de España,Final,Sun,Away,L,1.0,4.0,Real Madrid,,,57.0,23977.0,Sergi Roberto,4-2-3-1,Juan Martínez,Match Report,
2024-01-18,19:30,Copa del Rey,Round of 16,Thu,Away,W,3.0,1.0,Unionistas Sal,,,74.0,6246.0,Sergi Roberto,4-3-3,Francisco Hernández,Match Report,
2024-01-21,18:30,La Liga,Matchweek 21,Sun,Away,W,4.0,2.0,Betis,3.0,1.1,63.0,53288.0,Ronald Araújo,4-3-3,Jesús Gil,Match Report,
2024-01-24,21:30,Copa del Rey,Quarter-finals,Wed,Away,L,2.0,4.0,Athletic Club,,,61.0,50403.0,Ronald Araújo,4-3-3,José Sánchez,Match Report,Required Extra Time
2024-01-27,18:30,La Liga,Matchweek 22,Sat,Home,L,3.0,5.0,Villarreal,2.2,2.1,70.0,46229.0,Ronald Araújo,4-3-3,José Luis Munuera,Match Report,
2024-01-31,19:00,La Liga,Matchweek 20,Wed,Home,W,1.0,0.0,Osasuna,1.9,1.0,68.0,37888.0,Ronald Araújo,4-3-3,Jorge Figueroa,Match Report,
2024-02-03,18:30,La Liga,Matchweek 23,Sat,Away,W,3.0,1.0,Alavés,1.2,1.0,64.0,19480.0,Ronald Araújo,4-3-3,Juan Martínez,Match Report,
2024-02-11,21:00,La Liga,Matchweek 24,Sun,Home,D,3.0,3.0,Granada,2.3,1.4,65.0,41901.0,Marc-André ter Stegen,4-3-3,Miguel Ángel Ortiz Arias,Match Report,
2024-02-17,18:30,La Liga,Matchweek 25,Sat,Away,W,2.0,1.0,Celta Vigo,1.5,0.8,66.0,23096.0,Marc-André ter Stegen,4-3-3,Juan Pulido,Match Report,
2024-02-21,21:00,Champions Lg,Round of 16,Wed,Away,D,1.0,1.0,it Napoli,0.7,0.9,50.0,49529.0,Marc-André ter Stegen,4-3-3,Felix Zwayer,Match Report,Leg 1 of 2
2024-02-24,16:15,La Liga,Matchweek 26,Sat,Home,W,4.0,0.0,Getafe,2.5,0.5,67.0,36803.0,Marc-André ter Stegen,4-3-3,Alejandro Muñíz,Match Report,
2024-03-03,21:00,La Liga,Matchweek 27,Sun,Away,,,,Athletic Club,,,,,,,,Head-to-Head,
2024-03-08,21:00,La Liga,Matchweek 28,Fri,Home,,,,Mallorca,,,,,,,,Head-to-Head,
2024-03-12,21:00,Champions Lg,Round of 16,Tue,Home,,,,it Napoli,,,,,,,,Head-to-Head,Leg 2 of 2; Napoli 1:1 Barcelona
2024-03-17,21:00,La Liga,Matchweek 29,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,
2024-03-30,21:00,La Liga,Matchweek 30,Sat,Home,,,,Las Palmas,,,,,,,,Head-to-Head,
2024-04-14,,La Liga,Matchweek 31,Sun,Away,,,,Cádiz,,,,,,,,Head-to-Head,
2024-04-21,,La Liga,Matchweek 32,Sun,Away,,,,Real Madrid,,,,,,,,Head-to-Head,
2024-04-28,,La Liga,Matchweek 33,Sun,Home,,,,Valencia,,,,,,,,Head-to-Head,
2024-05-05,,La Liga,Matchweek 34,Sun,Away,,,,Girona,,,,,,,,Head-to-Head,
2024-05-12,,La Liga,Matchweek 35,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,
2024-05-15,,La Liga,Matchweek 36,Wed,Away,,,,Almería,,,,,,,,Head-to-Head,
2024-05-19,,La Liga,Matchweek 37,Sun,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,
2024-05-26,,La Liga,Matchweek 38,Sun,Away,,,,Sevilla,,,,,,,,Head-to-Head,
