Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,17:00,La Liga,Matchweek 1,Sat,Away,D,1.0,1.0,Real Sociedad,0.8,1.0,52.0,30848.0,Cristhian Stuani,4-1-4-1,Francisco Hernández,Match Report,
2023-08-20,19:00,La Liga,Matchweek 2,Sun,Home,W,3.0,0.0,Getafe,1.4,0.7,63.0,11784.0,Cristhian Stuani,4-1-4-1,Jorge Figueroa,Match Report,
2023-08-26,21:30,La Liga,Matchweek 3,Sat,Away,W,2.0,1.0,Sevilla,1.7,1.7,48.0,29304.0,Cristhian Stuani,4-1-4-1,Jesús Gil,Match Report,
2023-09-03,14:00,La Liga,Matchweek 4,Sun,Home,W,1.0,0.0,Las Palmas,1.0,1.1,46.0,11619.0,Cristhian Stuani,4-1-4-1,Mateo Busquets,Match Report,
2023-09-18,21:00,La Liga,Matchweek 5,Mon,Away,W,4.0,2.0,Granada,2.8,1.6,57.0,17323.0,Aleix García,4-1-4-1,Isidro Díaz de Mera,Match Report,
2023-09-23,14:00,La Liga,Matchweek 6,Sat,Home,W,5.0,3.0,Mallorca,3.2,1.8,56.0,11511.0,Aleix García,4-1-4-1,Pablo González,Match Report,
2023-09-27,19:00,La Liga,Matchweek 7,Wed,Away,W,2.0,1.0,Villarreal,2.1,1.8,47.0,17188.0,Aleix García,4-1-4-1,José Sánchez,Match Report,
2023-09-30,18:30,La Liga,Matchweek 8,Sat,Home,L,0.0,3.0,Real Madrid,1.6,2.3,52.0,14184.0,Aleix García,4-1-4-1,Juan Pulido,Match Report,
2023-10-07,14:00,La Liga,Matchweek 9,Sat,Away,W,1.0,0.0,Cádiz,1.2,0.4,73.0,16438.0,Aleix García,3-4-3,Juan Martínez,Match Report,
2023-10-22,16:15,La Liga,Matchweek 10,Sun,Home,W,5.0,2.0,Almería,1.9,1.0,66.0,12884.0,Aleix García,3-4-3,Miguel Ángel Ortiz Arias,Match Report,
2023-10-27,21:00,La Liga,Matchweek 11,Fri,Home,W,1.0,0.0,Celta Vigo,0.6,0.2,65.0,12671.0,Aleix García,3-4-3,Isidro Díaz de Mera,Match Report,
2023-11-01,12:00,Copa del Rey,First round,Wed,Away,W,2.0,1.0,CD San Roque de Lepe,,,70.0,3000.0,Cristhian Stuani,4-3-3,Francisco Hernández,Match Report,
2023-11-04,14:00,La Liga,Matchweek 12,Sat,Away,W,4.0,2.0,Osasuna,2.2,1.4,50.0,20100.0,Aleix García,3-4-3,José Luis Munuera,Match Report,
2023-11-11,14:00,La Liga,Matchweek 13,Sat,Away,W,2.0,1.0,Rayo Vallecano,4.5,1.7,54.0,13177.0,Aleix García,3-4-3,Pablo González,Match Report,
