Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-14,21:30,La Liga,Matchweek 1,Mon,Away,L,1.0,3.0,Atlético Madrid,0.9,2.4,54.0,56164.0,Carlos Neva,5-3-2,Juan Pulido,Match Report,
2023-08-21,21:30,La Liga,Matchweek 2,Mon,Home,L,0.0,2.0,Rayo Vallecano,1.2,2.1,48.0,17338.0,Carlos Neva,4-3-3,Pablo González,Match Report,
2023-08-26,19:30,La Liga,Matchweek 3,Sat,Home,W,3.0,2.0,Mallorca,1.4,2.6,53.0,16368.0,Carlos Neva,4-4-2,Francisco Hernández,Match Report,
2023-09-02,14:00,La Liga,Matchweek 4,Sat,Away,L,3.0,5.0,Real Sociedad,0.8,2.3,39.0,27808.0,Víctor Díaz,3-4-3,Javier Villanueva,Match Report,
2023-09-18,21:00,La Liga,Matchweek 5,Mon,Home,L,2.0,4.0,Girona,1.6,2.8,43.0,17323.0,Víctor Díaz,4-4-2,Isidro Díaz de Mera,Match Report,
2023-09-24,17:30,La Liga,Matchweek 6,Sun,Away,L,0.0,1.0,Las Palmas,0.0,0.6,44.0,24848.0,Antonio Puertas,4-4-1-1,Ricardo de Burgos,Match Report,
2023-09-28,19:00,La Liga,Matchweek 7,Thu,Home,D,1.0,1.0,Betis,1.8,0.9,39.0,18936.0,Antonio Puertas,4-4-2,Víctor García,Match Report,
2023-10-01,14:00,La Liga,Matchweek 8,Sun,Away,D,3.0,3.0,Almería,2.9,2.9,51.0,14264.0,Antonio Puertas,4-4-2,Pablo González,Match Report,
2023-10-08,21:00,La Liga,Matchweek 9,Sun,Home,D,2.0,2.0,Barcelona,0.8,3.0,20.0,20354.0,Carlos Neva,5-4-1,César Soto,Match Report,
2023-10-20,21:00,La Liga,Matchweek 10,Fri,Away,L,0.0,2.0,Osasuna,0.6,2.1,42.0,19739.0,Carlos Neva,4-2-3-1,Mateo Busquets,Match Report,
2023-10-30,21:00,La Liga,Matchweek 11,Mon,Home,L,2.0,3.0,Villarreal,2.1,1.6,46.0,16638.0,Antonio Puertas,4-2-3-1,Javier Villanueva,Match Report,
2023-11-02,19:00,Copa del Rey,First round,Thu,Away,L,0.0,3.0,Arosa,,,74.0,3100.0,Víctor Díaz,4-4-2,Ricardo de Burgos,Match Report,Match awarded to Arosa
2023-11-05,16:15,La Liga,Matchweek 12,Sun,Away,L,0.0,1.0,Valencia,0.5,1.2,49.0,44922.0,Carlos Neva,4-2-3-1,Víctor García,Match Report,
2023-11-11,18:30,La Liga,Matchweek 13,Sat,Home,D,1.0,1.0,Getafe,1.7,2.3,58.0,18103.0,Carlos Neva,4-2-2-2,Alejandro Muñíz,Match Report,
2023-11-24,21:00,La Liga,Matchweek 14,Fri,Away,L,1.0,3.0,Alavés,1.1,0.8,57.0,15705.0,Carlos Neva,4-3-3,Alberola Rojas,Match Report,
2023-12-02,18:30,La Liga,Matchweek 15,Sat,Away,L,0.0,2.0,Real Madrid,0.1,1.8,29.0,70685.0,Carlos Neva,4-4-2,Pablo González,Match Report,
2023-12-11,21:00,La Liga,Matchweek 16,Mon,Home,D,1.0,1.0,Athletic Club,0.7,1.1,48.0,12849.0,Carlos Neva,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2023-12-16,14:00,La Liga,Matchweek 17,Sat,Away,L,0.0,1.0,Celta Vigo,0.5,1.4,61.0,18027.0,Carlos Neva,4-2-3-1,José Sánchez,Match Report,
2023-12-19,21:30,La Liga,Matchweek 18,Tue,Home,L,0.0,3.0,Sevilla,0.9,0.5,52.0,16534.0,Antonio Puertas,4-1-4-1,Mateo Busquets,Match Report,
2024-01-03,17:00,La Liga,Matchweek 19,Wed,Home,W,2.0,0.0,Cádiz,3.0,0.8,55.0,17732.0,Carlos Neva,4-4-2,Juan Pulido,Match Report,
2024-01-13,21:00,La Liga,Matchweek 20,Sat,Away,L,0.0,1.0,Betis,0.5,1.8,43.0,50197.0,Carlos Neva,4-4-2,Guillermo Cuadra,Match Report,
2024-01-22,21:00,La Liga,Matchweek 21,Mon,Home,L,0.0,1.0,Atlético Madrid,0.6,1.2,53.0,18704.0,Carlos Neva,4-3-3,Juan Martínez,Match Report,
2024-01-29,21:00,La Liga,Matchweek 22,Mon,Away,L,0.0,2.0,Getafe,1.9,1.3,60.0,10382.0,Carlos Neva,4-3-3,Víctor García,Match Report,
2024-02-03,16:15,La Liga,Matchweek 23,Sat,Home,D,1.0,1.0,Las Palmas,0.1,1.0,23.0,17941.0,Carlos Neva,4-1-4-1,Mateo Busquets,Match Report,
2024-02-11,21:00,La Liga,Matchweek 24,Sun,Away,D,3.0,3.0,Barcelona,1.4,2.3,35.0,41901.0,Ignasi Miquel,4-1-4-1,Miguel Ángel Ortiz Arias,Match Report,
2024-02-18,16:15,La Liga,Matchweek 25,Sun,Home,D,1.0,1.0,Almería,2.0,1.4,58.0,18756.0,Carlos Neva,4-3-3,Jesús Gil,Match Report,
2024-02-24,14:00,La Liga,Matchweek 26,Sat,Home,,,,Valencia,,,,,,,,,Match Postponed
2024-03-03,14:00,La Liga,Matchweek 27,Sun,Away,,,,Villarreal,,,,,,,,Head-to-Head,
2024-03-09,18:30,La Liga,Matchweek 28,Sat,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,
2024-03-16,14:00,La Liga,Matchweek 29,Sat,Away,,,,Mallorca,,,,,,,,Head-to-Head,
2024-03-29,21:00,La Liga,Matchweek 30,Fri,Away,,,,Cádiz,,,,,,,,Head-to-Head,
2024-04-14,,La Liga,Matchweek 31,Sun,Home,,,,Alavés,,,,,,,,Head-to-Head,
2024-04-21,,La Liga,Matchweek 32,Sun,Away,,,,Athletic Club,,,,,,,,Head-to-Head,
2024-04-28,,La Liga,Matchweek 33,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,
2024-05-05,,La Liga,Matchweek 34,Sun,Away,,,,Sevilla,,,,,,,,Head-to-Head,
2024-05-12,,La Liga,Matchweek 35,Sun,Home,,,,Real Madrid,,,,,,,,Head-to-Head,
2024-05-15,,La Liga,Matchweek 36,Wed,Away,,,,Rayo Vallecano,,,,,,,,Head-to-Head,
2024-05-19,,La Liga,Matchweek 37,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,
