Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,18:30,La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Mallorca,0.9,1.6,68.0,24100.0,Jonathan Viera,4-5-1,Víctor García,Match Report,
2023-08-18,21:30,La Liga,Matchweek 2,Fri,Away,L,0.0,1.0,Valencia,0.5,1.5,61.0,41053.0,Jonathan Viera,4-3-3,Javier Villanueva,Match Report,
2023-08-25,18:30,La Liga,Matchweek 3,Fri,Home,D,0.0,0.0,Real Sociedad,0.9,1.0,52.0,25335.0,Jonathan Viera,4-3-3,Guillermo Cuadra,Match Report,
2023-09-03,14:00,La Liga,Matchweek 4,Sun,Away,L,0.0,1.0,Girona,1.1,1.0,54.0,11619.0,Jonathan Viera,4-2-3-1,Mateo Busquets,Match Report,
2023-09-17,18:30,La Liga,Matchweek 5,Sun,Away,L,0.0,1.0,Sevilla,1.0,1.7,57.0,40578.0,Jonathan Viera,4-2-3-1,Juan Martínez,Match Report,
2023-09-24,17:30,La Liga,Matchweek 6,Sun,Home,W,1.0,0.0,Granada,0.6,0.0,56.0,24848.0,Jonathan Viera,4-5-1,Ricardo de Burgos,Match Report,
2023-09-27,19:00,La Liga,Matchweek 7,Wed,Away,L,0.0,2.0,Real Madrid,0.7,1.7,52.0,65017.0,Jonathan Viera,4-5-1,José Luis Munuera,Match Report,
2023-10-02,20:00,La Liga,Matchweek 8,Mon,Home,W,2.0,1.0,Celta Vigo,1.7,1.5,73.0,22472.0,Kirian Rodríguez,4-5-1,Alberola Rojas,Match Report,
2023-10-08,14:00,La Liga,Matchweek 9,Sun,Away,W,2.0,1.0,Villarreal,1.1,1.0,51.0,16249.0,Kirian Rodríguez,4-5-1,Alejandro Muñíz,Match Report,
2023-10-22,13:00,La Liga,Matchweek 10,Sun,Home,L,0.0,1.0,Rayo Vallecano,1.3,1.4,60.0,24548.0,Kirian Rodríguez,4-5-1,Javier Villanueva,Match Report,
2023-10-28,14:00,La Liga,Matchweek 11,Sat,Away,W,2.0,1.0,Almería,0.9,0.3,59.0,12132.0,Kirian Rodríguez,4-5-1,Francisco Hernández,Match Report,
2023-10-31,21:00,Copa del Rey,First round,Tue,Away,W,3.0,0.0,Manacor,,,78.0,2600.0,Omenuke Mfulu,4-2-3-1,Jorge Figueroa,Match Report,
2023-11-03,20:00,La Liga,Matchweek 12,Fri,Home,W,2.0,1.0,Atlético Madrid,0.4,1.2,52.0,30080.0,Kirian Rodríguez,4-5-1,Mario Melero,Match Report,
2023-11-11,18:30,La Liga,Matchweek 13,Sat,Away,D,1.0,1.0,Osasuna,0.4,1.0,54.0,20125.0,Kirian Rodríguez,4-1-4-1,Jorge Figueroa,Match Report,
2023-11-26,21:00,La Liga,Matchweek 14,Sun,Away,L,0.0,1.0,Betis,0.6,1.4,61.0,48132.0,Kirian Rodríguez,4-1-4-1,Víctor García,Match Report,
2023-12-01,20:00,La Liga,Matchweek 15,Fri,Home,W,2.0,0.0,Getafe,1.5,0.9,70.0,21912.0,Kirian Rodríguez,4-5-1,Mateo Busquets,Match Report,
2023-12-06,21:00,Copa del Rey,Second round,Wed,Away,W,2.0,1.0,Tudelano,,,79.0,6000.0,Omenuke Mfulu,4-3-3,Juan Martínez,Match Report,Required Extra Time
2023-12-09,14:00,La Liga,Matchweek 16,Sat,Away,W,1.0,0.0,Alavés,0.4,1.9,59.0,15971.0,Kirian Rodríguez,4-5-1,José Luis Munuera,Match Report,
2023-12-17,17:30,La Liga,Matchweek 17,Sun,Home,D,1.0,1.0,Cádiz,0.7,1.6,64.0,25275.0,Kirian Rodríguez,4-5-1,Alejandro Muñíz,Match Report,
