Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,18:30,La Liga,Matchweek 1,Sat,Away,D,1.0,1.0,Las Palmas,1.6,0.9,32.0,24100.0,Dani Rodríguez,5-3-2,Víctor García,Match Report,
2023-08-18,19:30,La Liga,Matchweek 2,Fri,Home,L,0.0,1.0,Villarreal,0.4,1.8,40.0,17775.0,Antonio Raillo,5-3-2,Alberola Rojas,Match Report,
2023-08-26,19:30,La Liga,Matchweek 3,Sat,Away,L,2.0,3.0,Granada,2.6,1.4,47.0,16368.0,Dani Rodríguez,5-3-2,Francisco Hernández,Match Report,
2023-09-03,16:15,La Liga,Matchweek 4,Sun,Home,D,0.0,0.0,Athletic Club,0.4,0.6,33.0,17043.0,Dani Rodríguez,5-3-2,Jorge Figueroa,Match Report,
2023-09-16,18:30,La Liga,Matchweek 5,Sat,Away,W,1.0,0.0,Celta Vigo,0.8,1.3,40.0,18693.0,Dani Rodríguez,5-4-1,José Luis Munuera,Match Report,
2023-09-23,14:00,La Liga,Matchweek 6,Sat,Away,L,3.0,5.0,Girona,1.8,3.2,44.0,11511.0,Dani Rodríguez,5-4-1,Pablo González,Match Report,
2023-09-26,21:30,La Liga,Matchweek 7,Tue,Home,D,2.0,2.0,Barcelona,0.8,1.9,31.0,19939.0,Dani Rodríguez,5-3-2,Alejandro Muñíz,Match Report,
2023-09-30,16:15,La Liga,Matchweek 8,Sat,Away,D,2.0,2.0,Rayo Vallecano,1.5,2.3,40.0,11991.0,Dani Rodríguez,4-4-2,Mario Melero,Match Report,
2023-10-07,18:30,La Liga,Matchweek 9,Sat,Home,D,1.0,1.0,Valencia,0.6,0.5,49.0,17659.0,Dani Rodríguez,4-4-2,Francisco Hernández,Match Report,
2023-10-21,14:00,La Liga,Matchweek 10,Sat,Away,L,0.0,1.0,Real Sociedad,1.9,1.3,44.0,31279.0,Dani Rodríguez,5-3-2,Jorge Figueroa,Match Report,
2023-10-28,18:30,La Liga,Matchweek 11,Sat,Home,D,0.0,0.0,Getafe,0.9,0.2,59.0,15310.0,Dani Rodríguez,4-4-2,Pablo González,Match Report,
2023-11-01,18:30,Copa del Rey,First round,Wed,Away,W,4.0,0.0,Boiro,,,73.0,2000.0,Abdón Prats,4-4-2,Alberola Rojas,Match Report,
2023-11-04,16:15,La Liga,Matchweek 12,Sat,Away,L,0.0,2.0,Betis,0.6,2.2,43.0,50909.0,Antonio Raillo,5-3-2,Miguel Ángel Ortiz Arias,Match Report,
2023-11-25,21:00,La Liga,Matchweek 14,Sat,Away,L,0.0,1.0,Atlético Madrid,1.1,1.7,32.0,58119.0,Dani Rodríguez,5-4-1,Juan Martínez,Match Report,
2023-11-29,21:00,La Liga,Matchweek 13,Wed,Home,D,1.0,1.0,Cádiz,1.1,0.3,67.0,13821.0,Antonio Raillo,5-3-2,Javier Villanueva,Match Report,
2023-12-03,14:00,La Liga,Matchweek 15,Sun,Home,D,0.0,0.0,Alavés,0.8,0.3,63.0,15090.0,Antonio Raillo,4-2-3-1,Jorge Figueroa,Match Report,
2023-12-06,19:00,Copa del Rey,Second round,Wed,Away,W,3.0,0.0,Valle Egüés,,,71.0,1400.0,Dani Rodríguez,3-4-3,Ricardo de Burgos,Match Report,
2023-12-09,21:00,La Liga,Matchweek 16,Sat,Home,W,1.0,0.0,Sevilla,0.5,0.6,35.0,16041.0,Antonio Raillo,3-5-1-1,Alberola Rojas,Match Report,
2023-12-17,14:00,La Liga,Matchweek 17,Sun,Away,D,0.0,0.0,Almería,1.9,0.3,47.0,11936.0,Antonio Raillo,3-4-3,Pablo González,Match Report,
2023-12-21,21:30,La Liga,Matchweek 18,Thu,Home,W,3.0,2.0,Osasuna,1.1,1.6,42.0,14192.0,Antonio Raillo,3-4-3,Mario Melero,Match Report,
2024-01-03,19:15,La Liga,Matchweek 19,Wed,Away,L,0.0,1.0,Real Madrid,0.6,1.7,33.0,72394.0,Antonio Raillo,5-4-1,Alejandro Muñíz,Match Report,
2024-01-07,12:00,Copa del Rey,Round of 32,Sun,Away,W,3.0,0.0,Burgos,,,54.0,10653.0,Abdón Prats,3-4-3,Isidro Díaz de Mera,Match Report,
2024-01-13,16:15,La Liga,Matchweek 20,Sat,Home,D,1.0,1.0,Celta Vigo,1.8,0.6,57.0,21130.0,Antonio Raillo,5-4-1,Víctor García,Match Report,
2024-01-16,21:00,Copa del Rey,Round of 16,Tue,Away,W,1.0,0.0,Tenerife,,,50.0,20176.0,Abdón Prats,3-4-3,Mario Melero,Match Report,Required Extra Time
