Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-13,19:30,La Liga,Matchweek 1,Sun,Away,W,2.0,1.0,Villarreal,1.1,0.9,37.0,17825.0,Germán Pezzella,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2023-08-20,21:30,La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Atlético Madrid,0.7,0.5,53.0,51782.0,Germán Pezzella,4-2-3-1,Ricardo de Burgos,Match Report,
2023-08-27,21:30,La Liga,Matchweek 3,Sun,Away,L,2.0,4.0,Athletic Club,0.4,2.9,52.0,44340.0,Germán Pezzella,4-2-3-1,César Soto,Match Report,
2023-09-02,21:00,La Liga,Matchweek 4,Sat,Home,W,1.0,0.0,Rayo Vallecano,1.0,1.5,55.0,50619.0,Germán Pezzella,4-2-3-1,Alejandro Muñíz,Match Report,
2023-09-16,21:00,La Liga,Matchweek 5,Sat,Away,L,0.0,5.0,Barcelona,0.8,2.4,35.0,45055.0,Marc Bartra,4-2-3-1,José Sánchez,Match Report,
2023-09-21,20:00,Europa Lg,Group stage,Thu,Away,L,0.0,1.0,sct Rangers,0.8,2.0,53.0,45634.0,Germán Pezzella,4-2-3-1,Lawrence Visser,Match Report,
2023-09-24,18:30,La Liga,Matchweek 6,Sun,Home,D,1.0,1.0,Cádiz,1.8,0.2,63.0,56087.0,Germán Pezzella,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2023-09-28,19:00,La Liga,Matchweek 7,Thu,Away,D,1.0,1.0,Granada,0.9,1.8,61.0,18936.0,Andrés Guardado,4-2-3-1,Víctor García,Match Report,
2023-10-01,21:00,La Liga,Matchweek 8,Sun,Home,W,3.0,0.0,Valencia,1.6,0.7,55.0,50163.0,Germán Pezzella,4-2-3-1,Ricardo de Burgos,Match Report,
2023-10-05,18:45,Europa Lg,Group stage,Thu,Home,W,2.0,1.0,cz Sparta Prague,1.5,1.3,46.0,45037.0,Germán Pezzella,4-2-3-1,Duje Strukan,Match Report,
2023-10-08,18:30,La Liga,Matchweek 9,Sun,Away,D,1.0,1.0,Alavés,0.9,1.3,60.0,18288.0,Germán Pezzella,4-2-3-1,Alejandro Hernández,Match Report,
2023-10-21,16:15,La Liga,Matchweek 10,Sat,Away,D,1.0,1.0,Getafe,1.1,1.5,55.0,13926.0,Andrés Guardado,4-2-3-1,César Soto,Match Report,
2023-10-26,19:45,Europa Lg,Group stage,Thu,Away,W,1.0,0.0,cy Aris Limassol FC,2.1,0.5,63.0,3945.0,Germán Pezzella,4-2-3-1,Filip Glova,Match Report,
2023-10-29,14:00,La Liga,Matchweek 11,Sun,Home,W,2.0,1.0,Osasuna,1.2,0.4,51.0,49123.0,Germán Pezzella,4-2-3-1,José Sánchez,Match Report,
2023-11-01,20:30,Copa del Rey,First round,Wed,Away,W,12.0,1.0,Hernán Cortés,,,71.0,11580.0,Andrés Guardado,,Isidro Díaz de Mera,Match Report,
2023-11-04,16:15,La Liga,Matchweek 12,Sat,Home,W,2.0,0.0,Mallorca,2.2,0.6,57.0,50909.0,Germán Pezzella,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2023-11-09,21:00,Europa Lg,Group stage,Thu,Home,W,4.0,1.0,cy Aris Limassol FC,2.2,0.9,57.0,41768.0,Andrés Guardado,4-2-3-1,Mohammed Al Hakim,Match Report,
2023-11-12,18:30,La Liga,Matchweek 13,Sun,Away,D,1.0,1.0,Sevilla,1.8,0.7,39.0,42222.0,Germán Pezzella,4-2-3-1,Jesús Gil,Match Report,
2023-11-26,21:00,La Liga,Matchweek 14,Sun,Home,W,1.0,0.0,Las Palmas,1.4,0.6,39.0,48132.0,Germán Pezzella,4-2-3-1,Víctor García,Match Report,
2023-11-30,18:45,Europa Lg,Group stage,Thu,Away,L,0.0,1.0,cz Sparta Prague,0.8,0.6,57.0,18095.0,Andrés Guardado,4-2-3-1,Nikola Dabanović,Match Report,
2023-12-03,16:15,La Liga,Matchweek 15,Sun,Away,D,0.0,0.0,Almería,0.5,2.4,39.0,14253.0,Germán Pezzella,4-4-1-1,Alejandro Muñíz,Match Report,
2023-12-06,19:00,Copa del Rey,Second round,Wed,Away,W,2.0,1.0,Villanovense,,,75.0,8000.0,Andrés Guardado,4-2-3-1,Alberola Rojas,Match Report,
2023-12-09,16:15,La Liga,Matchweek 16,Sat,Home,D,1.0,1.0,Real Madrid,1.3,1.0,37.0,52756.0,Germán Pezzella,4-2-3-1,César Soto,Match Report,
2023-12-14,21:00,Europa Lg,Group stage,Thu,Home,L,2.0,3.0,sct Rangers,1.6,1.4,64.0,48380.0,Andrés Guardado,4-2-3-1,Srđan Jovanović,Match Report,
2023-12-17,16:15,La Liga,Matchweek 17,Sun,Away,D,0.0,0.0,Real Sociedad,1.1,1.1,43.0,33172.0,Germán Pezzella,4-2-3-1,Mateo Busquets,Match Report,
2023-12-21,19:00,La Liga,Matchweek 18,Thu,Home,D,1.0,1.0,Girona,1.5,1.7,47.0,51394.0,Andrés Guardado,4-2-3-1,Ricardo de Burgos,Match Report,
2024-01-03,19:15,La Liga,Matchweek 19,Wed,Away,L,1.0,2.0,Celta Vigo,1.4,2.7,60.0,21105.0,Germán Pezzella,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2024-01-06,20:00,Copa del Rey,Round of 32,Sat,Away,L,0.0,1.0,Alavés,,,61.0,13567.0,Germán Pezzella,4-2-3-1,Javier Villanueva,Match Report,
2024-01-13,21:00,La Liga,Matchweek 20,Sat,Home,W,1.0,0.0,Granada,1.8,0.5,57.0,50197.0,Andrés Guardado,4-2-3-1,Guillermo Cuadra,Match Report,
2024-01-21,18:30,La Liga,Matchweek 21,Sun,Home,L,2.0,4.0,Barcelona,1.1,3.0,37.0,53288.0,Germán Pezzella,4-2-3-1,Jesús Gil,Match Report,
2024-01-27,21:00,La Liga,Matchweek 22,Sat,Away,W,1.0,0.0,Mallorca,0.4,1.5,47.0,20051.0,Nabil Fekir,4-2-3-1,Javier Villanueva,Match Report,
2024-02-04,18:30,La Liga,Matchweek 23,Sun,Home,D,1.0,1.0,Getafe,1.6,1.5,54.0,53336.0,Nabil Fekir,4-2-3-1,Juan Pulido,Match Report,
2024-02-09,21:00,La Liga,Matchweek 24,Fri,Away,W,2.0,0.0,Cádiz,1.0,0.8,47.0,15346.0,Nabil Fekir,4-2-3-1,Ricardo de Burgos,Match Report,
2024-02-15,21:00,Conf Lg,Knockout round play-offs,Thu,Home,L,0.0,1.0,hr Dinamo Zagreb,0.9,0.9,60.0,,Germán Pezzella,4-2-3-1,Mykola Balakin,Match Report,Leg 1 of 2
2024-02-18,21:00,La Liga,Matchweek 25,Sun,Home,D,0.0,0.0,Alavés,0.8,0.5,62.0,43514.0,Nabil Fekir,4-2-3-1,Mateo Busquets,Match Report,
2024-02-22,18:45,Conf Lg,Knockout round play-offs,Thu,Away,D,1.0,1.0,hr Dinamo Zagreb,0.8,1.5,62.0,,Nabil Fekir,4-2-3-1,Urs Schnyder,Match Report,Leg 2 of 2; Dinamo Zagreb won
2024-02-25,16:15,La Liga,Matchweek 26,Sun,Home,W,3.0,1.0,Athletic Club,1.2,0.2,57.0,53537.0,Nabil Fekir,4-2-3-1,Guillermo Cuadra,Match Report,
2024-03-03,16:15,La Liga,Matchweek 27,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,
2024-03-10,21:00,La Liga,Matchweek 28,Sun,Home,,,,Villarreal,,,,,,,,Head-to-Head,
2024-03-17,18:30,La Liga,Matchweek 29,Sun,Away,,,,Rayo Vallecano,,,,,,,,Head-to-Head,
2024-03-31,16:15,La Liga,Matchweek 30,Sun,Away,,,,Girona,,,,,,,,Head-to-Head,
2024-04-14,,La Liga,Matchweek 31,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,
2024-04-21,,La Liga,Matchweek 32,Sun,Away,,,,Valencia,,,,,,,,Head-to-Head,
2024-04-28,,La Liga,Matchweek 33,Sun,Home,,,,Sevilla,,,,,,,,Head-to-Head,
2024-05-05,,La Liga,Matchweek 34,Sun,Away,,,,Osasuna,,,,,,,,Head-to-Head,
2024-05-12,,La Liga,Matchweek 35,Sun,Home,,,,Almería,,,,,,,,Head-to-Head,
2024-05-15,,La Liga,Matchweek 36,Wed,Away,,,,Las Palmas,,,,,,,,Head-to-Head,
2024-05-19,,La Liga,Matchweek 37,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,
2024-05-26,,La Liga,Matchweek 38,Sun,Away,,,,Real Madrid,,,,,,,,Head-to-Head,
