Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,17:00,La Liga,Matchweek 1,Sat,Home,D,1.0,1.0,Girona,1.0,0.8,48.0,30848.0,Mikel Oyarzabal,4-3-3,Francisco Hernández,Match Report,
2023-08-19,17:00,La Liga,Matchweek 2,Sat,Home,D,1.0,1.0,Celta Vigo,0.7,1.0,53.0,30354.0,Igor Zubeldia,4-3-3,Miguel Ángel Ortiz Arias,Match Report,
2023-08-25,18:30,La Liga,Matchweek 3,Fri,Away,D,0.0,0.0,Las Palmas,1.0,0.9,48.0,25335.0,Mikel Merino,4-2-3-1,Guillermo Cuadra,Match Report,
2023-09-02,14:00,La Liga,Matchweek 4,Sat,Home,W,5.0,3.0,Granada,2.3,0.8,61.0,27808.0,Mikel Oyarzabal,4-3-3,Javier Villanueva,Match Report,
2023-09-17,21:00,La Liga,Matchweek 5,Sun,Away,L,1.0,2.0,Real Madrid,1.6,2.0,48.0,70092.0,Mikel Oyarzabal,4-3-3,César Soto,Match Report,
2023-09-20,21:00,Champions Lg,Group stage,Wed,Home,D,1.0,1.0,it Inter,1.3,0.5,44.0,36591.0,Mikel Oyarzabal,4-3-3,Michael Oliver,Match Report,
2023-09-24,14:00,La Liga,Matchweek 6,Sun,Home,W,4.0,3.0,Getafe,2.0,1.4,61.0,29568.0,Igor Zubeldia,4-4-2,Juan Pulido,Match Report,
2023-09-27,21:30,La Liga,Matchweek 7,Wed,Away,W,1.0,0.0,Valencia,0.2,0.4,62.0,44200.0,Mikel Oyarzabal,4-3-3,Alejandro Hernández,Match Report,
2023-09-30,21:00,La Liga,Matchweek 8,Sat,Home,W,3.0,0.0,Athletic Club,1.4,1.8,51.0,38229.0,Mikel Merino,4-4-2,Jesús Gil,Match Report,
2023-10-03,18:45,Champions Lg,Group stage,Tue,Away,W,2.0,0.0,at RB Salzburg,1.2,0.6,52.0,28227.0,Mikel Oyarzabal,4-4-2,Bartosz Frankowski,Match Report,
2023-10-08,16:15,La Liga,Matchweek 9,Sun,Away,L,1.0,2.0,Atlético Madrid,1.2,2.2,62.0,65607.0,Mikel Oyarzabal,4-3-3,José Luis Munuera,Match Report,
2023-10-21,14:00,La Liga,Matchweek 10,Sat,Home,W,1.0,0.0,Mallorca,1.3,1.9,56.0,31279.0,Mikel Oyarzabal,4-4-2,Jorge Figueroa,Match Report,
2023-10-24,20:00,Champions Lg,Group stage,Tue,Away,W,1.0,0.0,pt Benfica,0.9,0.5,62.0,56002.0,Mikel Oyarzabal,4-3-3,Clément Turpin,Match Report,
