Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-11,22:00,La Liga,Matchweek 1,Fri,Away,W,2.0,1.0,Sevilla,1.1,0.7,45.0,34184.0,José Luis Gayà,4-4-2,José Sánchez,Match Report,
2023-08-18,21:30,La Liga,Matchweek 2,Fri,Home,W,1.0,0.0,Las Palmas,1.5,0.5,39.0,41053.0,José Luis Gayà,4-4-2,Javier Villanueva,Match Report,
2023-08-27,19:30,La Liga,Matchweek 3,Sun,Home,L,1.0,2.0,Osasuna,1.7,1.2,64.0,42474.0,José Luis Gayà,4-4-2,Juan Pulido,Match Report,
2023-09-02,18:30,La Liga,Matchweek 4,Sat,Away,L,0.0,1.0,Alavés,0.8,1.3,60.0,16641.0,José Luis Gayà,4-4-2,Pablo González,Match Report,
2023-09-16,16:15,La Liga,Matchweek 5,Sat,Home,W,3.0,0.0,Atlético Madrid,1.3,0.6,37.0,45363.0,José Luis Gayà,4-2-3-1,Jesús Gil,Match Report,
2023-09-23,21:00,La Liga,Matchweek 6,Sat,Away,D,2.0,2.0,Almería,0.8,2.6,39.0,14266.0,José Luis Gayà,4-2-3-1,Mateo Busquets,Match Report,
2023-09-27,21:30,La Liga,Matchweek 7,Wed,Home,L,0.0,1.0,Real Sociedad,0.4,0.2,38.0,44200.0,José Luis Gayà,4-2-3-1,Alejandro Hernández,Match Report,
2023-10-01,21:00,La Liga,Matchweek 8,Sun,Away,L,0.0,3.0,Betis,0.7,1.6,45.0,50163.0,Gabriel Paulista,4-2-3-1,Ricardo de Burgos,Match Report,
2023-10-07,18:30,La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Mallorca,0.5,0.6,51.0,17659.0,Gabriel Paulista,4-4-2,Francisco Hernández,Match Report,
2023-10-23,21:00,La Liga,Matchweek 10,Mon,Home,W,2.0,0.0,Cádiz,1.5,0.6,61.0,41647.0,José Luis Gayà,4-2-3-1,Pablo González,Match Report,
2023-10-29,18:30,La Liga,Matchweek 11,Sun,Away,D,2.0,2.0,Athletic Club,1.9,1.9,43.0,46563.0,José Luis Gayà,4-4-2,Jorge Figueroa,Match Report,
2023-11-02,20:00,Copa del Rey,First round,Thu,Away,W,2.0,0.0,UD Logroñés,,,52.0,8010.0,Jaume Doménech,4-3-3,Javier Villanueva,Match Report,
2023-11-05,16:15,La Liga,Matchweek 12,Sun,Home,W,1.0,0.0,Granada,1.2,0.5,51.0,44922.0,José Luis Gayà,4-4-2,Víctor García,Match Report,
2023-11-11,21:00,La Liga,Matchweek 13,Sat,Away,L,1.0,5.0,Real Madrid,1.7,1.7,43.0,72475.0,José Luis Gayà,4-2-3-1,José Sánchez,Match Report,
2023-11-25,16:15,La Liga,Matchweek 14,Sat,Home,D,0.0,0.0,Celta Vigo,0.5,0.8,53.0,43375.0,José Luis Gayà,4-4-2,César Soto,Match Report,
2023-12-02,14:00,La Liga,Matchweek 15,Sat,Away,L,1.0,2.0,Girona,1.0,1.6,23.0,13343.0,Gabriel Paulista,4-4-2,Javier Villanueva,Match Report,
2023-12-05,21:00,Copa del Rey,Second round,Tue,Away,W,1.0,0.0,Arosa,,,61.0,4253.0,Jaume Doménech,4-2-3-1,Isidro Díaz de Mera,Match Report,
2023-12-08,21:00,La Liga,Matchweek 16,Fri,Away,L,0.0,1.0,Getafe,0.1,0.7,31.0,11515.0,Gabriel Paulista,4-4-2,Guillermo Cuadra,Match Report,
2023-12-16,21:00,La Liga,Matchweek 17,Sat,Home,D,1.0,1.0,Barcelona,0.5,3.2,37.0,46492.0,Mouctar Diakhaby,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
2023-12-19,19:00,La Liga,Matchweek 18,Tue,Away,W,1.0,0.0,Rayo Vallecano,0.3,0.3,41.0,12290.0,Mouctar Diakhaby,4-4-2,Alberola Rojas,Match Report,
2024-01-02,21:30,La Liga,Matchweek 19,Tue,Home,W,3.0,1.0,Villarreal,2.8,0.5,45.0,44973.0,José Luis Gayà,4-4-2,Jesús Gil,Match Report,
