Days Old,Inf,Name,Position,Nat,Age,Club,Ability,Potential,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Media Description,Expires,Left Foot,Right Foot,Av Rat,Apps,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,UID,Cor,Height,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,Unnamed: 33_level_0
-,Wnt,Leander Dendoncker,"DM, M (C)",BEL,28,Aston Villa,Unknown,Unknown,€6M - €18M,"€379,000 p/m",-,-,-,Balanced,Level-headed,Defensive midfielder,30/6/2027,Reasonable,Very Strong,-,-,2,12,2,14,13,15,14,14,3,15,13,9,14,12,11,8,11,10,3,15,15,3,12,11,13,13,13,14,14,2,14,12,14,15,11,2,1,11,15,18057380,9,188 cm,be BEL,MF,28-314,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
-,nEU,Victor Osimhen,ST (C),NGA,24,Napoli,Unknown,Unknown,€50M - €150M,"€572,000 p/m",-,€100M,-,Fairly Determined,Media-friendly,Elite striker,30/6/2025,Reasonable,Very Strong,-,-,3,17,1,15,15,15,15,12,1,13,15,7,13,15,13,18,14,14,3,18,16,1,10,12,4,20,19,12,5,3,13,15,7,12,14,1,2,11,13,13158205,4,185 cm,ng NGA,FW,25-056,13,11,991.0,11.0,7.0,2.0,9.0,5.0,2.0,3.0,4.0,1.0,6.7,4.3,1.7,6.0,19.0,14.0,69.0,0.64,0.18,0.82,0.45,0.64,0.61,0.16,0.76,0.39,0.55,Matches
-,Inj,Gianluca Gaetano,M/AM (RLC),ITA,23,Napoli,Unknown,Unknown,€1.3M - €3.8M,"€15,750 p/m",-,-,-,Balanced,Level-headed,Attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,13,1,9,14,13,11,8,2,8,11,12,11,14,15,13,14,14,1,7,8,2,7,12,6,14,13,13,9,1,15,10,7,14,14,1,3,13,12,43317758,13,183 cm,it ITA,MF,23-294,9,1,161.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.1,6.0,6.0,5.0,0.56,0.0,0.56,0.56,0.56,0.35,0.27,0.62,0.35,0.62,Matches
-,nEU,Khvicha Kvaratskhelia,AM (L),GEO,22,Napoli,Unknown,Unknown,€66M - €197M,"€128,000 p/m",-,-,-,Resilient,"Evasive, Reserved",Confident winger,30/6/2027,Strong,Very Strong,-,-,2,15,1,11,18,12,14,12,3,12,16,14,15,17,19,15,19,19,3,11,9,1,10,14,4,13,14,16,5,3,11,10,7,11,18,2,1,15,12,59130638,8,183 cm,ge GEO,FW,23-011,22,20,1739.0,19.3,6.0,3.0,9.0,6.0,0.0,0.0,6.0,0.0,7.9,7.8,4.0,11.8,126.0,57.0,160.0,0.31,0.16,0.47,0.31,0.47,0.41,0.21,0.62,0.41,0.61,Matches
-,nEU,Amir Rrahmani,D (C),KOS,29,Napoli,Unknown,Unknown,€22M - €66M,"€268,000 p/m",-,-,-,Resolute,Level-headed,Powerful centre-back,30/6/2027,Fairly Strong,Very Strong,-,-,1,12,2,15,11,15,15,15,3,14,13,9,14,15,8,10,11,4,3,16,16,1,11,8,15,10,13,12,14,3,14,16,16,15,10,2,1,10,16,11023165,4,192 cm,xk KVX,DF,29-364,19,19,1665.0,18.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,0.6,2.0,11.0,77.0,2.0,0.05,0.0,0.05,0.05,0.05,0.08,0.03,0.11,0.08,0.11,Matches
-,Wnt,Matteo Politano,AM (RL),ITA,29,Napoli,Unknown,Unknown,€20M,"€339,000 p/m",-,-,-,Fairly Professional,Reserved,Winger,30/6/2025,Very Strong,Reasonable,-,-,1,15,3,7,16,14,12,11,3,12,15,15,14,14,14,13,15,14,2,8,7,2,10,16,6,16,15,14,8,3,13,9,7,14,14,3,3,13,14,43093382,16,171 cm,it ITA,FW,30-204,23,19,1474.0,16.4,6.0,3.0,9.0,4.0,2.0,2.0,2.0,1.0,4.7,3.1,3.5,6.6,77.0,107.0,143.0,0.37,0.18,0.55,0.24,0.43,0.29,0.21,0.5,0.19,0.41,Matches
-,Wnt,Alessio Zerbin,"AM (RL), ST (C)",ITA,24,Napoli,Unknown,Unknown,€1.6M,"€27,500 p/m",-,-,-,Fairly Ambitious,Level-headed,Winger,30/6/2027,Reasonable,Very Strong,-,-,1,14,3,10,14,13,13,10,1,12,12,13,12,14,12,13,13,16,3,8,10,3,7,12,5,14,14,12,8,3,12,10,6,14,12,3,2,12,14,43280475,10,182 cm,it ITA,"FW,DF",24-357,7,1,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.9,6.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.15,0.37,0.52,0.15,0.52,Matches
-,Wnt,Alessandro Zanoli,D (RC),ITA,22,Napoli,Unknown,Unknown,€1.6M - €4.8M,"€61,500 p/m",-,-,-,Balanced,Level-headed,Full-back,30/6/2026,Reasonable,Very Strong,-,-,1,13,3,9,12,13,14,11,2,14,12,11,12,13,9,6,11,6,2,11,13,1,7,8,12,12,14,11,13,2,14,14,14,13,11,1,2,10,13,43390940,8,188 cm,it ITA,"DF,FW",23-143,4,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
-,nEU,Juan Jesus,D (LC),BRA,32,Napoli,Unknown,Unknown,€2.4M - €7.4M,"€232,000 p/m",-,-,-,Perfectionist,Level-headed,Powerful centre-back,30/6/2025,Very Strong,Weak,-,-,3,14,1,16,13,13,17,17,1,11,11,10,11,17,11,6,11,7,3,14,13,3,13,6,15,9,15,12,13,2,16,17,17,14,11,3,1,11,17,19042304,4,185 cm,br BRA,DF,32-258,14,13,1216.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.2,0.6,3.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
-,nEU,Natan,D (C),BRA,22,Napoli,Unknown,Unknown,€19M - €56M,"€117,000 p/m",-,-,-,Balanced,Media-friendly,Centre-back,30/6/2028,Very Strong,Reasonable,-,-,3,13,2,10,13,14,13,14,3,14,14,10,13,13,10,8,13,8,3,14,14,3,8,5,14,10,12,13,14,4,14,14,14,14,12,2,3,12,13,19351985,5,188 cm,br BRA,DF,23-017,12,10,878.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,0.1,0.5,15.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
