"Name","Days.Old","Inf.","Position","Nat","Age","Club","Ability","Potential","Transfer.Value","Wage","Min.AP","Min.Fee.Rls","Min.Fee.Rls.to.Foreign.Clubs","Personality","Media.Handling","Media.Description","Expires","Left.Foot","Right.Foot","Av.Rat","Apps","X1v1","Acc","Aer","Agg","Agi","Ant","Bal","Bra","Cmd","Cnt","Cmp","Cro","Dec","Det","Dri","Fin","Fir","Fla","Han","Hea","Jum","Kic","Ldr","Lon","Mar","OtB","Pac","Pas","Pos","Ref","Sta","Str","Tck","Tea","Tec","Thr","TRO","Vis","Wor","UID","Cor","Height","Unnamed..1_level_0","Unnamed..2_level_0","Unnamed..3_level_0","Unnamed..4_level_0","Playing.Time","Playing.Time.1","Playing.Time.2","Performance","Performance.1","Performance.2","Performance.3","Performance.4","Performance.5","Performance.6","Performance.7","Expected","Expected.1","Expected.2","Expected.3","Progression","Progression.1","Progression.2","Per.90.Minutes","Per.90.Minutes.1","Per.90.Minutes.2","Per.90.Minutes.3","Per.90.Minutes.4","Per.90.Minutes.5","Per.90.Minutes.6","Per.90.Minutes.7","Per.90.Minutes.8","Per.90.Minutes.9","Unnamed..33_level_0"
"Alessandro Grieco","-","Loa","AM (RLC), ST (C)","ITA",18,"Napoli","Unknown","Unknown","€14K - €40K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young winger","30/6/2024","Reasonable","Very Strong","-","-",2,12,3,13,9,4,6,3,3,5,8,10,8,7,9,13,13,10,2,6,12,3,11,5,5,11,10,11,5,2,4,3,6,6,10,1,2,6,7,2000135548,6,"184 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alessandro Zanoli","-","Wnt","D (RC)","ITA",22,"Napoli","Unknown","Unknown","€1.6M - €4.8M","€61,500 p/m","-","-","-","Balanced","Level-headed","Full-back","30/6/2026","Reasonable","Very Strong","-","-",1,13,3,9,12,13,14,11,2,14,12,11,12,13,9,6,11,6,2,11,13,1,7,8,12,12,14,11,13,2,14,14,14,13,11,1,2,10,13,43390940,8,"188 cm","it ITA","DF,FW","23-143","4","0","52.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","4.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Matches"
"Alessio Lettera","-","Loa","M (C)","ITA",18,"Napoli","Unknown","Unknown","€16K - €50K","€1,100 p/m","-","-","-","Driven","Media-friendly","Young midfielder","30/6/2024","Fairly Strong","Very Strong","-","-",3,13,2,15,10,5,8,8,1,8,6,4,12,18,7,7,12,6,1,5,1,3,6,9,10,9,12,10,6,3,11,1,11,8,9,2,4,8,13,2000162716,2,"162 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alessio Mazzone","-","Yth","D (C)","ITA",18,"Napoli","Unknown","Unknown","€12K - €40K","€1,100 p/m","-","-","-","Balanced","Media-friendly","Young centre-back","30/6/2024","Reasonable","Very Strong","-","-",1,12,1,5,8,9,6,8,4,3,4,2,13,14,1,1,5,5,2,11,7,2,8,1,12,4,7,6,13,4,4,7,8,5,1,3,2,4,6,2000135560,2,"185 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alessio Zerbin","-","Wnt","AM (RL), ST (C)","ITA",24,"Napoli","Unknown","Unknown","€1.6M","€27,500 p/m","-","-","-","Fairly Ambitious","Level-headed","Winger","30/6/2027","Reasonable","Very Strong","-","-",1,14,3,10,14,13,13,10,1,12,12,13,12,14,12,13,13,16,3,8,10,3,7,12,5,14,14,12,8,3,12,10,6,14,12,3,2,12,14,43280475,10,"182 cm","it ITA","FW,DF","24-357","7","1","150.0","1.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.6","0.9","6.0","3.0","18.0","0.0","0.0","0.0","0.0","0.0","0.15","0.37","0.52","0.15","0.52","Matches"
"Alex Meret","-","","GK","ITA",26,"Napoli","Unknown","Unknown","€24M - €71M","€232,000 p/m","-","-","-","Fairly Professional","Reserved","Goalkeeper","30/6/2024","Very Strong","Weak","-","-",15,10,14,8,18,15,14,12,14,13,14,2,14,12,3,3,8,3,16,7,16,10,9,2,1,3,12,9,16,17,13,13,1,14,9,11,12,5,13,43140326,2,"190 cm","it ITA","GK","26-338","17","17","1513.0","16.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Matches"
"Alfonso De Luca","-","Yth","D/WB (L)","ITA",17,"Napoli","Unknown","Unknown","€16K - €50K","€1,100 p/m","-","-","-","Fairly Determined","Media-friendly","Young full-back","30/6/2025","Very Strong","Weak","-","-",1,10,1,5,13,4,6,7,2,8,5,9,11,15,5,3,11,5,3,6,5,3,11,3,7,5,13,7,9,1,8,4,13,6,7,2,3,6,6,2000242306,4,"175 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amir Rrahmani","-","nEU","D (C)","KOS",29,"Napoli","Unknown","Unknown","€22M - €66M","€268,000 p/m","-","-","-","Resolute","Level-headed","Powerful centre-back","30/6/2027","Fairly Strong","Very Strong","-","-",1,12,2,15,11,15,15,15,3,14,13,9,14,15,8,10,11,4,3,16,16,1,11,8,15,10,13,12,14,3,14,16,16,15,10,2,1,10,16,11023165,4,"192 cm","xk KVX","DF","29-364","19","19","1665.0","18.5","1.0","0.0","1.0","1.0","0.0","0.0","3.0","0.0","1.5","1.5","0.6","2.0","11.0","77.0","2.0","0.05","0.0","0.05","0.05","0.05","0.08","0.03","0.11","0.08","0.11","Matches"
"André-Franck Zambo Anguissa","-","Inj","DM, M (C)","CMR",27,"Napoli","Unknown","Unknown","€48M - €143M","€288,000 p/m","-","-","-","Resilient","Evasive","Tireless midfielder","30/6/2025","Reasonable","Very Strong","-","-",1,14,2,14,14,16,18,14,3,14,15,10,14,17,16,11,16,16,1,12,12,1,14,11,12,16,14,16,14,3,15,16,16,15,16,2,3,13,15,48030711,4,"184 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrea Petrone","-","Yth","GK","ITA",16,"Napoli","Unknown","Unknown","€18K - €55K","€1,100 p/m","-","-","-","Determined","Level-headed","Young goalkeeper","30/6/2026","Fairly Strong","Very Strong","-","-",10,10,5,7,8,4,2,8,7,8,4,3,13,18,1,1,3,1,9,1,7,8,2,2,1,3,11,12,7,13,1,3,1,5,1,6,11,4,5,2000294413,3,"184 cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
