Name,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giovanni Di Lorenzo,it ITA,DF,30-203,24,24,2160.0,24.0,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,1.9,1.9,4.0,5.9,55.0,195.0,162.0,0.04,0.21,0.25,0.04,0.25,0.08,0.17,0.25,0.08,0.24,Matches
Stanislav Lobotka,sk SVK,MF,29-090,24,24,2034.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.8,1.0,20.0,115.0,22.0,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.04,0.01,0.04,Matches
Khvicha Kvaratskhelia,ge GEO,FW,23-011,22,20,1739.0,19.3,6.0,3.0,9.0,6.0,0.0,0.0,6.0,0.0,7.9,7.8,4.0,11.8,126.0,57.0,160.0,0.31,0.16,0.47,0.31,0.47,0.41,0.21,0.62,0.41,0.61,Matches
Amir Rrahmani,xk KVX,DF,29-364,19,19,1665.0,18.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,0.6,2.0,11.0,77.0,2.0,0.05,0.0,0.05,0.05,0.05,0.08,0.03,0.11,0.08,0.11,Matches
Matteo Politano,it ITA,FW,30-204,23,19,1474.0,16.4,6.0,3.0,9.0,4.0,2.0,2.0,2.0,1.0,4.7,3.1,3.5,6.6,77.0,107.0,143.0,0.37,0.18,0.55,0.24,0.43,0.29,0.21,0.5,0.19,0.41,Matches
André-Frank Zambo Anguissa,cm CMR,MF,28-099,20,18,1560.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9,1.9,1.3,3.2,25.0,86.0,67.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18,Matches
Piotr Zieliński,pl POL,MF,29-279,20,18,1460.0,16.2,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.9,1.2,3.1,4.2,30.0,103.0,63.0,0.12,0.12,0.25,0.06,0.18,0.12,0.19,0.31,0.07,0.26,Matches
Alex Meret,it ITA,GK,26-338,17,17,1513.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Jesus,br BRA,DF,32-258,14,13,1216.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.2,0.6,3.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Giacomo Raspadori,it ITA,"FW,MF",24-005,24,11,1168.0,13.0,3.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,4.0,3.2,2.5,5.8,18.0,40.0,97.0,0.23,0.15,0.39,0.23,0.39,0.31,0.2,0.5,0.25,0.44,Matches
