Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-13,16:30,Premier League,Matchweek 1,Sun,Away,D,1.0,1.0,Chelsea,1.3,1.4,35.0,40096.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,
2023-08-19,15:00,Premier League,Matchweek 2,Sat,Home,W,3.0,1.0,Bournemouth,3.0,1.3,64.0,53145.0,Virgil van Dijk,4-3-3,Thomas Bramall,Match Report,
2023-08-27,16:30,Premier League,Matchweek 3,Sun,Away,W,2.0,1.0,Newcastle Utd,0.9,2.0,41.0,52214.0,Virgil van Dijk,4-3-3,John Brooks,Match Report,
2023-09-03,14:00,Premier League,Matchweek 4,Sun,Home,W,3.0,0.0,Aston Villa,2.5,0.7,63.0,50109.0,Trent Alexander-Arnold,4-3-3,Simon Hooper,Match Report,
2023-09-16,12:30,Premier League,Matchweek 5,Sat,Away,W,3.0,1.0,Wolves,2.5,0.6,65.0,31257.0,Andrew Robertson,4-3-3,Michael Oliver,Match Report,
2023-09-21,18:45,Europa Lg,Group stage,Thu,Away,W,3.0,1.0,at LASK,2.2,0.3,66.0,18091.0,Virgil van Dijk,4-3-3,Marco Di Bello,Match Report,
2023-09-24,14:00,Premier League,Matchweek 6,Sun,Home,W,3.0,1.0,West Ham,3.0,1.1,63.0,50136.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,
2023-09-27,19:45,EFL Cup,Third round,Wed,Home,W,3.0,1.0,Leicester City,,,57.0,49732.0,Curtis Jones,4-3-3,Tim Robinson,Match Report,
2023-09-30,17:30,Premier League,Matchweek 7,Sat,Away,L,1.0,2.0,Tottenham,1.3,2.2,36.0,62001.0,Virgil van Dijk,4-3-3,Simon Hooper,Match Report,
2023-10-05,20:00,Europa Lg,Group stage,Thu,Home,W,2.0,0.0,be Union SG,2.9,1.1,72.0,49513.0,Trent Alexander-Arnold,4-3-3,Morten Krogh,Match Report,
2023-10-08,14:00,Premier League,Matchweek 8,Sun,Away,D,2.0,2.0,Brighton,2.3,2.3,54.0,31752.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,
2023-10-21,12:30,Premier League,Matchweek 9,Sat,Home,W,2.0,0.0,Everton,2.2,0.1,77.0,50201.0,Virgil van Dijk,4-3-3,Craig Pawson,Match Report,
2023-10-26,20:00,Europa Lg,Group stage,Thu,Home,W,5.0,1.0,fr Toulouse,2.9,1.1,62.0,49338.0,Trent Alexander-Arnold,4-3-3,Rade Obrenović,Match Report,
2023-10-29,14:00,Premier League,Matchweek 10,Sun,Home,W,3.0,0.0,Nott'ham Forest,3.2,0.4,72.0,50143.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,
