Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-14,20:00,Premier League,Matchweek 1,Mon,Home,W,1.0,0.0,Wolves,2.2,2.2,51.0,73358.0,Bruno Fernandes,4-1-4-1,Simon Hooper,Match Report,
2023-08-19,17:30,Premier League,Matchweek 2,Sat,Away,L,0.0,2.0,Tottenham,2.1,1.7,45.0,61910.0,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,
2023-08-26,15:00,Premier League,Matchweek 3,Sat,Home,W,3.0,2.0,Nott'ham Forest,2.8,1.2,66.0,73595.0,Bruno Fernandes,4-2-3-1,Stuart Attwell,Match Report,
2023-09-03,16:30,Premier League,Matchweek 4,Sun,Away,L,1.0,3.0,Arsenal,0.9,2.3,45.0,60192.0,Bruno Fernandes,4-2-3-1,Anthony Taylor,Match Report,
2023-09-16,15:00,Premier League,Matchweek 5,Sat,Home,L,1.0,3.0,Brighton,1.0,1.7,44.0,73592.0,Bruno Fernandes,4-1-2-1-2◆,Jarred Gillett,Match Report,
2023-09-20,21:00,Champions Lg,Group stage,Wed,Away,L,3.0,4.0,de Bayern Munich,1.7,2.2,41.0,75000.0,Bruno Fernandes,4-2-3-1,Glenn Nyberg,Match Report,
2023-09-23,20:00,Premier League,Matchweek 6,Sat,Away,W,1.0,0.0,Burnley,1.0,1.1,39.0,21593.0,Bruno Fernandes,4-2-3-1,Tony Harrington,Match Report,
2023-09-26,20:00,EFL Cup,Third round,Tue,Home,W,3.0,0.0,Crystal Palace,,,69.0,72842.0,Raphaël Varane,4-2-3-1,Michael Salisbury,Match Report,
2023-09-30,15:00,Premier League,Matchweek 7,Sat,Home,L,0.0,1.0,Crystal Palace,1.3,0.9,77.0,73428.0,Bruno Fernandes,4-2-3-1,Chris Kavanagh,Match Report,
2023-10-03,20:00,Champions Lg,Group stage,Tue,Home,L,2.0,3.0,tr Galatasaray,2.3,2.6,55.0,73204.0,Bruno Fernandes,4-3-3,Ivan Kružliak,Match Report,
2023-10-07,15:00,Premier League,Matchweek 8,Sat,Home,W,2.0,1.0,Brentford,1.4,0.9,64.0,73453.0,Bruno Fernandes,4-2-3-1,Andy Madley,Match Report,
2023-10-21,20:00,Premier League,Matchweek 9,Sat,Away,W,2.0,1.0,Sheffield Utd,1.1,1.4,62.0,31543.0,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,
2023-10-24,20:00,Champions Lg,Group stage,Tue,Home,W,1.0,0.0,dk FC Copenhagen,1.7,1.9,50.0,73249.0,Bruno Fernandes,4-2-3-1,Marco Guida,Match Report,
2023-10-29,15:30,Premier League,Matchweek 10,Sun,Home,L,0.0,3.0,Manchester City,0.9,4.0,40.0,73502.0,Bruno Fernandes,4-2-3-1,Paul Tierney,Match Report,
2023-11-01,20:15,EFL Cup,Fourth round,Wed,Home,L,0.0,3.0,Newcastle Utd,,,62.0,72484.0,Casemiro,4-2-3-1,Robert Jones,Match Report,
2023-11-04,12:30,Premier League,Matchweek 11,Sat,Away,W,1.0,0.0,Fulham,0.7,1.0,55.0,24415.0,Bruno Fernandes,4-2-3-1,John Brooks,Match Report,
2023-11-08,21:00,Champions Lg,Group stage,Wed,Away,L,3.0,4.0,dk FC Copenhagen,3.0,2.2,48.0,36099.0,Bruno Fernandes,4-2-3-1,Donatas Rumšas,Match Report,
2023-11-11,15:00,Premier League,Matchweek 12,Sat,Home,W,1.0,0.0,Luton Town,2.2,0.4,64.0,73599.0,Bruno Fernandes,4-2-3-1,Graham Scott,Match Report,
2023-11-26,16:30,Premier League,Matchweek 13,Sun,Away,W,3.0,0.0,Everton,2.2,2.4,49.0,39257.0,Bruno Fernandes,4-2-3-1,John Brooks,Match Report,
2023-11-29,20:45,Champions Lg,Group stage,Wed,Away,D,3.0,3.0,tr Galatasaray,1.6,1.5,43.0,51733.0,Bruno Fernandes,4-2-3-1,José Sánchez,Match Report,
2023-12-02,20:00,Premier League,Matchweek 14,Sat,Away,L,0.0,1.0,Newcastle Utd,0.5,2.4,42.0,52214.0,Bruno Fernandes,4-2-3-1,Robert Jones,Match Report,
2023-12-06,20:15,Premier League,Matchweek 15,Wed,Home,W,2.0,1.0,Chelsea,4.1,1.5,45.0,73607.0,Bruno Fernandes,4-2-3-1,Chris Kavanagh,Match Report,
2023-12-09,15:00,Premier League,Matchweek 16,Sat,Home,L,0.0,3.0,Bournemouth,1.1,1.5,68.0,73427.0,Bruno Fernandes,4-2-3-1,Peter Bankes,Match Report,
2023-12-12,20:00,Champions Lg,Group stage,Tue,Home,L,0.0,1.0,de Bayern Munich,0.3,1.2,41.0,73073.0,Bruno Fernandes,4-2-3-1,Espen Eskås,Match Report,
2023-12-17,16:30,Premier League,Matchweek 17,Sun,Away,D,0.0,0.0,Liverpool,0.8,2.3,32.0,57158.0,Scott McTominay,4-2-3-1,Michael Oliver,Match Report,
2023-12-23,12:30,Premier League,Matchweek 18,Sat,Away,L,0.0,2.0,West Ham,1.0,1.2,65.0,64472.0,Bruno Fernandes,4-2-3-1,Simon Hooper,Match Report,
2023-12-26,20:00,Premier League,Matchweek 19,Tue,Home,W,3.0,2.0,Aston Villa,1.1,1.7,46.0,73574.0,Bruno Fernandes,4-2-3-1,Craig Pawson,Match Report,
2023-12-30,17:30,Premier League,Matchweek 20,Sat,Away,L,1.0,2.0,Nott'ham Forest,0.8,0.7,56.0,29529.0,Bruno Fernandes,4-2-3-1,Tim Robinson,Match Report,
2024-01-08,20:15,FA Cup,Third round proper,Mon,Away,W,2.0,0.0,Wigan Athletic,,,67.0,22870.0,Bruno Fernandes,4-2-3-1,Anthony Taylor,Match Report,
2024-01-14,16:30,Premier League,Matchweek 21,Sun,Home,D,2.0,2.0,Tottenham,0.8,1.2,37.0,73489.0,Bruno Fernandes,4-2-3-1,John Brooks,Match Report,
2024-01-28,16:30,FA Cup,Fourth round proper,Sun,Away,W,4.0,2.0,Newport County,,,71.0,9086.0,Bruno Fernandes,4-2-3-1,David Coote,Match Report,
2024-02-01,20:15,Premier League,Matchweek 22,Thu,Away,W,4.0,3.0,Wolves,3.3,2.1,47.0,31641.0,Bruno Fernandes,4-2-3-1,Jarred Gillett,Match Report,
2024-02-04,14:00,Premier League,Matchweek 23,Sun,Home,W,3.0,0.0,West Ham,0.7,1.4,51.0,73612.0,Bruno Fernandes,4-2-3-1,Andy Madley,Match Report,
2024-02-11,16:30,Premier League,Matchweek 24,Sun,Away,W,2.0,1.0,Aston Villa,1.8,2.4,44.0,42185.0,Bruno Fernandes,4-2-3-1,Robert Jones,Match Report,
2024-02-18,16:30,Premier League,Matchweek 25,Sun,Away,W,2.0,1.0,Luton Town,2.9,1.8,42.0,11483.0,Bruno Fernandes,4-2-3-1,David Coote,Match Report,
2024-02-24,15:00,Premier League,Matchweek 26,Sat,Home,,,,Fulham,,,,,,,,Head-to-Head,
2024-02-28,19:45,FA Cup,Fifth round proper,Wed,Away,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
2024-03-03,15:30,Premier League,Matchweek 27,Sun,Away,,,,Manchester City,,,,,,,,Head-to-Head,
2024-03-09,12:30,Premier League,Matchweek 28,Sat,Home,,,,Everton,,,,,,,,Head-to-Head,
2024-03-16,15:00,Premier League,Matchweek 29,Sat,Home,,,,Sheffield Utd,,,,,,,,Head-to-Head,
2024-03-30,20:00,Premier League,Matchweek 30,Sat,Away,,,,Brentford,,,,,,,,Head-to-Head,
2024-04-03,19:45,Premier League,Matchweek 31,Wed,Away,,,,Chelsea,,,,,,,,Head-to-Head,
2024-04-06,15:00,Premier League,Matchweek 32,Sat,Home,,,,Liverpool,,,,,,,,Head-to-Head,
2024-04-13,,Premier League,Matchweek 33,Sat,Away,,,,Bournemouth,,,,,,,,Head-to-Head,
2024-04-20,,Premier League,Matchweek 34,Sat,Home,,,,Newcastle Utd,,,,,,,,Head-to-Head,
2024-04-27,,Premier League,Matchweek 35,Sat,Home,,,,Burnley,,,,,,,,Head-to-Head,
2024-05-04,,Premier League,Matchweek 36,Sat,Away,,,,Crystal Palace,,,,,,,,Head-to-Head,
2024-05-11,,Premier League,Matchweek 37,Sat,Home,,,,Arsenal,,,,,,,,Head-to-Head,
2024-05-19,,Premier League,Matchweek 38,Sun,Away,,,,Brighton,,,,,,,,Head-to-Head,
