Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,15:00,Premier League,Matchweek 1,Sat,Away,D,1.0,1.0,Bournemouth,1.1,1.3,38.0,11245.0,Kurt Zouma,4-2-3-1,Peter Bankes,Match Report,
2023-08-20,16:30,Premier League,Matchweek 2,Sun,Home,W,3.0,1.0,Chelsea,1.8,2.5,25.0,62451.0,Kurt Zouma,4-2-3-1,John Brooks,Match Report,
2023-08-26,17:30,Premier League,Matchweek 3,Sat,Away,W,3.0,1.0,Brighton,3.0,1.5,22.0,31508.0,Kurt Zouma,4-1-4-1,Anthony Taylor,Match Report,
2023-09-01,20:00,Premier League,Matchweek 4,Fri,Away,W,2.0,1.0,Luton Town,1.0,1.4,61.0,10802.0,Kurt Zouma,4-2-3-1,Paul Tierney,Match Report,
2023-09-16,15:00,Premier League,Matchweek 5,Sat,Home,L,1.0,3.0,Manchester City,0.9,3.6,32.0,62475.0,Kurt Zouma,4-2-3-1,Andy Madley,Match Report,
2023-09-21,20:00,Europa Lg,Group stage,Thu,Home,W,3.0,1.0,rs TSC Bačka Top,2.2,0.5,73.0,41374.0,Angelo Ogbonna,4-2-3-1,Filip Glova,Match Report,
2023-09-24,14:00,Premier League,Matchweek 6,Sun,Away,L,1.0,3.0,Liverpool,1.1,3.0,37.0,50136.0,Kurt Zouma,4-2-3-1,Chris Kavanagh,Match Report,
2023-09-27,19:45,EFL Cup,Third round,Wed,Away,W,1.0,0.0,Lincoln City,,,74.0,10168.0,Angelo Ogbonna,4-2-3-1,Joshua Smith,Match Report,
2023-09-30,15:00,Premier League,Matchweek 7,Sat,Home,W,2.0,0.0,Sheffield Utd,2.1,1.1,52.0,62459.0,Kurt Zouma,4-2-3-1,Graham Scott,Match Report,
2023-10-05,18:45,Europa Lg,Group stage,Thu,Away,W,2.0,1.0,de Freiburg,1.0,1.5,45.0,34100.0,Łukasz Fabiański,4-2-3-1,Mohammed Al Hakim,Match Report,
2023-10-08,14:00,Premier League,Matchweek 8,Sun,Home,D,2.0,2.0,Newcastle Utd,1.2,2.0,36.0,62473.0,Kurt Zouma,4-2-3-1,Peter Bankes,Match Report,
2023-10-22,16:30,Premier League,Matchweek 9,Sun,Away,L,1.0,4.0,Aston Villa,1.1,1.9,42.0,41734.0,Kurt Zouma,4-2-3-1,David Coote,Match Report,
2023-10-26,19:45,Europa Lg,Group stage,Thu,Away,L,1.0,2.0,gr Olympiacos,1.0,0.9,56.0,30623.0,Angelo Ogbonna,4-2-3-1,Andris Treimanis,Match Report,
2023-10-29,13:00,Premier League,Matchweek 10,Sun,Home,L,0.0,1.0,Everton,0.7,0.8,64.0,62469.0,Kurt Zouma,4-2-3-1,Stuart Attwell,Match Report,
2023-11-01,19:30,EFL Cup,Fourth round,Wed,Home,W,3.0,1.0,Arsenal,,,28.0,62154.0,Łukasz Fabiański,4-2-3-1,Simon Hooper,Match Report,
2023-11-04,15:00,Premier League,Matchweek 11,Sat,Away,L,2.0,3.0,Brentford,1.8,1.5,42.0,17103.0,James Ward-Prowse,4-4-2,Thomas Bramall,Match Report,
2023-11-09,20:00,Europa Lg,Group stage,Thu,Home,W,1.0,0.0,gr Olympiacos,1.5,0.6,56.0,55811.0,Łukasz Fabiański,4-2-3-1,Matej Jug,Match Report,
2023-11-12,14:00,Premier League,Matchweek 12,Sun,Home,W,3.0,2.0,Nott'ham Forest,1.8,1.7,54.0,62470.0,Kurt Zouma,4-2-3-1,Michael Salisbury,Match Report,
2023-11-25,15:00,Premier League,Matchweek 13,Sat,Away,W,2.0,1.0,Burnley,0.9,1.3,50.0,21319.0,Kurt Zouma,4-2-3-1,Samuel Barrott,Match Report,
2023-11-30,18:45,Europa Lg,Group stage,Thu,Away,W,1.0,0.0,rs TSC Bačka Top,0.6,0.7,59.0,4256.0,Łukasz Fabiański,4-3-3,Allard Lindhout,Match Report,
2023-12-03,14:00,Premier League,Matchweek 14,Sun,Home,D,1.0,1.0,Crystal Palace,1.1,0.9,55.0,62414.0,Tomáš Souček,4-2-3-1,Michael Oliver,Match Report,
2023-12-07,20:15,Premier League,Matchweek 15,Thu,Away,W,2.0,1.0,Tottenham,2.2,1.8,26.0,61171.0,Kurt Zouma,4-3-3,Michael Salisbury,Match Report,
2023-12-10,14:00,Premier League,Matchweek 16,Sun,Away,L,0.0,5.0,Fulham,1.3,2.3,37.0,23988.0,Kurt Zouma,4-4-1-1,Paul Tierney,Match Report,
2023-12-14,20:00,Europa Lg,Group stage,Thu,Home,W,2.0,0.0,de Freiburg,1.6,0.4,57.0,48876.0,Łukasz Fabiański,4-3-3,João Pinheiro,Match Report,
2023-12-17,14:00,Premier League,Matchweek 17,Sun,Home,W,3.0,0.0,Wolves,1.1,0.7,45.0,62455.0,Kurt Zouma,4-2-3-1,Chris Kavanagh,Match Report,
2023-12-20,20:00,EFL Cup,Quarter-finals,Wed,Away,L,1.0,5.0,Liverpool,,,33.0,57332.0,Angelo Ogbonna,4-2-3-1,Tim Robinson,Match Report,
2023-12-23,12:30,Premier League,Matchweek 18,Sat,Home,W,2.0,0.0,Manchester Utd,1.2,1.0,35.0,64472.0,Kurt Zouma,4-2-3-1,Simon Hooper,Match Report,
2023-12-28,20:15,Premier League,Matchweek 19,Thu,Away,W,2.0,0.0,Arsenal,1.4,2.7,27.0,60261.0,Angelo Ogbonna,4-2-3-1,Michael Oliver,Match Report,
2024-01-02,19:30,Premier League,Matchweek 20,Tue,Home,D,0.0,0.0,Brighton,0.7,2.3,32.0,62462.0,Angelo Ogbonna,4-2-3-1,Samuel Barrott,Match Report,
2024-01-07,14:00,FA Cup,Third round proper,Sun,Home,D,1.0,1.0,Bristol City,,,57.0,62447.0,Kurt Zouma,4-2-3-1,Graham Scott,Match Report,
2024-01-16,19:45,FA Cup,Third round proper,Tue,Away,L,0.0,1.0,Bristol City,,,57.0,25616.0,Kurt Zouma,3-4-3,Darren England,Match Report,
2024-01-21,14:00,Premier League,Matchweek 21,Sun,Away,D,2.0,2.0,Sheffield Utd,2.3,2.5,43.0,29164.0,Kurt Zouma,4-4-1-1,Michael Salisbury,Match Report,
2024-02-01,19:30,Premier League,Matchweek 22,Thu,Home,D,1.0,1.0,Bournemouth,1.4,1.2,48.0,62478.0,Kurt Zouma,4-3-2-1,Tim Robinson,Match Report,
2024-02-04,14:00,Premier League,Matchweek 23,Sun,Away,L,0.0,3.0,Manchester Utd,1.4,0.7,49.0,73612.0,Kurt Zouma,4-2-3-1,Andy Madley,Match Report,
2024-02-11,14:00,Premier League,Matchweek 24,Sun,Home,L,0.0,6.0,Arsenal,0.2,3.6,30.0,62475.0,Kurt Zouma,4-2-3-1,Craig Pawson,Match Report,
2024-02-17,15:00,Premier League,Matchweek 25,Sat,Away,L,0.0,2.0,Nott'ham Forest,0.5,2.8,51.0,29490.0,Kurt Zouma,4-2-3-1,Thomas Bramall,Match Report,
2024-02-26,20:00,Premier League,Matchweek 26,Mon,Home,,,,Brentford,,,,,,,,Head-to-Head,
2024-03-02,15:00,Premier League,Matchweek 27,Sat,Away,,,,Everton,,,,,,,,Head-to-Head,
2024-03-10,14:00,Premier League,Matchweek 28,Sun,Home,,,,Burnley,,,,,,,,Head-to-Head,
2024-03-17,14:00,Premier League,Matchweek 29,Sun,Home,,,,Aston Villa,,,,,,,,Head-to-Head,
2024-03-30,12:30,Premier League,Matchweek 30,Sat,Away,,,,Newcastle Utd,,,,,,,,Head-to-Head,
2024-04-02,19:45,Premier League,Matchweek 31,Tue,Home,,,,Tottenham,,,,,,,,Head-to-Head,
2024-04-06,15:00,Premier League,Matchweek 32,Sat,Away,,,,Wolves,,,,,,,,Head-to-Head,
2024-04-13,,Premier League,Matchweek 33,Sat,Home,,,,Fulham,,,,,,,,Head-to-Head,
2024-04-20,,Premier League,Matchweek 34,Sat,Away,,,,Crystal Palace,,,,,,,,Head-to-Head,
2024-04-27,,Premier League,Matchweek 35,Sat,Home,,,,Liverpool,,,,,,,,Head-to-Head,
2024-05-04,,Premier League,Matchweek 36,Sat,Away,,,,Chelsea,,,,,,,,Head-to-Head,
2024-05-11,,Premier League,Matchweek 37,Sat,Home,,,,Luton Town,,,,,,,,Head-to-Head,
2024-05-19,,Premier League,Matchweek 38,Sun,Away,,,,Manchester City,,,,,,,,Head-to-Head,
