Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-20,18:30,Serie A,Matchweek 1,Sun,Away,W,2.0,0.0,Sassuolo,1.3,0.4,51.0,12298.0,Marten de Roon,3-5-2,Matteo Marchetti,Match Report,
2023-08-26,18:30,Serie A,Matchweek 2,Sat,Away,L,1.0,2.0,Frosinone,1.6,0.7,63.0,13426.0,Marten de Roon,3-4-1-2,Juan Sacchi,Match Report,
2023-09-02,20:45,Serie A,Matchweek 3,Sat,Home,W,3.0,0.0,Monza,1.3,0.4,41.0,14985.0,Marten de Roon,3-4-1-2,Matteo Marcenaro,Match Report,
2023-09-17,18:00,Serie A,Matchweek 4,Sun,Away,L,2.0,3.0,Fiorentina,0.7,1.1,43.0,32100.0,Rafael Tolói,3-4-1-2,Luca Pairetto,Match Report,
2023-09-21,21:00,Europa Lg,Group stage,Thu,Home,W,2.0,0.0,pl RKS Raków,3.9,0.8,62.0,13698.0,Rafael Tolói,3-4-3,Roi Reinshreiber,Match Report,
2023-09-24,15:00,Serie A,Matchweek 5,Sun,Home,W,2.0,0.0,Cagliari,1.7,0.8,56.0,14739.0,Marten de Roon,3-4-3,Ermanno Feliciani,Match Report,
2023-09-27,18:30,Serie A,Matchweek 6,Wed,Away,W,1.0,0.0,Hellas Verona,1.2,0.5,49.0,15936.0,Rafael Tolói,3-4-3,Federico Dionisi,Match Report,
2023-10-01,18:00,Serie A,Matchweek 7,Sun,Home,D,0.0,0.0,Juventus,1.2,0.2,52.0,14811.0,Rafael Tolói,3-4-3,Daniele Chiffi,Match Report,
2023-10-05,17:45,Europa Lg,Group stage,Thu,Away,W,2.0,1.0,pt Sporting CP,2.1,2.0,51.0,42301.0,Marten de Roon,3-4-1-2,Alejandro Hernández,Match Report,
2023-10-08,15:00,Serie A,Matchweek 8,Sun,Away,L,2.0,3.0,Lazio,1.0,1.6,54.0,41000.0,Marten de Roon,3-4-1-2,Daniele Orsato,Match Report,
2023-10-22,18:00,Serie A,Matchweek 9,Sun,Home,W,2.0,0.0,Genoa,1.2,1.0,56.0,14848.0,Rafael Tolói,3-4-3,Livio Marinelli,Match Report,
