Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,17:45,Coppa Italia,First round,Sat,Home,L,1.0,2.0,Cittadella,,,59.0,1785.0,Sebastiano Luperto,4-2-3-1,Alessandro Prontera,Match Report,
2023-08-19,18:30,Serie A,Matchweek 1,Sat,Home,L,0.0,1.0,Hellas Verona,0.7,0.5,48.0,7940.0,Sebastiano Luperto,4-2-3-1,Luca Massimi,Match Report,
2023-08-26,18:30,Serie A,Matchweek 2,Sat,Away,L,0.0,2.0,Monza,1.0,2.0,46.0,8155.0,Sebastiano Luperto,4-2-3-1,Gianluca Aureliano,Match Report,
2023-09-03,20:45,Serie A,Matchweek 3,Sun,Home,L,0.0,2.0,Juventus,0.3,2.7,50.0,15702.0,Sebastiano Luperto,4-3-3,Giovanni Ayroldi,Match Report,
2023-09-17,20:45,Serie A,Matchweek 4,Sun,Away,L,0.0,7.0,Roma,0.2,2.4,47.0,61443.0,Sebastiano Luperto,4-3-3,Juan Sacchi,Match Report,
2023-09-24,12:30,Serie A,Matchweek 5,Sun,Home,L,0.0,1.0,Inter,0.3,1.6,39.0,15651.0,Sebastiano Luperto,4-3-2-1,Matteo Marcenaro,Match Report,
2023-09-27,18:30,Serie A,Matchweek 6,Wed,Home,W,1.0,0.0,Salernitana,3.2,0.6,42.0,7979.0,Sebastiano Luperto,4-3-2-1,Antonio Rapuano,Match Report,
2023-10-01,12:30,Serie A,Matchweek 7,Sun,Away,L,0.0,3.0,Bologna,0.9,2.4,42.0,23689.0,Sebastiano Luperto,4-3-1-2,Fabio Maresca,Match Report,
2023-10-06,18:30,Serie A,Matchweek 8,Fri,Home,D,0.0,0.0,Udinese,1.3,0.7,60.0,7128.0,Sebastiano Luperto,4-3-2-1,Michael Fabbri,Match Report,
2023-10-23,20:45,Serie A,Matchweek 9,Mon,Away,W,2.0,0.0,Fiorentina,1.5,1.0,29.0,43147.0,Sebastiano Luperto,4-3-2-1,Federico Dionisi,Match Report,
2023-10-30,18:30,Serie A,Matchweek 10,Mon,Home,L,0.0,3.0,Atalanta,0.3,1.6,44.0,7825.0,Sebastiano Luperto,4-3-3,Luca Massimi,Match Report,
2023-11-06,18:30,Serie A,Matchweek 11,Mon,Away,L,1.0,2.0,Frosinone,1.5,0.8,36.0,13229.0,Sebastiano Luperto,4-3-3,Gianluca Manganiello,Match Report,
2023-11-12,12:30,Serie A,Matchweek 12,Sun,Away,W,1.0,0.0,Napoli,0.5,0.9,35.0,50500.0,Sebastiano Luperto,4-3-3,Alessandro Prontera,Match Report,
2023-11-26,15:00,Serie A,Matchweek 13,Sun,Home,L,3.0,4.0,Sassuolo,1.4,2.3,49.0,9954.0,Sebastiano Luperto,4-3-3,Simone Sozza,Match Report,
2023-12-02,15:00,Serie A,Matchweek 14,Sat,Away,D,1.0,1.0,Genoa,0.8,1.0,50.0,30747.0,Sebastiano Luperto,4-3-3,Gianluca Aureliano,Match Report,
2023-12-11,18:30,Serie A,Matchweek 15,Mon,Home,D,1.0,1.0,Lecce,1.4,0.8,56.0,7152.0,Sebastiano Luperto,4-3-3,Andrea Colombo,Match Report,
2023-12-16,20:45,Serie A,Matchweek 16,Sat,Away,L,0.0,1.0,Torino,0.3,1.1,47.0,17815.0,Sebastiano Luperto,4-3-1-2,Livio Marinelli,Match Report,
2023-12-22,18:30,Serie A,Matchweek 17,Fri,Home,L,0.0,2.0,Lazio,0.8,2.3,54.0,8800.0,Sebastiano Luperto,4-3-3,Matteo Marchetti,Match Report,
2023-12-30,15:00,Serie A,Matchweek 18,Sat,Away,D,0.0,0.0,Cagliari,0.3,1.8,50.0,16125.0,Sebastiano Luperto,4-3-1-2,Fabio Maresca,Match Report,
2024-01-07,12:30,Serie A,Matchweek 19,Sun,Home,L,0.0,3.0,Milan,0.9,1.7,35.0,15009.0,Sebastiano Luperto,4-3-1-2,Federico La Penna,Match Report,
2024-01-13,18:00,Serie A,Matchweek 20,Sat,Away,L,1.0,2.0,Hellas Verona,0.8,0.8,60.0,28723.0,Sebastiano Luperto,4-3-3,Daniele Doveri,Match Report,
2024-01-21,15:00,Serie A,Matchweek 21,Sun,Home,W,3.0,0.0,Monza,1.3,0.8,28.0,,Sebastiano Luperto,3-5-2,Antonio Giua,Match Report,
2024-01-27,18:00,Serie A,Matchweek 22,Sat,Away,D,1.0,1.0,Juventus,0.8,0.8,60.0,,Sebastiano Luperto,3-5-2,Livio Marinelli,Match Report,
