Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-19,20:45,Serie A,Matchweek 1,Sat,Away,W,4,1,Genoa,1.0,0.2,68.0,33045.0,Cristiano Biraghi,4-2-3-1,Giovanni Ayroldi,Match Report,
2023-08-24,19:00,Conf Lg,Play-off round,Thu,Away,L,0,1,at Rapid Wien,,,,23000.0,Cristiano Biraghi,4-3-3,Igor Pajač,Match Report,Leg 1 of 2
2023-08-27,18:30,Serie A,Matchweek 2,Sun,Home,D,2,2,Lecce,1.3,0.3,59.0,34604.0,Giacomo Bonaventura,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,
2023-08-31,20:00,Conf Lg,Play-off round,Thu,Home,W,2,0,at Rapid Wien,,,,24135.0,Cristiano Biraghi,4-3-3,Novak Simović,Match Report,Leg 2 of 2; Fiorentina won
2023-09-03,18:30,Serie A,Matchweek 3,Sun,Away,L,0,4,Inter,0.4,3.7,60.0,72739.0,Cristiano Biraghi,4-2-3-1,Matteo Marchetti,Match Report,
2023-09-17,18:00,Serie A,Matchweek 4,Sun,Home,W,3,2,Atalanta,1.1,0.7,57.0,32100.0,Giacomo Bonaventura,4-2-3-1,Luca Pairetto,Match Report,
2023-09-21,18:45,Conf Lg,Group stage,Thu,Away,D,2,2,be Genk,1.4,1.6,49.0,11243.0,Cristiano Biraghi,4-3-3,Stéphanie Frappart,Match Report,
2023-09-24,15:00,Serie A,Matchweek 5,Sun,Away,W,2,0,Udinese,0.5,2.2,51.0,21229.0,Cristiano Biraghi,4-2-3-1,Daniele Chiffi,Match Report,
2023-09-28,18:30,Serie A,Matchweek 6,Thu,Away,D,1,1,Frosinone,1.4,0.7,48.0,14755.0,Cristiano Biraghi,4-2-3-1,Francesco Fourneau,Match Report,
2023-10-02,20:45,Serie A,Matchweek 7,Mon,Home,W,3,0,Cagliari,1.2,0.8,60.0,27309.0,Giacomo Bonaventura,4-2-3-1,Marco Di Bello,Match Report,
2023-10-05,21:00,Conf Lg,Group stage,Thu,Home,D,2,2,hu Ferencváros,2.4,1.4,61.0,20367.0,Cristiano Biraghi,4-2-3-1,Daniel Schlager,Match Report,
2023-10-08,20:45,Serie A,Matchweek 8,Sun,Away,W,3,1,Napoli,2.1,1.8,46.0,45000.0,Giacomo Bonaventura,4-2-3-1,Federico La Penna,Match Report,
2023-10-23,20:45,Serie A,Matchweek 9,Mon,Home,L,0,2,Empoli,1.0,1.5,71.0,43147.0,Giacomo Bonaventura,4-2-3-1,Federico Dionisi,Match Report,
