Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-11,17:45,Coppa Italia,First round,Fri,Home,W,1.0,0.0,Pisa,,,45.0,3804.0,Luca Mazzitelli,4-3-3,Davide Ghersini,Match Report,
2023-08-19,18:30,Serie A,Matchweek 1,Sat,Home,L,1.0,3.0,Napoli,0.9,1.5,48.0,15822.0,Luca Mazzitelli,4-3-3,Matteo Marcenaro,Match Report,
2023-08-26,18:30,Serie A,Matchweek 2,Sat,Home,W,2.0,1.0,Atalanta,0.7,1.6,37.0,13426.0,Luca Mazzitelli,4-2-3-1,Juan Sacchi,Match Report,
2023-09-02,18:30,Serie A,Matchweek 3,Sat,Away,D,0.0,0.0,Udinese,1.8,1.5,53.0,20116.0,Luca Mazzitelli,4-2-3-1,Marco Guida,Match Report,
2023-09-17,15:00,Serie A,Matchweek 4,Sun,Home,W,4.0,2.0,Sassuolo,2.8,1.3,55.0,13133.0,Luca Mazzitelli,4-4-2,Alessandro Prontera,Match Report,
2023-09-22,18:30,Serie A,Matchweek 5,Fri,Away,D,1.0,1.0,Salernitana,0.7,1.1,50.0,16217.0,Luca Mazzitelli,4-3-3,Marco Piccinini,Match Report,
2023-09-28,18:30,Serie A,Matchweek 6,Thu,Home,D,1.0,1.0,Fiorentina,0.7,1.4,52.0,14755.0,Luca Mazzitelli,4-3-3,Francesco Fourneau,Match Report,
2023-10-01,20:45,Serie A,Matchweek 7,Sun,Away,L,0.0,2.0,Roma,0.9,0.6,50.0,62638.0,Luca Mazzitelli,5-4-1,Matteo Marchetti,Match Report,
2023-10-08,15:00,Serie A,Matchweek 8,Sun,Home,W,2.0,1.0,Hellas Verona,1.8,0.8,52.0,13034.0,Luca Mazzitelli,4-3-3,Maria Sole Ferrieri Caputi,Match Report,
2023-10-22,15:00,Serie A,Matchweek 9,Sun,Away,L,1.0,2.0,Bologna,1.5,1.5,45.0,26729.0,Luca Mazzitelli,4-2-3-1,Daniele Doveri,Match Report,
2023-10-29,12:30,Serie A,Matchweek 10,Sun,Away,L,3.0,4.0,Cagliari,1.5,3.4,53.0,15946.0,Simone Romagnoli,4-2-3-1,Luca Pairetto,Match Report,
2023-11-02,21:00,Coppa Italia,Second round,Thu,Away,W,2.0,1.0,Torino,,,44.0,5233.0,Luca Mazzitelli,3-4-3,Francesco Fourneau,Match Report,Required Extra Time
2023-11-06,18:30,Serie A,Matchweek 11,Mon,Home,W,2.0,1.0,Empoli,0.8,1.5,64.0,13229.0,Luca Mazzitelli,4-2-3-1,Gianluca Manganiello,Match Report,
2023-11-12,20:45,Serie A,Matchweek 12,Sun,Away,L,0.0,2.0,Inter,0.7,3.1,53.0,70816.0,Luca Mazzitelli,3-4-3,Federico Dionisi,Match Report,
2023-11-26,15:00,Serie A,Matchweek 13,Sun,Home,W,2.0,1.0,Genoa,0.6,1.3,57.0,14018.0,Simone Romagnoli,4-2-3-1,Luca Zufferli,Match Report,
2023-12-02,20:45,Serie A,Matchweek 14,Sat,Away,L,1.0,3.0,Milan,0.7,1.2,53.0,68684.0,Simone Romagnoli,4-2-3-1,Matteo Marchetti,Match Report,
2023-12-10,12:30,Serie A,Matchweek 15,Sun,Home,D,0.0,0.0,Torino,0.8,1.2,52.0,13807.0,Simone Romagnoli,3-4-3,Luca Massimi,Match Report,
2023-12-16,15:00,Serie A,Matchweek 16,Sat,Away,L,1.0,2.0,Lecce,1.7,0.7,60.0,23645.0,Simone Romagnoli,4-3-3,Luca Zufferli,Match Report,
2023-12-19,21:00,Coppa Italia,Round of 16,Tue,Away,W,4.0,0.0,Napoli,,,37.0,25000.0,Luca Garritano,3-4-3,Rosario Abisso,Match Report,
2023-12-23,12:30,Serie A,Matchweek 17,Sat,Home,L,1.0,2.0,Juventus,0.5,1.1,56.0,38225.0,Simone Romagnoli,3-4-3,Maurizio Mariani,Match Report,
