Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,21:00,Coppa Italia,First round,Sat,Home,W,3.0,1.0,Ascoli,,,55.0,8746.0,Paweł Dawidowicz,3-4-3,Marco Piccinini,Match Report,
2023-08-19,18:30,Serie A,Matchweek 1,Sat,Away,W,1.0,0.0,Empoli,0.5,0.7,52.0,7940.0,Paweł Dawidowicz,3-4-3,Luca Massimi,Match Report,
2023-08-26,20:45,Serie A,Matchweek 2,Sat,Home,W,2.0,1.0,Roma,0.7,1.5,29.0,23147.0,Paweł Dawidowicz,3-4-3,Daniele Doveri,Match Report,
2023-09-01,18:30,Serie A,Matchweek 3,Fri,Away,L,1.0,3.0,Sassuolo,0.6,1.7,53.0,10356.0,Davide Faraoni,3-4-1-2,Marco Piccinini,Match Report,
2023-09-18,20:45,Serie A,Matchweek 4,Mon,Home,D,0.0,0.0,Bologna,0.4,0.6,40.0,18863.0,Davide Faraoni,3-4-3,Federico La Penna,Match Report,
2023-09-23,15:00,Serie A,Matchweek 5,Sat,Away,L,0.0,1.0,Milan,0.6,0.9,46.0,71070.0,Davide Faraoni,3-4-3,Fabio Maresca,Match Report,
2023-09-27,18:30,Serie A,Matchweek 6,Wed,Home,L,0.0,1.0,Atalanta,0.5,1.2,51.0,15936.0,Davide Faraoni,3-4-3,Federico Dionisi,Match Report,
2023-10-02,18:30,Serie A,Matchweek 7,Mon,Away,D,0.0,0.0,Torino,0.3,0.6,45.0,19419.0,Darko Lazović,3-4-3,Ermanno Feliciani,Match Report,
2023-10-08,15:00,Serie A,Matchweek 8,Sun,Away,L,1.0,2.0,Frosinone,0.8,1.8,48.0,13034.0,Darko Lazović,3-4-1-2,Maria Sole Ferrieri Caputi,Match Report,
2023-10-21,15:00,Serie A,Matchweek 9,Sat,Home,L,1.0,3.0,Napoli,1.3,2.3,40.0,20549.0,Davide Faraoni,3-4-3,Rosario Abisso,Match Report,
2023-10-28,20:45,Serie A,Matchweek 10,Sat,Away,L,0.0,1.0,Juventus,0.3,3.3,46.0,39429.0,Davide Faraoni,3-4-1-2,Ermanno Feliciani,Match Report,
2023-10-31,21:00,Coppa Italia,Second round,Tue,Away,L,0.0,2.0,Bologna,,,36.0,11593.0,Darko Lazović,3-5-2,Federico Dionisi,Match Report,
2023-11-05,12:30,Serie A,Matchweek 11,Sun,Home,L,1.0,3.0,Monza,1.0,0.9,46.0,17505.0,Davide Faraoni,3-5-2,Giuseppe Collu,Match Report,
2023-11-10,20:45,Serie A,Matchweek 12,Fri,Away,L,0.0,1.0,Genoa,0.2,1.6,50.0,30421.0,Giangiacomo Magnani,3-5-2,Daniele Orsato,Match Report,
2023-11-27,18:30,Serie A,Matchweek 13,Mon,Home,D,2.0,2.0,Lecce,1.7,1.0,49.0,16730.0,Milan Đurić,4-2-3-1,Federico La Penna,Match Report,
2023-12-03,15:00,Serie A,Matchweek 14,Sun,Away,D,3.0,3.0,Udinese,1.3,1.9,60.0,22294.0,Darko Lazović,4-2-3-1,Fabio Maresca,Match Report,
2023-12-09,15:00,Serie A,Matchweek 15,Sat,Home,D,1.0,1.0,Lazio,1.0,1.0,29.0,28311.0,Milan Đurić,4-2-3-1,Giovanni Ayroldi,Match Report,
2023-12-17,15:00,Serie A,Matchweek 16,Sun,Away,L,0.0,1.0,Fiorentina,2.5,0.5,35.0,26311.0,Darko Lazović,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,
2023-12-23,18:00,Serie A,Matchweek 17,Sat,Home,W,2.0,0.0,Cagliari,0.9,0.8,57.0,16716.0,Paweł Dawidowicz,4-2-3-1,Daniele Orsato,Match Report,
2023-12-30,18:00,Serie A,Matchweek 18,Sat,Home,L,0.0,1.0,Salernitana,0.8,0.5,48.0,18181.0,Paweł Dawidowicz,4-2-3-1,Maurizio Mariani,Match Report,
