Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-19,20:45,Serie A,Matchweek 1,Sat,Home,W,2.0,0.0,Monza,2.7,0.8,47.0,72509.0,Lautaro Martínez,3-5-2,Andrea Colombo,Match Report,
2023-08-28,20:45,Serie A,Matchweek 2,Mon,Away,W,2.0,0.0,Cagliari,0.9,0.6,67.0,16412.0,Lautaro Martínez,3-5-2,Michael Fabbri,Match Report,
2023-09-03,18:30,Serie A,Matchweek 3,Sun,Home,W,4.0,0.0,Fiorentina,3.7,0.4,40.0,72739.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,
2023-09-16,18:00,Serie A,Matchweek 4,Sat,Home,W,5.0,1.0,Milan,2.6,1.1,41.0,75571.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,
2023-09-20,21:00,Champions Lg,Group stage,Wed,Away,D,1.0,1.0,es Real Sociedad,0.5,1.3,56.0,36591.0,Lautaro Martínez,3-5-2,Michael Oliver,Match Report,
2023-09-24,12:30,Serie A,Matchweek 5,Sun,Away,W,1.0,0.0,Empoli,1.6,0.3,61.0,15651.0,Lautaro Martínez,3-5-2,Matteo Marcenaro,Match Report,
2023-09-27,20:45,Serie A,Matchweek 6,Wed,Home,L,1.0,2.0,Sassuolo,0.9,1.0,63.0,70864.0,Lautaro Martínez,3-5-2,Luca Massimi,Match Report,
2023-09-30,20:45,Serie A,Matchweek 7,Sat,Away,W,4.0,0.0,Salernitana,2.3,0.6,64.0,28085.0,Nicolò Barella,3-5-2,Rosario Abisso,Match Report,
2023-10-03,21:00,Champions Lg,Group stage,Tue,Home,W,1.0,0.0,pt Benfica,3.8,0.3,47.0,66573.0,Lautaro Martínez,3-5-2,Danny Makkelie,Match Report,
2023-10-07,15:00,Serie A,Matchweek 8,Sat,Home,D,2.0,2.0,Bologna,0.7,1.3,63.0,74072.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,
2023-10-21,18:00,Serie A,Matchweek 9,Sat,Away,W,3.0,0.0,Torino,2.5,0.4,53.0,26193.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,
2023-10-24,18:45,Champions Lg,Group stage,Tue,Home,W,2.0,1.0,at RB Salzburg,2.3,0.5,55.0,71825.0,Lautaro Martínez,3-5-2,François Letexier,Match Report,
2023-10-29,18:00,Serie A,Matchweek 10,Sun,Home,W,1.0,0.0,Roma,2.2,0.1,63.0,75573.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,
2023-11-04,18:00,Serie A,Matchweek 11,Sat,Away,W,2.0,1.0,Atalanta,1.3,1.0,46.0,14945.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,
2023-11-08,21:00,Champions Lg,Group stage,Wed,Away,W,1.0,0.0,at RB Salzburg,2.0,0.8,50.0,30071.0,Alessandro Bastoni,3-5-2,Serdar Gözübüyük,Match Report,
2023-11-12,20:45,Serie A,Matchweek 12,Sun,Home,W,2.0,0.0,Frosinone,3.1,0.7,47.0,70816.0,Lautaro Martínez,3-5-2,Federico Dionisi,Match Report,
2023-11-26,20:45,Serie A,Matchweek 13,Sun,Away,D,1.0,1.0,Juventus,0.9,0.4,65.0,41507.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,
2023-11-29,20:00,Champions Lg,Group stage,Wed,Away,D,3.0,3.0,pt Benfica,3.0,1.6,59.0,52944.0,Stefan de Vrij,3-1-4-2,Andris Treimanis,Match Report,
2023-12-03,20:45,Serie A,Matchweek 14,Sun,Away,W,3.0,0.0,Napoli,2.7,0.6,43.0,55000.0,Lautaro Martínez,3-5-2,Davide Massa,Match Report,
2023-12-09,20:45,Serie A,Matchweek 15,Sat,Home,W,4.0,0.0,Udinese,3.5,0.8,74.0,71874.0,Lautaro Martínez,3-5-2,Marco Di Bello,Match Report,
2023-12-12,21:00,Champions Lg,Group stage,Tue,Home,D,0.0,0.0,es Real Sociedad,0.7,0.7,45.0,69010.0,Matteo Darmian,3-5-2,Sandro Schärer,Match Report,
2023-12-17,20:45,Serie A,Matchweek 16,Sun,Away,W,2.0,0.0,Lazio,1.6,1.5,52.0,59000.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,
