Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-20,20:45,Serie A,Matchweek 1,Sun,Away,W,3.0,0.0,Udinese,1.8,1.0,51.0,24911.0,Danilo,3-1-4-2,Antonio Rapuano,Match Report,
2023-08-27,18:30,Serie A,Matchweek 2,Sun,Home,D,1.0,1.0,Bologna,0.8,0.5,58.0,36107.0,Danilo,3-1-4-2,Marco Di Bello,Match Report,
2023-09-03,20:45,Serie A,Matchweek 3,Sun,Away,W,2.0,0.0,Empoli,2.7,0.3,50.0,15702.0,Danilo,3-5-2,Giovanni Ayroldi,Match Report,
2023-09-16,15:00,Serie A,Matchweek 4,Sat,Home,W,3.0,1.0,Lazio,2.2,0.6,36.0,40652.0,Danilo,3-1-4-2,Fabio Maresca,Match Report,
2023-09-23,18:00,Serie A,Matchweek 5,Sat,Away,L,2.0,4.0,Sassuolo,1.2,1.6,57.0,20141.0,Danilo,3-1-4-2,Andrea Colombo,Match Report,
2023-09-26,20:45,Serie A,Matchweek 6,Tue,Home,W,1.0,0.0,Lecce,1.4,0.1,50.0,37498.0,Danilo,3-1-4-2,Antonio Giua,Match Report,
2023-10-01,18:00,Serie A,Matchweek 7,Sun,Away,D,0.0,0.0,Atalanta,0.2,1.2,48.0,14811.0,Danilo,3-1-4-2,Daniele Chiffi,Match Report,
2023-10-07,18:00,Serie A,Matchweek 8,Sat,Home,W,2.0,0.0,Torino,1.9,0.6,50.0,38858.0,Danilo,3-5-2,Davide Massa,Match Report,
2023-10-22,20:45,Serie A,Matchweek 9,Sun,Away,W,1.0,0.0,Milan,1.4,0.3,48.0,75676.0,Adrien Rabiot,3-5-2,Maurizio Mariani,Match Report,
2023-10-28,20:45,Serie A,Matchweek 10,Sat,Home,W,1.0,0.0,Hellas Verona,3.3,0.3,54.0,39429.0,Adrien Rabiot,3-5-2,Ermanno Feliciani,Match Report,
2023-11-05,20:45,Serie A,Matchweek 11,Sun,Away,W,1.0,0.0,Fiorentina,0.7,0.7,32.0,38225.0,Adrien Rabiot,3-5-2,Daniele Chiffi,Match Report,
2023-11-11,18:00,Serie A,Matchweek 12,Sat,Home,W,2.0,1.0,Cagliari,2.3,0.6,49.0,39892.0,Manuel Locatelli,3-5-2,Marco Piccinini,Match Report,
2023-11-26,20:45,Serie A,Matchweek 13,Sun,Home,D,1.0,1.0,Inter,0.4,0.9,35.0,41507.0,Adrien Rabiot,5-3-2,Marco Guida,Match Report,
2023-12-01,20:45,Serie A,Matchweek 14,Fri,Away,W,2.0,1.0,Monza,2.5,0.7,35.0,15148.0,Adrien Rabiot,3-5-2,Michael Fabbri,Match Report,
2023-12-08,20:45,Serie A,Matchweek 15,Fri,Home,W,1.0,0.0,Napoli,0.9,1.2,34.0,41400.0,Danilo,3-5-2,Daniele Orsato,Match Report,
2023-12-15,20:45,Serie A,Matchweek 16,Fri,Away,D,1.0,1.0,Genoa,1.7,0.8,57.0,33232.0,Danilo,3-5-2,Davide Massa,Match Report,
2023-12-23,12:30,Serie A,Matchweek 17,Sat,Away,W,2.0,1.0,Frosinone,1.1,0.5,44.0,38225.0,Danilo,3-5-2,Maurizio Mariani,Match Report,
2023-12-30,20:45,Serie A,Matchweek 18,Sat,Home,W,1.0,0.0,Roma,1.1,0.5,43.0,41503.0,Danilo,3-5-2,Simone Sozza,Match Report,
2024-01-04,21:00,Coppa Italia,Round of 16,Thu,Home,W,6.0,1.0,Salernitana,,,58.0,40548.0,Danilo,3-5-2,Davide Ghersini,Match Report,
2024-01-07,18:00,Serie A,Matchweek 19,Sun,Away,W,2.0,1.0,Salernitana,2.0,0.8,70.0,40548.0,Danilo,3-5-2,Marco Guida,Match Report,
2024-01-11,21:00,Coppa Italia,Quarter-finals,Thu,Home,W,4.0,0.0,Frosinone,,,46.0,37940.0,Danilo,3-5-2,Juan Sacchi,Match Report,
