Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-20,20:45,Serie A,Matchweek 1,Sun,Away,L,1.0,2.0,Lecce,1.6,1.4,52.0,29081.0,Ciro Immobile,4-3-3,Federico Dionisi,Match Report,
2023-08-27,20:45,Serie A,Matchweek 2,Sun,Home,L,0.0,1.0,Genoa,1.4,0.6,70.0,40000.0,Ciro Immobile,4-3-3,Livio Marinelli,Match Report,
2023-09-02,20:45,Serie A,Matchweek 3,Sat,Away,W,2.0,1.0,Napoli,0.6,1.3,38.0,42000.0,Ciro Immobile,4-3-3,Andrea Colombo,Match Report,
2023-09-16,15:00,Serie A,Matchweek 4,Sat,Away,L,1.0,3.0,Juventus,0.6,2.2,64.0,40652.0,Ciro Immobile,4-3-3,Fabio Maresca,Match Report,
2023-09-19,21:00,Champions Lg,Group stage,Tue,Home,D,1.0,1.0,es Atlético Madrid,1.2,0.9,49.0,46168.0,Ciro Immobile,4-3-3,Slavko Vinčič,Match Report,
2023-09-23,20:45,Serie A,Matchweek 5,Sat,Home,D,1.0,1.0,Monza,1.0,1.2,49.0,36000.0,Ciro Immobile,4-3-3,Rosario Abisso,Match Report,
2023-09-27,20:45,Serie A,Matchweek 6,Wed,Home,W,2.0,0.0,Torino,0.9,0.3,51.0,35100.0,Ciro Immobile,4-3-3,Michael Fabbri,Match Report,
2023-09-30,18:00,Serie A,Matchweek 7,Sat,Away,L,0.0,2.0,Milan,0.5,2.2,49.0,72035.0,Luis Alberto,4-3-3,Davide Massa,Match Report,
2023-10-04,20:00,Champions Lg,Group stage,Wed,Away,W,2.0,1.0,sct Celtic,0.7,1.1,46.0,56063.0,Ciro Immobile,4-3-3,Donatas Rumšas,Match Report,
2023-10-08,15:00,Serie A,Matchweek 8,Sun,Home,W,3.0,2.0,Atalanta,1.6,1.0,46.0,41000.0,Luis Alberto,4-3-3,Daniele Orsato,Match Report,
2023-10-21,20:45,Serie A,Matchweek 9,Sat,Away,W,2.0,0.0,Sassuolo,2.3,0.5,49.0,15597.0,Luis Alberto,4-3-3,Marco Di Bello,Match Report,
2023-10-25,18:45,Champions Lg,Group stage,Wed,Away,L,1.0,3.0,nl Feyenoord,2.3,2.1,54.0,44031.0,Ciro Immobile,4-3-3,Tobias Stieler,Match Report,
2023-10-30,20:45,Serie A,Matchweek 10,Mon,Home,W,1.0,0.0,Fiorentina,1.9,0.4,48.0,35000.0,Luis Alberto,4-3-3,Matteo Marcenaro,Match Report,
2023-11-03,20:45,Serie A,Matchweek 11,Fri,Away,L,0.0,1.0,Bologna,0.5,0.6,50.0,24178.0,Luis Alberto,4-3-3,Federico La Penna,Match Report,
2023-11-07,21:00,Champions Lg,Group stage,Tue,Home,W,1.0,0.0,nl Feyenoord,1.1,1.4,36.0,36612.0,Ciro Immobile,4-3-3,Szymon Marciniak,Match Report,
2023-11-12,18:00,Serie A,Matchweek 12,Sun,Home,D,0.0,0.0,Roma,0.4,0.4,49.0,63000.0,Ciro Immobile,4-3-3,Davide Massa,Match Report,
2023-11-25,15:00,Serie A,Matchweek 13,Sat,Away,L,1.0,2.0,Salernitana,2.0,1.7,62.0,16700.0,Ciro Immobile,4-3-3,Alessandro Prontera,Match Report,
2023-11-28,18:45,Champions Lg,Group stage,Tue,Home,W,2.0,0.0,sct Celtic,2.3,0.4,46.0,50555.0,Luis Alberto,4-3-3,Halil Umut Meler,Match Report,
2023-12-02,18:00,Serie A,Matchweek 14,Sat,Home,W,1.0,0.0,Cagliari,2.0,0.6,60.0,37000.0,Ciro Immobile,4-3-3,Federico Dionisi,Match Report,
2023-12-05,21:00,Coppa Italia,Round of 16,Tue,Home,W,1.0,0.0,Genoa,,,55.0,38012.0,Patric,4-3-3,Juan Sacchi,Match Report,
2023-12-09,15:00,Serie A,Matchweek 15,Sat,Away,D,1.0,1.0,Hellas Verona,1.0,1.0,71.0,28311.0,Ciro Immobile,4-3-3,Giovanni Ayroldi,Match Report,
2023-12-13,21:00,Champions Lg,Group stage,Wed,Away,L,0.0,2.0,es Atlético Madrid,0.9,1.3,43.0,63574.0,Ciro Immobile,4-3-3,Serdar Gözübüyük,Match Report,
2023-12-17,20:45,Serie A,Matchweek 16,Sun,Home,L,0.0,2.0,Inter,1.5,1.6,48.0,59000.0,Ciro Immobile,4-3-3,Fabio Maresca,Match Report,
2023-12-22,18:30,Serie A,Matchweek 17,Fri,Away,W,2.0,0.0,Empoli,2.3,0.8,46.0,8800.0,Ciro Immobile,4-3-3,Matteo Marchetti,Match Report,
