Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-13,21:00,Coppa Italia,First round,Sun,Home,W,1.0,0.0,Como,,,52.0,14174.0,Gabriel Strefezza,4-3-3,Daniele Rutella,Match Report,
2023-08-20,20:45,Serie A,Matchweek 1,Sun,Home,W,2.0,1.0,Lazio,1.4,1.6,48.0,29081.0,Gabriel Strefezza,4-3-3,Federico Dionisi,Match Report,
2023-08-27,18:30,Serie A,Matchweek 2,Sun,Away,D,2.0,2.0,Fiorentina,0.3,1.3,41.0,34604.0,Gabriel Strefezza,4-3-3,Maria Sole Ferrieri Caputi,Match Report,
2023-09-03,20:45,Serie A,Matchweek 3,Sun,Home,W,2.0,0.0,Salernitana,1.7,1.1,46.0,28052.0,Federico Baschirotto,4-3-3,Luca Massimi,Match Report,
2023-09-17,15:00,Serie A,Matchweek 4,Sun,Away,D,1.0,1.0,Monza,0.9,2.2,39.0,13074.0,Federico Baschirotto,4-3-3,Livio Marinelli,Match Report,
2023-09-22,20:45,Serie A,Matchweek 5,Fri,Home,W,1.0,0.0,Genoa,0.9,0.3,56.0,27000.0,Gabriel Strefezza,4-3-3,Antonio Rapuano,Match Report,
2023-09-26,20:45,Serie A,Matchweek 6,Tue,Away,L,0.0,1.0,Juventus,0.1,1.4,50.0,37498.0,Gabriel Strefezza,4-3-3,Antonio Giua,Match Report,
2023-09-30,15:00,Serie A,Matchweek 7,Sat,Home,L,0.0,4.0,Napoli,0.5,2.5,44.0,27588.0,Gabriel Strefezza,4-3-3,Luca Pairetto,Match Report,
2023-10-06,20:45,Serie A,Matchweek 8,Fri,Home,D,1.0,1.0,Sassuolo,1.7,1.5,43.0,26160.0,Gabriel Strefezza,4-3-3,Juan Sacchi,Match Report,
2023-10-23,18:30,Serie A,Matchweek 9,Mon,Away,D,1.0,1.0,Udinese,0.8,2.1,54.0,20113.0,Gabriel Strefezza,4-3-3,Paride Tremolada,Match Report,
2023-10-28,18:00,Serie A,Matchweek 10,Sat,Home,L,0.0,1.0,Torino,0.5,0.8,49.0,26123.0,Federico Baschirotto,4-3-3,Gianluca Aureliano,Match Report,
2023-11-01,18:00,Coppa Italia,Second round,Wed,Home,L,2.0,4.0,Parma,,,58.0,6654.0,Gabriel Strefezza,4-3-3,Daniele Minelli,Match Report,
2023-11-05,18:00,Serie A,Matchweek 11,Sun,Away,L,1.0,2.0,Roma,0.8,2.0,40.0,64790.0,Federico Baschirotto,4-3-3,Andrea Colombo,Match Report,
2023-11-11,15:00,Serie A,Matchweek 12,Sat,Home,D,2.0,2.0,Milan,1.4,1.1,45.0,26480.0,Gabriel Strefezza,4-3-3,Rosario Abisso,Match Report,
2023-11-27,18:30,Serie A,Matchweek 13,Mon,Away,D,2.0,2.0,Hellas Verona,1.0,1.7,51.0,16730.0,Alexis Blin,4-3-3,Federico La Penna,Match Report,
2023-12-03,12:30,Serie A,Matchweek 14,Sun,Home,D,1.0,1.0,Bologna,1.5,1.2,43.0,24326.0,Gabriel Strefezza,4-2-3-1,Daniele Doveri,Match Report,
2023-12-11,18:30,Serie A,Matchweek 15,Mon,Away,D,1.0,1.0,Empoli,0.8,1.4,44.0,7152.0,Federico Baschirotto,4-2-3-1,Andrea Colombo,Match Report,
2023-12-16,15:00,Serie A,Matchweek 16,Sat,Home,W,2.0,1.0,Frosinone,0.7,1.7,40.0,23645.0,Gabriel Strefezza,4-3-3,Luca Zufferli,Match Report,
2023-12-23,18:00,Serie A,Matchweek 17,Sat,Away,L,0.0,2.0,Inter,1.3,2.9,32.0,72723.0,Gabriel Strefezza,4-3-3,Matteo Marcenaro,Match Report,
