Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-21,20:45,Serie A,Matchweek 1,Mon,Away,W,2.0,0.0,Bologna,0.9,1.0,47.0,30203.0,Davide Calabria,4-3-3,Luca Pairetto,Match Report,
2023-08-26,20:45,Serie A,Matchweek 2,Sat,Home,W,4.0,1.0,Torino,3.0,0.5,59.0,72013.0,Davide Calabria,4-3-3,Maurizio Mariani,Match Report,
2023-09-01,20:45,Serie A,Matchweek 3,Fri,Away,W,2.0,1.0,Roma,1.5,0.7,56.0,61690.0,Davide Calabria,4-2-3-1,Antonio Rapuano,Match Report,
2023-09-16,18:00,Serie A,Matchweek 4,Sat,Away,L,1.0,5.0,Inter,1.1,2.6,59.0,75571.0,Davide Calabria,4-3-3,Simone Sozza,Match Report,
2023-09-19,18:45,Champions Lg,Group stage,Tue,Home,D,0.0,0.0,eng Newcastle Utd,1.9,0.3,53.0,65695.0,Davide Calabria,4-3-3,José Sánchez,Match Report,
2023-09-23,15:00,Serie A,Matchweek 5,Sat,Home,W,1.0,0.0,Hellas Verona,0.9,0.6,54.0,71070.0,Rafael Leão,4-2-3-1,Fabio Maresca,Match Report,
2023-09-27,18:30,Serie A,Matchweek 6,Wed,Away,W,3.0,1.0,Cagliari,2.1,0.9,66.0,16348.0,Theo Hernández,4-3-3,Federico La Penna,Match Report,
2023-09-30,18:00,Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Lazio,2.2,0.5,51.0,72035.0,Davide Calabria,4-3-3,Davide Massa,Match Report,
2023-10-04,21:00,Champions Lg,Group stage,Wed,Away,D,0.0,0.0,de Dortmund,1.6,1.0,43.0,81365.0,Davide Calabria,4-3-3,Szymon Marciniak,Match Report,
2023-10-07,20:45,Serie A,Matchweek 8,Sat,Away,W,1.0,0.0,Genoa,0.6,0.5,59.0,33157.0,Theo Hernández,4-3-3,Marco Piccinini,Match Report,
2023-10-22,20:45,Serie A,Matchweek 9,Sun,Home,L,0.0,1.0,Juventus,0.3,1.4,52.0,75676.0,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,
2023-10-25,21:00,Champions Lg,Group stage,Wed,Away,L,0.0,3.0,fr Paris S-G,0.6,1.3,39.0,45962.0,Theo Hernández,4-3-3,Slavko Vinčič,Match Report,
2023-10-29,20:45,Serie A,Matchweek 10,Sun,Away,D,2.0,2.0,Napoli,2.0,1.7,52.0,54000.0,Davide Calabria,4-3-3,Daniele Orsato,Match Report,
2023-11-04,20:45,Serie A,Matchweek 11,Sat,Home,L,0.0,1.0,Udinese,0.9,1.4,72.0,71018.0,Davide Calabria,4-4-2,Juan Sacchi,Match Report,
2023-11-07,21:00,Champions Lg,Group stage,Tue,Home,W,2.0,1.0,fr Paris S-G,1.4,1.5,31.0,75649.0,Davide Calabria,4-2-3-1,Jesús Gil,Match Report,
2023-11-11,15:00,Serie A,Matchweek 12,Sat,Away,D,2.0,2.0,Lecce,1.1,1.4,55.0,26480.0,Davide Calabria,4-2-3-1,Rosario Abisso,Match Report,
2023-11-25,20:45,Serie A,Matchweek 13,Sat,Home,W,1.0,0.0,Fiorentina,1.8,1.8,42.0,73074.0,Davide Calabria,4-2-3-1,Marco Di Bello,Match Report,
2023-11-28,21:00,Champions Lg,Group stage,Tue,Home,L,1.0,3.0,de Dortmund,2.1,1.8,54.0,75292.0,Davide Calabria,4-2-3-1,István Kovács,Match Report,
2023-12-02,20:45,Serie A,Matchweek 14,Sat,Home,W,3.0,1.0,Frosinone,1.2,0.7,47.0,68684.0,Davide Calabria,4-3-3,Matteo Marchetti,Match Report,
2023-12-09,18:00,Serie A,Matchweek 15,Sat,Away,L,2.0,3.0,Atalanta,1.5,3.3,58.0,14907.0,Davide Calabria,4-3-3,Federico La Penna,Match Report,
2023-12-13,20:00,Champions Lg,Group stage,Wed,Away,W,2.0,1.0,eng Newcastle Utd,1.9,1.8,42.0,52037.0,Davide Calabria,4-2-3-1,Danny Makkelie,Match Report,
2023-12-17,12:30,Serie A,Matchweek 16,Sun,Home,W,3.0,0.0,Monza,2.0,1.5,45.0,70538.0,Theo Hernández,3-4-3,Gianluca Aureliano,Match Report,
2023-12-22,20:45,Serie A,Matchweek 17,Fri,Away,D,2.0,2.0,Salernitana,2.2,1.4,65.0,23467.0,Davide Calabria,4-2-3-1,Daniele Doveri,Match Report,
2023-12-30,18:00,Serie A,Matchweek 18,Sat,Home,W,1.0,0.0,Sassuolo,1.5,0.5,58.0,70385.0,Davide Calabria,4-2-3-1,Livio Marinelli,Match Report,
2024-01-02,21:00,Coppa Italia,Round of 16,Tue,Home,W,4.0,1.0,Cagliari,,,61.0,57169.0,Davide Calabria,4-2-3-1,Alessandro Prontera,Match Report,
2024-01-07,12:30,Serie A,Matchweek 19,Sun,Away,W,3.0,0.0,Empoli,1.7,0.9,65.0,15009.0,Davide Calabria,4-3-3,Federico La Penna,Match Report,
2024-01-10,21:00,Coppa Italia,Quarter-finals,Wed,Home,L,1.0,2.0,Atalanta,,,62.0,64036.0,Davide Calabria,3-4-3,Marco Di Bello,Match Report,
2024-01-14,20:45,Serie A,Matchweek 20,Sun,Home,W,3.0,1.0,Roma,1.5,1.4,48.0,74198.0,Theo Hernández,4-3-3,Marco Guida,Match Report,
2024-01-20,20:45,Serie A,Matchweek 21,Sat,Away,W,3.0,2.0,Udinese,2.6,0.6,69.0,,Davide Calabria,4-3-3,Fabio Maresca,Match Report,
2024-01-27,20:45,Serie A,Matchweek 22,Sat,Home,D,2.0,2.0,Bologna,3.3,1.8,50.0,,Davide Calabria,4-2-3-1,Davide Massa,Match Report,
2024-02-03,18:00,Serie A,Matchweek 23,Sat,Away,W,3.0,2.0,Frosinone,1.4,1.0,58.0,,Davide Calabria,4-2-3-1,Luca Pairetto,Match Report,
2024-02-11,20:45,Serie A,Matchweek 24,Sun,Home,W,1.0,0.0,Napoli,0.9,0.7,41.0,,Davide Calabria,4-2-3-1,Daniele Doveri,Match Report,
2024-02-15,21:00,Europa Lg,Knockout round play-offs,Thu,Home,W,3.0,0.0,fr Rennes,2.3,0.8,59.0,69021.0,Theo Hernández,4-2-3-1,Nikola Dabanović,Match Report,Leg 1 of 2
2024-02-18,20:45,Serie A,Matchweek 25,Sun,Away,L,2.0,4.0,Monza,1.3,1.8,51.0,,Theo Hernández,4-2-3-1,Andrea Colombo,Match Report,
2024-02-22,18:45,Europa Lg,Knockout round play-offs,Thu,Away,L,2.0,3.0,fr Rennes,2.0,3.0,45.0,,Theo Hernández,4-2-3-1,João Pinheiro,Match Report,Leg 2 of 2; Milan won
2024-02-25,20:45,Serie A,Matchweek 26,Sun,Home,,,,Atalanta,,,,,,,,Head-to-Head,
2024-03-01,20:45,Serie A,Matchweek 27,Fri,Away,,,,Lazio,,,,,,,,Head-to-Head,
2024-03-07,,Europa Lg,Round of 16,Thu,Home,,,,cz Slavia Prague,,,,,,,,Head-to-Head,Leg 1 of 2
2024-03-10,,Serie A,Matchweek 28,Sun,Home,,,,Empoli,,,,,,,,Head-to-Head,
2024-03-14,,Europa Lg,Round of 16,Thu,Away,,,,cz Slavia Prague,,,,,,,,Head-to-Head,Leg 2 of 2
2024-03-17,,Serie A,Matchweek 29,Sun,Away,,,,Hellas Verona,,,,,,,,Head-to-Head,
2024-03-30,,Serie A,Matchweek 30,Sat,Away,,,,Fiorentina,,,,,,,,Head-to-Head,
2024-04-07,,Serie A,Matchweek 31,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,
2024-04-14,,Serie A,Matchweek 32,Sun,Away,,,,Sassuolo,,,,,,,,Head-to-Head,
2024-04-21,,Serie A,Matchweek 33,Sun,Home,,,,Inter,,,,,,,,Head-to-Head,
2024-04-28,,Serie A,Matchweek 34,Sun,Away,,,,Juventus,,,,,,,,Head-to-Head,
2024-05-05,,Serie A,Matchweek 35,Sun,Home,,,,Genoa,,,,,,,,Head-to-Head,
2024-05-12,,Serie A,Matchweek 36,Sun,Home,,,,Cagliari,,,,,,,,Head-to-Head,
