Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-19,18:30,Serie A,Matchweek 1,Sat,Away,W,3.0,1.0,Frosinone,1.5,0.9,52.0,15822.0,Giovanni Di Lorenzo,4-3-3,Matteo Marcenaro,Match Report,
2023-08-27,20:45,Serie A,Matchweek 2,Sun,Home,W,2.0,0.0,Sassuolo,3.5,0.2,67.0,46925.0,Giovanni Di Lorenzo,4-3-3,Antonio Giua,Match Report,
2023-09-02,20:45,Serie A,Matchweek 3,Sat,Home,L,1.0,2.0,Lazio,1.3,0.6,62.0,42000.0,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Match Report,
2023-09-16,20:45,Serie A,Matchweek 4,Sat,Away,D,2.0,2.0,Genoa,0.9,1.2,66.0,33275.0,Giovanni Di Lorenzo,4-3-3,Michael Fabbri,Match Report,
2023-09-20,20:00,Champions Lg,Group stage,Wed,Away,W,2.0,1.0,pt Braga,1.7,1.4,47.0,18422.0,Giovanni Di Lorenzo,4-3-3,Serdar Gözübüyük,Match Report,
2023-09-24,18:00,Serie A,Matchweek 5,Sun,Away,D,0.0,0.0,Bologna,2.1,0.2,51.0,26621.0,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Match Report,
2023-09-27,20:45,Serie A,Matchweek 6,Wed,Home,W,4.0,1.0,Udinese,3.3,0.7,66.0,45305.0,Giovanni Di Lorenzo,4-3-3,Gianluca Manganiello,Match Report,
2023-09-30,15:00,Serie A,Matchweek 7,Sat,Away,W,4.0,0.0,Lecce,2.5,0.5,56.0,27588.0,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Match Report,
2023-10-03,21:00,Champions Lg,Group stage,Tue,Home,L,2.0,3.0,es Real Madrid,1.9,1.4,50.0,51649.0,Giovanni Di Lorenzo,4-3-3,Clément Turpin,Match Report,
2023-10-08,20:45,Serie A,Matchweek 8,Sun,Home,L,1.0,3.0,Fiorentina,1.8,2.1,54.0,45000.0,Giovanni Di Lorenzo,4-3-3,Federico La Penna,Match Report,
2023-10-21,15:00,Serie A,Matchweek 9,Sat,Away,W,3.0,1.0,Hellas Verona,2.3,1.3,60.0,20549.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,
2023-10-24,21:00,Champions Lg,Group stage,Tue,Away,W,1.0,0.0,de Union Berlin,0.2,0.4,59.0,72062.0,Giovanni Di Lorenzo,4-3-3,Irfan Peljto,Match Report,
2023-10-29,20:45,Serie A,Matchweek 10,Sun,Home,D,2.0,2.0,Milan,1.7,2.0,48.0,54000.0,Giovanni Di Lorenzo,4-3-3,Daniele Orsato,Match Report,
2023-11-04,15:00,Serie A,Matchweek 11,Sat,Away,W,2.0,0.0,Salernitana,1.4,0.3,58.0,16812.0,Giovanni Di Lorenzo,4-3-3,Antonio Rapuano,Match Report,
2023-11-08,18:45,Champions Lg,Group stage,Wed,Home,D,1.0,1.0,de Union Berlin,1.7,1.1,73.0,42449.0,Giovanni Di Lorenzo,4-3-3,Danny Makkelie,Match Report,
2023-11-12,12:30,Serie A,Matchweek 12,Sun,Home,L,0.0,1.0,Empoli,0.9,0.5,65.0,50500.0,Giovanni Di Lorenzo,4-2-3-1,Alessandro Prontera,Match Report,
2023-11-25,18:00,Serie A,Matchweek 13,Sat,Away,W,2.0,1.0,Atalanta,2.0,1.0,56.0,14743.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,
2023-11-29,21:00,Champions Lg,Group stage,Wed,Away,L,2.0,4.0,es Real Madrid,1.4,2.8,47.0,73562.0,Giovanni Di Lorenzo,4-3-3,François Letexier,Match Report,
2023-12-03,20:45,Serie A,Matchweek 14,Sun,Home,L,0.0,3.0,Inter,0.6,2.7,57.0,55000.0,Giovanni Di Lorenzo,4-3-3,Davide Massa,Match Report,
2023-12-08,20:45,Serie A,Matchweek 15,Fri,Away,L,0.0,1.0,Juventus,1.2,0.9,66.0,41400.0,Giovanni Di Lorenzo,4-3-3,Daniele Orsato,Match Report,
2023-12-12,21:00,Champions Lg,Group stage,Tue,Home,W,2.0,0.0,pt Braga,1.4,1.0,50.0,37841.0,Giovanni Di Lorenzo,4-3-3,Slavko Vinčič,Match Report,
2023-12-16,18:00,Serie A,Matchweek 16,Sat,Home,W,2.0,1.0,Cagliari,1.8,1.1,67.0,45000.0,Giovanni Di Lorenzo,4-3-3,Matteo Marcenaro,Match Report,
2023-12-19,21:00,Coppa Italia,Round of 16,Tue,Home,L,0.0,4.0,Frosinone,,,63.0,25000.0,Mário Rui,4-3-3,Rosario Abisso,Match Report,
2023-12-23,20:45,Serie A,Matchweek 17,Sat,Away,L,0.0,2.0,Roma,0.7,1.9,59.0,62141.0,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Match Report,
2023-12-29,18:30,Serie A,Matchweek 18,Fri,Home,D,0.0,0.0,Monza,2.0,1.1,58.0,32915.0,Giovanni Di Lorenzo,4-3-3,Marco Di Bello,Match Report,
2024-01-07,15:00,Serie A,Matchweek 19,Sun,Away,L,0.0,3.0,Torino,1.0,2.1,50.0,23960.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,
2024-01-13,15:00,Serie A,Matchweek 20,Sat,Home,W,2.0,1.0,Salernitana,2.2,0.1,70.0,35000.0,Giovanni Di Lorenzo,4-3-3,Livio Marinelli,Match Report,
2024-01-18,20:00,Supercoppa,Semi-finals,Thu,Home,W,3.0,0.0,Fiorentina,,,40.0,9762.0,Giovanni Di Lorenzo,3-4-3,Federico La Penna,Match Report,
2024-01-22,22:00,Supercoppa,Final,Mon,Home,L,0.0,1.0,Inter,,,35.0,24900.0,Giovanni Di Lorenzo,3-4-3,Antonio Rapuano,Match Report,
2024-01-28,18:00,Serie A,Matchweek 22,Sun,Away,D,0.0,0.0,Lazio,0.2,0.5,61.0,,Giovanni Di Lorenzo,3-4-3,Daniele Orsato,Match Report,
2024-02-04,15:00,Serie A,Matchweek 23,Sun,Home,W,2.0,1.0,Hellas Verona,1.2,0.9,68.0,,Giovanni Di Lorenzo,4-3-3,Marco Piccinini,Match Report,
2024-02-11,20:45,Serie A,Matchweek 24,Sun,Away,L,0.0,1.0,Milan,0.7,0.9,59.0,,Giovanni Di Lorenzo,3-5-1-1,Daniele Doveri,Match Report,
2024-02-17,15:00,Serie A,Matchweek 25,Sat,Home,D,1.0,1.0,Genoa,1.4,0.3,74.0,,Giovanni Di Lorenzo,4-3-3,Juan Sacchi,Match Report,
2024-02-21,21:00,Champions Lg,Round of 16,Wed,Home,D,1.0,1.0,es Barcelona,0.9,0.7,50.0,49529.0,Giovanni Di Lorenzo,4-3-3,Felix Zwayer,Match Report,Leg 1 of 2
2024-02-25,15:00,Serie A,Matchweek 26,Sun,Away,,,,Cagliari,,,,,,,,Head-to-Head,
2024-02-28,18:00,Serie A,Matchweek 21,Wed,Away,,,,Sassuolo,,,,,,,,Head-to-Head,
2024-03-03,20:45,Serie A,Matchweek 27,Sun,Home,,,,Juventus,,,,,,,,Head-to-Head,
2024-03-10,,Serie A,Matchweek 28,Sun,Home,,,,Torino,,,,,,,,Head-to-Head,
2024-03-12,21:00,Champions Lg,Round of 16,Tue,Away,,,,es Barcelona,,,,,,,,Head-to-Head,Leg 2 of 2; Napoli 1:1 Barcelona
2024-03-17,,Serie A,Matchweek 29,Sun,Away,,,,Inter,,,,,,,,Head-to-Head,
2024-03-30,,Serie A,Matchweek 30,Sat,Home,,,,Atalanta,,,,,,,,Head-to-Head,
2024-04-07,,Serie A,Matchweek 31,Sun,Away,,,,Monza,,,,,,,,Head-to-Head,
2024-04-14,,Serie A,Matchweek 32,Sun,Home,,,,Frosinone,,,,,,,,Head-to-Head,
2024-04-21,,Serie A,Matchweek 33,Sun,Away,,,,Empoli,,,,,,,,Head-to-Head,
2024-04-28,,Serie A,Matchweek 34,Sun,Home,,,,Roma,,,,,,,,Head-to-Head,
2024-05-05,,Serie A,Matchweek 35,Sun,Away,,,,Udinese,,,,,,,,Head-to-Head,
2024-05-12,,Serie A,Matchweek 36,Sun,Home,,,,Bologna,,,,,,,,Head-to-Head,
2024-05-19,,Serie A,Matchweek 37,Sun,Away,,,,Fiorentina,,,,,,,,Head-to-Head,
2024-05-26,,Serie A,Matchweek 38,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,
