Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-20,18:30,Serie A,Matchweek 1,Sun,Home,D,2,2,Salernitana,1.9,0.1,60.0,62050.0,Gianluca Mancini,3-1-4-2,Ermanno Feliciani,Match Report,
2023-08-26,20:45,Serie A,Matchweek 2,Sat,Away,L,1,2,Hellas Verona,1.5,0.7,71.0,23147.0,Lorenzo Pellegrini,3-5-2,Daniele Doveri,Match Report,
2023-09-01,20:45,Serie A,Matchweek 3,Fri,Home,L,1,2,Milan,0.7,1.5,44.0,61690.0,Gianluca Mancini,3-5-2,Antonio Rapuano,Match Report,
2023-09-17,20:45,Serie A,Matchweek 4,Sun,Home,W,7,0,Empoli,2.4,0.2,53.0,61443.0,Gianluca Mancini,3-5-2,Juan Sacchi,Match Report,
2023-09-21,19:45,Europa Lg,Group stage,Thu,Away,W,2,1,md Sheriff Tiraspol,0.9,0.8,67.0,10711.0,Gianluca Mancini,3-1-4-2,Andris Treimanis,Match Report,
2023-09-24,20:45,Serie A,Matchweek 5,Sun,Away,D,1,1,Torino,1.4,0.9,59.0,23299.0,Gianluca Mancini,3-4-3,Marco Guida,Match Report,
2023-09-28,20:45,Serie A,Matchweek 6,Thu,Away,L,1,4,Genoa,1.4,1.1,71.0,32961.0,Lorenzo Pellegrini,3-4-3,Daniele Orsato,Match Report,
2023-10-01,20:45,Serie A,Matchweek 7,Sun,Home,W,2,0,Frosinone,0.6,0.9,50.0,62638.0,Lorenzo Pellegrini,3-4-3,Matteo Marchetti,Match Report,
2023-10-05,21:00,Europa Lg,Group stage,Thu,Home,W,4,0,ch Servette FC,2.3,0.3,55.0,55764.0,Gianluca Mancini,3-5-2,Igor Pajač,Match Report,
2023-10-08,18:00,Serie A,Matchweek 8,Sun,Away,W,4,1,Cagliari,2.6,1.7,43.0,16307.0,Gianluca Mancini,3-5-2,Simone Sozza,Match Report,
2023-10-22,12:30,Serie A,Matchweek 9,Sun,Home,W,1,0,Monza,1.7,0.4,52.0,62022.0,Gianluca Mancini,3-5-2,Giovanni Ayroldi,Match Report,
2023-10-26,21:00,Europa Lg,Group stage,Thu,Home,W,2,0,cz Slavia Prague,0.9,0.4,46.0,64934.0,Gianluca Mancini,3-4-3,Espen Andreas Eskås,Match Report,
2023-10-29,18:00,Serie A,Matchweek 10,Sun,Away,L,0,1,Inter,0.1,2.2,37.0,75573.0,Gianluca Mancini,3-5-2,Fabio Maresca,Match Report,
2023-11-05,18:00,Serie A,Matchweek 11,Sun,Home,W,2,1,Lecce,2.0,0.8,60.0,64790.0,Gianluca Mancini,3-4-3,Andrea Colombo,Match Report,
2023-11-09,18:45,Europa Lg,Group stage,Thu,Away,L,0,2,cz Slavia Prague,0.5,2.1,52.0,19265.0,Gianluca Mancini,3-5-2,François Letexier,Match Report,
2023-11-12,18:00,Serie A,Matchweek 12,Sun,Away,D,0,0,Lazio,0.4,0.4,51.0,63000.0,Gianluca Mancini,3-5-1-1,Davide Massa,Match Report,
2023-11-26,18:00,Serie A,Matchweek 13,Sun,Home,W,3,1,Udinese,1.4,0.5,64.0,61015.0,Lorenzo Pellegrini,3-5-2,Luca Massimi,Match Report,
2023-11-30,21:00,Europa Lg,Group stage,Thu,Away,D,1,1,ch Servette FC,1.3,0.8,61.0,28534.0,Bryan Cristante,3-5-2,Daniel Stefański,Match Report,
2023-12-03,18:00,Serie A,Matchweek 14,Sun,Away,W,2,1,Sassuolo,2.3,0.8,66.0,19113.0,Gianluca Mancini,3-5-2,Matteo Marcenaro,Match Report,
2023-12-10,20:45,Serie A,Matchweek 15,Sun,Home,D,1,1,Fiorentina,0.7,1.5,35.0,60932.0,Lorenzo Pellegrini,3-5-2,Antonio Rapuano,Match Report,
2023-12-14,18:45,Europa Lg,Group stage,Thu,Home,W,3,0,md Sheriff Tiraspol,3.0,0.4,61.0,47803.0,Bryan Cristante,3-5-2,Jérôme Brisard,Match Report,
2023-12-17,18:00,Serie A,Matchweek 16,Sun,Away,L,0,2,Bologna,0.6,0.5,45.0,25579.0,Lorenzo Pellegrini,3-5-2,Marco Guida,Match Report,
2023-12-23,20:45,Serie A,Matchweek 17,Sat,Home,W,2,0,Napoli,1.9,0.7,41.0,62141.0,Gianluca Mancini,3-5-2,Andrea Colombo,Match Report,
2023-12-30,20:45,Serie A,Matchweek 18,Sat,Away,L,0,1,Juventus,0.5,1.1,57.0,41503.0,Gianluca Mancini,3-5-2,Simone Sozza,Match Report,
2024-01-03,21:00,Coppa Italia,Round of 16,Wed,Home,W,2,1,Cremonese,,,57.0,61975.0,Lorenzo Pellegrini,3-5-2,Luca Pairetto,Match Report,
2024-01-07,20:45,Serie A,Matchweek 19,Sun,Home,D,1,1,Atalanta,2.1,0.7,56.0,60022.0,Lorenzo Pellegrini,3-5-2,Gianluca Aureliano,Match Report,
2024-01-10,18:00,Coppa Italia,Quarter-finals,Wed,Away,L,0,1,Lazio,,,57.0,55000.0,Gianluca Mancini,3-5-2,Daniele Orsato,Match Report,
2024-01-14,20:45,Serie A,Matchweek 20,Sun,Away,L,1,3,Milan,1.4,1.5,52.0,74198.0,Gianluca Mancini,3-5-2,Marco Guida,Match Report,
2024-01-20,18:00,Serie A,Matchweek 21,Sat,Home,W,2,1,Hellas Verona,0.9,1.1,62.0,,Lorenzo Pellegrini,4-3-2-1,Juan Sacchi,Match Report,
2024-01-29,20:45,Serie A,Matchweek 22,Mon,Away,W,2,1,Salernitana,1.6,1.2,61.0,,Lorenzo Pellegrini,4-3-3,Marco Di Bello,Match Report,
2024-02-05,20:45,Serie A,Matchweek 23,Mon,Home,W,4,0,Cagliari,2.5,0.6,53.0,61755.0,Lorenzo Pellegrini,4-3-3,Matteo Marcenaro,Match Report,
2024-02-10,18:00,Serie A,Matchweek 24,Sat,Home,L,2,4,Inter,0.7,0.9,47.0,,Lorenzo Pellegrini,4-3-3,Marco Guida,Match Report,
2024-02-15,18:45,Europa Lg,Knockout round play-offs,Thu,Away,D,1,1,nl Feyenoord,0.9,1.2,47.0,43235.0,Lorenzo Pellegrini,4-3-3,Radu Petrescu,Match Report,Leg 1 of 2
2024-02-18,18:00,Serie A,Matchweek 25,Sun,Away,W,3,0,Frosinone,1.8,1.4,57.0,,Gianluca Mancini,4-2-3-1,Antonio Giua,Match Report,
2024-02-22,21:00,Europa Lg,Knockout round play-offs,Thu,Home,D,1 (4),1 (2),nl Feyenoord,1.2,0.8,58.0,,Lorenzo Pellegrini,4-3-3,Jesús Gil,Match Report,Leg 2 of 2; Roma won; Roma won on penalty kicks following extra time
2024-02-26,18:30,Serie A,Matchweek 26,Mon,Home,,,,Torino,,,,,,,,Head-to-Head,
2024-03-02,18:00,Serie A,Matchweek 27,Sat,Away,,,,Monza,,,,,,,,Head-to-Head,
2024-03-07,,Europa Lg,Round of 16,Thu,Home,,,,eng Brighton,,,,,,,,Head-to-Head,Leg 1 of 2
2024-03-10,,Serie A,Matchweek 28,Sun,Away,,,,Fiorentina,,,,,,,,Head-to-Head,
2024-03-14,,Europa Lg,Round of 16,Thu,Away,,,,eng Brighton,,,,,,,,Head-to-Head,Leg 2 of 2
2024-03-17,,Serie A,Matchweek 29,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,
2024-03-30,,Serie A,Matchweek 30,Sat,Away,,,,Lecce,,,,,,,,Head-to-Head,
2024-04-07,,Serie A,Matchweek 31,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,
2024-04-14,,Serie A,Matchweek 32,Sun,Away,,,,Udinese,,,,,,,,Head-to-Head,
2024-04-21,,Serie A,Matchweek 33,Sun,Home,,,,Bologna,,,,,,,,Head-to-Head,
