Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-13,18:00,Coppa Italia,First round,Sun,Away,W,5,2,Cosenza,,,63.0,8800.0,Andrea Consigli,4-2-3-1,Giuseppe Collu,Match Report,Required Extra Time
2023-08-20,18:30,Serie A,Matchweek 1,Sun,Home,L,0,2,Atalanta,0.4,1.3,49.0,12298.0,Andrea Consigli,4-2-3-1,Matteo Marchetti,Match Report,
2023-08-27,20:45,Serie A,Matchweek 2,Sun,Away,L,0,2,Napoli,0.2,3.5,33.0,46925.0,Andrea Consigli,4-3-3,Antonio Giua,Match Report,
2023-09-01,18:30,Serie A,Matchweek 3,Fri,Home,W,3,1,Hellas Verona,1.7,0.6,47.0,10356.0,Andrea Consigli,4-3-3,Marco Piccinini,Match Report,
2023-09-17,15:00,Serie A,Matchweek 4,Sun,Away,L,2,4,Frosinone,1.3,2.8,45.0,13133.0,Martin Erlic,4-4-2,Alessandro Prontera,Match Report,
2023-09-23,18:00,Serie A,Matchweek 5,Sat,Home,W,4,2,Juventus,1.6,1.2,43.0,20141.0,Martin Erlic,4-2-3-1,Andrea Colombo,Match Report,
2023-09-27,20:45,Serie A,Matchweek 6,Wed,Away,W,2,1,Inter,1.0,0.9,37.0,70864.0,Andrea Consigli,4-2-3-1,Luca Massimi,Match Report,
2023-10-02,18:30,Serie A,Matchweek 7,Mon,Home,L,0,1,Monza,1.4,1.5,44.0,10165.0,Andrea Consigli,4-2-3-1,Luca Zufferli,Match Report,
2023-10-06,20:45,Serie A,Matchweek 8,Fri,Away,D,1,1,Lecce,1.5,1.7,57.0,26160.0,Gian Marco Ferrari,4-2-3-1,Juan Sacchi,Match Report,
2023-10-21,20:45,Serie A,Matchweek 9,Sat,Home,L,0,2,Lazio,0.5,2.3,51.0,15597.0,Gian Marco Ferrari,4-2-3-1,Marco Di Bello,Match Report,
2023-10-28,15:00,Serie A,Matchweek 10,Sat,Home,D,1,1,Bologna,0.9,1.0,41.0,16931.0,Gian Marco Ferrari,4-2-3-1,Antonio Giua,Match Report,
2023-11-02,18:00,Coppa Italia,Second round,Thu,Home,D,0 (5),0 (4),Spezia,,,60.0,2013.0,Grégoire Defrel,4-3-3,Luca Zufferli,Match Report,Sassuolo won on penalty kicks following extra time
2023-11-06,20:45,Serie A,Matchweek 11,Mon,Away,L,1,2,Torino,0.5,3.5,46.0,18000.0,Martin Erlic,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,
2023-11-10,18:30,Serie A,Matchweek 12,Fri,Home,D,2,2,Salernitana,2.9,0.8,63.0,10945.0,Gian Marco Ferrari,4-2-3-1,Davide Ghersini,Match Report,
2023-11-26,15:00,Serie A,Matchweek 13,Sun,Away,W,4,3,Empoli,2.3,1.4,51.0,9954.0,Martin Erlic,4-2-3-1,Simone Sozza,Match Report,
2023-12-03,18:00,Serie A,Matchweek 14,Sun,Home,L,1,2,Roma,0.8,2.3,34.0,19113.0,Andrea Consigli,4-2-3-1,Matteo Marcenaro,Match Report,
2023-12-11,20:45,Serie A,Matchweek 15,Mon,Away,L,1,2,Cagliari,0.8,1.1,40.0,15769.0,Andrea Consigli,4-2-3-1,Maurizio Mariani,Match Report,
2023-12-17,15:00,Serie A,Matchweek 16,Sun,Away,D,2,2,Udinese,3.0,0.8,67.0,20490.0,Gian Marco Ferrari,4-2-3-1,Gianluca Manganiello,Match Report,
2023-12-22,18:30,Serie A,Matchweek 17,Fri,Home,L,1,2,Genoa,1.4,1.6,43.0,11745.0,Gian Marco Ferrari,4-2-3-1,Marco Guida,Match Report,
2023-12-30,18:00,Serie A,Matchweek 18,Sat,Away,L,0,1,Milan,0.5,1.5,42.0,70385.0,Gian Marco Ferrari,4-2-3-1,Livio Marinelli,Match Report,
2024-01-03,18:00,Coppa Italia,Round of 16,Wed,Away,L,1,3,Atalanta,,,42.0,13509.0,Gian Marco Ferrari,3-5-2,Alberto Santoro,Match Report,
2024-01-06,20:45,Serie A,Matchweek 19,Sat,Home,W,1,0,Fiorentina,0.9,1.2,34.0,15759.0,Gian Marco Ferrari,4-2-3-1,Rosario Abisso,Match Report,
2024-01-16,20:45,Serie A,Matchweek 20,Tue,Away,L,0,3,Juventus,0.3,1.2,54.0,,Gian Marco Ferrari,4-2-3-1,Marco Piccinini,Match Report,
2024-01-28,15:00,Serie A,Matchweek 22,Sun,Away,L,0,1,Monza,0.8,0.4,39.0,,Gian Marco Ferrari,4-3-3,Gianluca Manganiello,Match Report,
2024-02-03,20:45,Serie A,Matchweek 23,Sat,Away,L,2,4,Bologna,0.8,1.1,30.0,,Andrea Consigli,4-2-3-1,Juan Sacchi,Match Report,
2024-02-10,20:45,Serie A,Matchweek 24,Sat,Home,D,1,1,Torino,0.4,1.0,42.0,,Andrea Consigli,4-2-3-1,Daniele Orsato,Match Report,
2024-02-17,20:45,Serie A,Matchweek 25,Sat,Away,L,0,3,Atalanta,1.6,4.2,44.0,,Andrea Consigli,4-2-3-1,Alessandro Prontera,Match Report,
2024-02-24,15:00,Serie A,Matchweek 26,Sat,Home,L,2,3,Empoli,1.6,2.1,54.0,,Gian Marco Ferrari,4-2-3-1,Gianluca Aureliano,Match Report,
2024-02-28,18:00,Serie A,Matchweek 21,Wed,Home,,,,Napoli,,,,,,,,Head-to-Head,
2024-03-03,12:30,Serie A,Matchweek 27,Sun,Away,,,,Hellas Verona,,,,,,,,Head-to-Head,
2024-03-10,,Serie A,Matchweek 28,Sun,Home,,,,Frosinone,,,,,,,,Head-to-Head,
2024-03-17,,Serie A,Matchweek 29,Sun,Away,,,,Roma,,,,,,,,Head-to-Head,
2024-03-30,,Serie A,Matchweek 30,Sat,Home,,,,Udinese,,,,,,,,Head-to-Head,
2024-04-07,,Serie A,Matchweek 31,Sun,Away,,,,Salernitana,,,,,,,,Head-to-Head,
2024-04-14,,Serie A,Matchweek 32,Sun,Home,,,,Milan,,,,,,,,Head-to-Head,
2024-04-21,,Serie A,Matchweek 33,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,
2024-04-28,,Serie A,Matchweek 34,Sun,Away,,,,Fiorentina,,,,,,,,Head-to-Head,
2024-05-05,,Serie A,Matchweek 35,Sun,Home,,,,Inter,,,,,,,,Head-to-Head,
2024-05-12,,Serie A,Matchweek 36,Sun,Away,,,,Genoa,,,,,,,,Head-to-Head,
2024-05-19,,Serie A,Matchweek 37,Sun,Home,,,,Cagliari,,,,,,,,Head-to-Head,
2024-05-26,,Serie A,Matchweek 38,Sun,Away,,,,Lazio,,,,,,,,Head-to-Head,
