Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-14,21:15,Coppa Italia,First round,Mon,Home,W,2.0,1.0,FeralpiSalò,,,67.0,9067.0,Ricardo Rodríguez,3-4-3,Paride Tremolada,Match Report,
2023-08-21,18:30,Serie A,Matchweek 1,Mon,Home,D,0.0,0.0,Cagliari,1.0,0.4,57.0,20296.0,Ricardo Rodríguez,3-4-3,Francesco Cosso,Match Report,
2023-08-26,20:45,Serie A,Matchweek 2,Sat,Away,L,1.0,4.0,Milan,0.5,3.0,41.0,72013.0,Ricardo Rodríguez,3-4-3,Maurizio Mariani,Match Report,
2023-09-03,18:30,Serie A,Matchweek 3,Sun,Home,W,1.0,0.0,Genoa,0.4,0.2,63.0,24433.0,Ricardo Rodríguez,3-4-3,Daniele Chiffi,Match Report,
2023-09-18,18:30,Serie A,Matchweek 4,Mon,Away,W,3.0,0.0,Salernitana,1.8,0.7,44.0,15480.0,Ricardo Rodríguez,3-4-3,Antonio Giua,Match Report,
2023-09-24,20:45,Serie A,Matchweek 5,Sun,Home,D,1.0,1.0,Roma,0.9,1.4,41.0,23299.0,Ricardo Rodríguez,3-4-3,Marco Guida,Match Report,
2023-09-27,20:45,Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Lazio,0.3,0.9,49.0,35100.0,Ricardo Rodríguez,3-4-3,Michael Fabbri,Match Report,
2023-10-02,18:30,Serie A,Matchweek 7,Mon,Home,D,0.0,0.0,Hellas Verona,0.6,0.3,55.0,19419.0,Ricardo Rodríguez,3-4-3,Ermanno Feliciani,Match Report,
2023-10-07,18:00,Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Juventus,0.6,1.9,50.0,38858.0,Ricardo Rodríguez,3-4-3,Davide Massa,Match Report,
2023-10-21,18:00,Serie A,Matchweek 9,Sat,Home,L,0.0,3.0,Inter,0.4,2.5,47.0,26193.0,Ricardo Rodríguez,3-4-3,Matteo Marchetti,Match Report,
2023-10-28,18:00,Serie A,Matchweek 10,Sat,Away,W,1.0,0.0,Lecce,0.8,0.5,51.0,26123.0,Ricardo Rodríguez,3-5-2,Gianluca Aureliano,Match Report,
2023-11-02,21:00,Coppa Italia,Second round,Thu,Home,L,1.0,2.0,Frosinone,,,56.0,5233.0,Ricardo Rodríguez,3-5-2,Francesco Fourneau,Match Report,Required Extra Time
2023-11-06,20:45,Serie A,Matchweek 11,Mon,Home,W,2.0,1.0,Sassuolo,3.5,0.5,54.0,18000.0,Ricardo Rodríguez,3-4-1-2,Maria Sole Ferrieri Caputi,Match Report,
2023-11-11,20:45,Serie A,Matchweek 12,Sat,Away,D,1.0,1.0,Monza,1.0,0.9,56.0,11777.0,Ricardo Rodríguez,3-5-2,Daniele Doveri,Match Report,
2023-11-27,20:45,Serie A,Matchweek 13,Mon,Away,L,0.0,2.0,Bologna,0.4,1.5,52.0,20705.0,Ricardo Rodríguez,3-4-1-2,Andrea Colombo,Match Report,
2023-12-04,20:45,Serie A,Matchweek 14,Mon,Home,W,3.0,0.0,Atalanta,1.7,0.5,54.0,18507.0,Ricardo Rodríguez,3-4-1-2,Marco Piccinini,Match Report,
2023-12-10,12:30,Serie A,Matchweek 15,Sun,Away,D,0.0,0.0,Frosinone,1.2,0.8,48.0,13807.0,Ricardo Rodríguez,3-5-2,Luca Massimi,Match Report,
2023-12-16,20:45,Serie A,Matchweek 16,Sat,Home,W,1.0,0.0,Empoli,1.1,0.3,53.0,17815.0,Ricardo Rodríguez,3-4-1-2,Livio Marinelli,Match Report,
2023-12-23,15:00,Serie A,Matchweek 17,Sat,Home,D,1.0,1.0,Udinese,1.0,0.9,62.0,23546.0,Ricardo Rodríguez,3-4-3,Michael Fabbri,Match Report,
2023-12-29,18:30,Serie A,Matchweek 18,Fri,Away,L,0.0,1.0,Fiorentina,0.3,0.5,48.0,32915.0,Ricardo Rodríguez,3-4-3,Federico La Penna,Match Report,
2024-01-07,15:00,Serie A,Matchweek 19,Sun,Home,W,3.0,0.0,Napoli,2.1,1.0,50.0,23960.0,Ricardo Rodríguez,3-4-1-2,Maurizio Mariani,Match Report,
2024-01-13,15:00,Serie A,Matchweek 20,Sat,Away,D,0.0,0.0,Genoa,0.4,0.5,56.0,33019.0,Ricardo Rodríguez,3-4-1-2,Antonio Giua,Match Report,
2024-01-26,20:45,Serie A,Matchweek 22,Fri,Away,W,2.0,1.0,Cagliari,1.6,2.2,49.0,,Ricardo Rodríguez,3-4-3,Andrea Colombo,Match Report,
2024-02-04,12:30,Serie A,Matchweek 23,Sun,Home,D,0.0,0.0,Salernitana,0.8,0.1,69.0,,Ricardo Rodríguez,3-4-3,Daniele Chiffi,Match Report,
2024-02-10,20:45,Serie A,Matchweek 24,Sat,Away,D,1.0,1.0,Sassuolo,1.0,0.4,58.0,,Ricardo Rodríguez,3-4-3,Daniele Orsato,Match Report,
2024-02-16,19:00,Serie A,Matchweek 25,Fri,Home,W,2.0,0.0,Lecce,1.2,0.5,59.0,,Vanja Milinković-Savić,3-4-1-2,Giovanni Ayroldi,Match Report,
