Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-11,18:00,Coppa Italia,First round,Fri,Home,W,4.0,1.0,Catanzaro,,,42.0,4801.0,Walace,3-5-2,Daniele Minelli,Match Report,
2023-08-20,20:45,Serie A,Matchweek 1,Sun,Home,L,0.0,3.0,Juventus,1.0,1.8,49.0,24911.0,Walace,3-5-2,Antonio Rapuano,Match Report,
2023-08-28,18:30,Serie A,Matchweek 2,Mon,Away,D,1.0,1.0,Salernitana,0.8,0.5,44.0,20000.0,Walace,3-5-2,Davide Massa,Match Report,
2023-09-02,18:30,Serie A,Matchweek 3,Sat,Home,D,0.0,0.0,Frosinone,1.5,1.8,47.0,20116.0,Walace,3-5-2,Marco Guida,Match Report,
2023-09-17,12:30,Serie A,Matchweek 4,Sun,Away,D,0.0,0.0,Cagliari,0.7,1.6,54.0,15121.0,Walace,3-5-2,Daniele Doveri,Match Report,
2023-09-24,15:00,Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Fiorentina,2.2,0.5,49.0,21229.0,Walace,3-5-2,Daniele Chiffi,Match Report,
2023-09-27,20:45,Serie A,Matchweek 6,Wed,Away,L,1.0,4.0,Napoli,0.7,3.3,34.0,45305.0,Walace,3-5-2,Gianluca Manganiello,Match Report,
2023-10-01,15:00,Serie A,Matchweek 7,Sun,Home,D,2.0,2.0,Genoa,1.3,0.8,59.0,20805.0,Roberto Pereyra,3-5-2,Maurizio Mariani,Match Report,
2023-10-06,18:30,Serie A,Matchweek 8,Fri,Away,D,0.0,0.0,Empoli,0.7,1.3,40.0,7128.0,Roberto Pereyra,3-5-2,Michael Fabbri,Match Report,
2023-10-23,18:30,Serie A,Matchweek 9,Mon,Home,D,1.0,1.0,Lecce,2.1,0.8,46.0,20113.0,Roberto Pereyra,3-5-2,Paride Tremolada,Match Report,
2023-10-29,15:00,Serie A,Matchweek 10,Sun,Away,D,1.0,1.0,Monza,1.1,0.5,39.0,10311.0,Roberto Pereyra,3-5-2,Alessandro Prontera,Match Report,
