Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Berat Djimsiti,al ALB,DF,31-006,23,23,1982.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.6,1.0,1.0,42.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches
Marten de Roon,nl NED,"MF,DF",32-333,22,22,1980.0,22.0,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.9,1.2,22.0,136.0,16.0,0.0,0.23,0.23,0.0,0.23,0.01,0.04,0.05,0.01,0.05,Matches
Éderson,br BRA,MF,24-233,23,22,1932.0,21.5,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,2.7,2.7,1.1,3.8,24.0,144.0,36.0,0.23,0.05,0.28,0.23,0.28,0.13,0.05,0.18,0.13,0.18,Matches
Giorgio Scalvini,it ITA,DF,20-076,22,21,1784.0,19.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,1.0,2.2,21.0,76.0,15.0,0.0,0.15,0.15,0.0,0.15,0.06,0.05,0.11,0.06,0.11,Matches
Matteo Ruggeri,it ITA,DF,21-229,22,21,1749.0,19.4,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.4,1.7,40.0,106.0,97.0,0.0,0.15,0.15,0.0,0.15,0.02,0.07,0.09,0.02,0.09,Matches
Teun Koopmeiners,nl NED,MF,25-362,21,20,1767.0,19.6,7.0,3.0,10.0,6.0,1.0,1.0,2.0,0.0,4.2,3.4,4.5,7.9,53.0,118.0,128.0,0.36,0.15,0.51,0.31,0.46,0.21,0.23,0.44,0.17,0.4,Matches
Sead Kolašinac,ba BIH,DF,30-250,22,19,1633.0,18.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,18.0,74.0,21.0,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11,Matches
Charles De Ketelaere,be BEL,"FW,MF",22-352,22,16,1294.0,14.4,6.0,6.0,12.0,5.0,1.0,1.0,1.0,0.0,4.5,3.7,4.2,7.9,55.0,79.0,148.0,0.42,0.42,0.83,0.35,0.77,0.31,0.29,0.61,0.26,0.55,Matches
Ademola Lookman,ng NGA,"FW,MF",26-128,18,15,1109.0,12.3,7.0,3.0,10.0,7.0,0.0,0.0,2.0,0.0,5.5,5.5,2.5,8.1,39.0,58.0,132.0,0.57,0.24,0.81,0.57,0.81,0.45,0.21,0.65,0.45,0.65,Matches
Marco Carnesecchi,it ITA,GK,23-239,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davide Zappacosta,it ITA,"DF,MF",31-259,20,14,1133.0,12.6,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,1.2,3.1,48.0,46.0,87.0,0.16,0.08,0.24,0.16,0.24,0.16,0.09,0.25,0.16,0.25,Matches
Mario Pašalić,hr CRO,"MF,FW",29-016,22,11,1069.0,11.9,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,2.6,6.6,28.0,54.0,49.0,0.34,0.25,0.59,0.34,0.59,0.34,0.22,0.56,0.34,0.56,Matches
Juan Musso,ar ARG,GK,29-295,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gianluca Scamacca,it ITA,FW,25-055,18,9,864.0,9.6,6.0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,4.4,4.4,1.0,5.4,15.0,20.0,95.0,0.62,0.31,0.94,0.62,0.94,0.46,0.11,0.57,0.46,0.57,Matches
Emil Holm,se SWE,DF,23-288,15,7,623.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.3,2.3,0.7,3.0,20.0,19.0,50.0,0.14,0.14,0.29,0.14,0.29,0.33,0.11,0.43,0.33,0.43,Matches
Aleksei Miranchuk,ru RUS,"MF,FW",28-131,15,6,650.0,7.2,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,2.7,5.7,18.0,45.0,69.0,0.28,0.42,0.69,0.28,0.69,0.42,0.37,0.79,0.42,0.79,Matches
Hans Hateboer,nl NED,DF,30-047,12,4,480.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.2,1.4,13.0,20.0,28.0,0.0,0.19,0.19,0.0,0.19,0.04,0.23,0.27,0.04,0.27,Matches
Rafael Tolói,it ITA,DF,33-138,9,4,446.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.1,5.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Luis Muriel,co COL,"FW,MF",32-315,18,2,409.0,4.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.7,3.3,19.0,24.0,57.0,0.44,0.22,0.66,0.44,0.66,0.34,0.38,0.72,0.34,0.72,Matches
Mitchel Bakker,nl NED,DF,23-250,9,2,245.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,9.0,7.0,12.0,0.37,0.0,0.37,0.37,0.37,0.05,0.03,0.08,0.05,0.08,Matches
Duván Zapata,co COL,FW,32-330,2,2,112.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,3.0,3.0,13.0,0.8,0.0,0.8,0.8,0.8,0.33,0.1,0.44,0.33,0.44,Matches
Nadir Zortea,it ITA,DF,24-251,5,0,149.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,7.0,10.0,22.0,0.6,0.0,0.6,0.6,0.6,0.05,0.16,0.21,0.05,0.21,Matches
Michel Ndary Adopo,fr FRA,"MF,DF",23-221,8,0,52.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.0,5.0,10.0,0.0,1.73,1.73,0.0,1.73,0.12,0.09,0.2,0.12,0.2,Matches
Isak Hien,se SWE,DF,25-043,3,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
El Bilal Touré,ml MLI,FW,22-145,2,0,43.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,2.0,2.09,0.0,2.09,2.09,2.09,1.05,0.0,1.05,1.05,1.05,Matches
José Luis Palomino,ar ARG,DF,34-051,4,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giovanni Bonfanti,it ITA,DF,21-039,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Mendicino,it ITA,MF,17-245,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Moustapha Cissé,gn GUI,FW,20-164,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matteo Colombo,it ITA,MF,19-353,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pietro Comi,it ITA,DF,18-259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Cortinovis,it ITA,MF,23-031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tommaso Del Lungo,it ITA,DF,20-096,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Siren Diao,es ESP,FW,19-035,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alberto Manzoni,it ITA,MF,18-245,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Caleb Okoli,it ITA,DF,22-227,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Palestra,it ITA,DF,18-359,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Francesco Rossi,it ITA,GK,32-304,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.0,24,264,2160.0,24.0,47.0,38.0,85.0,45.0,2.0,2.0,48.0,1.0,37.7,36.2,28.8,65.0,461.0,1109.0,1094.0,1.96,1.58,3.54,1.87,3.46,1.57,1.2,2.77,1.51,2.71,
Opponent Total,,,27.1,24,264,2160.0,24.0,22.0,17.0,39.0,18.0,4.0,6.0,45.0,1.0,24.6,20.0,15.8,35.8,342.0,721.0,711.0,0.92,0.71,1.62,0.75,1.46,1.03,0.66,1.68,0.83,1.49,
