Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lewis Ferguson,sct SCO,MF,24-185,25,25,2230.0,24.8,5.0,3.0,8.0,5.0,0.0,0.0,7.0,0.0,4.5,4.5,1.6,6.2,42.0,123.0,102.0,0.2,0.12,0.32,0.2,0.32,0.18,0.07,0.25,0.18,0.25,Matches
Joshua Zirkzee,nl NED,FW,22-279,25,24,2096.0,23.3,9.0,3.0,12.0,8.0,1.0,1.0,5.0,0.0,7.3,6.5,3.4,9.9,35.0,62.0,138.0,0.39,0.13,0.52,0.34,0.47,0.31,0.15,0.46,0.28,0.43,Matches
Łukasz Skorupski,pl POL,GK,32-296,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sam Beukema,nl NED,DF,25-100,22,22,1947.0,21.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.3,1.3,0.8,2.1,11.0,53.0,4.0,0.05,0.05,0.09,0.05,0.09,0.06,0.04,0.1,0.06,0.1,Matches
Remo Freuler,ch SUI,MF,31-316,21,19,1675.0,18.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,0.7,1.2,16.0,91.0,32.0,0.05,0.0,0.05,0.05,0.05,0.03,0.04,0.06,0.03,0.06,Matches
Stefan Posch,at AUT,DF,26-287,21,19,1596.0,17.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,1.2,1.9,28.0,83.0,37.0,0.0,0.11,0.11,0.0,0.11,0.04,0.07,0.11,0.04,0.11,Matches
Riccardo Calafiori,it ITA,DF,21-282,22,18,1656.0,18.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.6,1.1,18.0,64.0,9.0,0.0,0.11,0.11,0.0,0.11,0.02,0.03,0.06,0.02,0.06,Matches
Victor Bernth Kristiansen,dk DEN,DF,21-071,22,17,1500.0,16.7,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.9,2.0,13.0,75.0,49.0,0.0,0.18,0.18,0.0,0.18,0.01,0.11,0.12,0.01,0.12,Matches
Michel Aebischer,ch SUI,MF,27-050,25,17,1457.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.2,1.6,17.0,87.0,30.0,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.1,0.02,0.1,Matches
Riccardo Orsolini,it ITA,"FW,MF",27-032,22,14,1289.0,14.3,9.0,2.0,11.0,7.0,2.0,3.0,1.0,0.0,5.6,3.3,2.5,5.8,42.0,47.0,121.0,0.63,0.14,0.77,0.49,0.63,0.39,0.17,0.57,0.23,0.4,Matches
Alexis Saelemaekers,be BEL,"FW,MF",24-243,19,13,1164.0,12.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,1.1,1.1,1.4,2.5,43.0,45.0,112.0,0.08,0.08,0.15,0.08,0.15,0.09,0.11,0.2,0.09,0.2,Matches
Dan Ndoye,ch SUI,"FW,MF",23-123,21,13,1163.0,12.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.5,3.5,67.0,27.0,107.0,0.0,0.08,0.08,0.0,0.08,0.15,0.11,0.27,0.15,0.27,Matches
Jhon Lucumí,co COL,DF,25-244,17,12,1182.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,17.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
