Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,21:15,Coppa Italia,First round,Sat,Home,W,2.0,1.0,Palermo,,,51.0,14917.0,Leonardo Pavoletti,4-4-2,Livio Marinelli,Match Report,Required Extra Time
2023-08-21,18:30,Serie A,Matchweek 1,Mon,Away,D,0.0,0.0,Torino,0.4,1.0,43.0,20296.0,Nahitan Nández,3-4-3,Francesco Cosso,Match Report,
2023-08-28,20:45,Serie A,Matchweek 2,Mon,Home,L,0.0,2.0,Inter,0.6,0.9,33.0,16412.0,Leonardo Pavoletti,4-2-3-1,Michael Fabbri,Match Report,
2023-09-02,18:30,Serie A,Matchweek 3,Sat,Away,L,1.0,2.0,Bologna,0.5,2.3,29.0,22818.0,Nahitan Nández,4-1-3-2,Daniele Orsato,Match Report,
2023-09-17,12:30,Serie A,Matchweek 4,Sun,Home,D,0.0,0.0,Udinese,1.6,0.7,46.0,15121.0,Leonardo Pavoletti,3-5-2,Daniele Doveri,Match Report,
2023-09-24,15:00,Serie A,Matchweek 5,Sun,Away,L,0.0,2.0,Atalanta,0.8,1.7,44.0,14739.0,Alessandro Deiola,3-5-2,Ermanno Feliciani,Match Report,
2023-09-27,18:30,Serie A,Matchweek 6,Wed,Home,L,1.0,3.0,Milan,0.9,2.1,34.0,16348.0,Nahitan Nández,5-4-1,Federico La Penna,Match Report,
2023-10-02,20:45,Serie A,Matchweek 7,Mon,Away,L,0.0,3.0,Fiorentina,0.8,1.2,40.0,27309.0,Alessandro Deiola,4-4-2,Marco Di Bello,Match Report,
2023-10-08,18:00,Serie A,Matchweek 8,Sun,Home,L,1.0,4.0,Roma,1.7,2.6,57.0,16307.0,Nahitan Nández,3-5-2,Simone Sozza,Match Report,
2023-10-22,15:00,Serie A,Matchweek 9,Sun,Away,D,2.0,2.0,Salernitana,1.7,1.5,51.0,17409.0,Alessandro Deiola,4-3-1-2,Daniele Chiffi,Match Report,
2023-10-29,12:30,Serie A,Matchweek 10,Sun,Home,W,4.0,3.0,Frosinone,3.4,1.5,47.0,15946.0,Alessandro Deiola,4-3-2-1,Luca Pairetto,Match Report,
2023-11-01,21:00,Coppa Italia,Second round,Wed,Away,W,2.0,1.0,Udinese,,,60.0,4537.0,Boris Radunović,4-3-1-2,Francesco Cosso,Match Report,Required Extra Time
2023-11-05,15:00,Serie A,Matchweek 11,Sun,Home,W,2.0,1.0,Genoa,0.9,1.0,42.0,16412.0,Marco Mancosu,4-3-1-2,Marco Guida,Match Report,
2023-11-11,18:00,Serie A,Matchweek 12,Sat,Away,L,1.0,2.0,Juventus,0.6,2.3,51.0,39892.0,Nicolas Viola,4-2-3-1,Marco Piccinini,Match Report,
2023-11-26,12:30,Serie A,Matchweek 13,Sun,Home,D,1.0,1.0,Monza,1.6,0.7,39.0,16291.0,Nicolas Viola,3-4-3,Matteo Marchetti,Match Report,
2023-12-02,18:00,Serie A,Matchweek 14,Sat,Away,L,0.0,1.0,Lazio,0.6,2.0,40.0,37000.0,Gianluca Lapadula,3-4-1-2,Federico Dionisi,Match Report,
2023-12-11,20:45,Serie A,Matchweek 15,Mon,Home,W,2.0,1.0,Sassuolo,1.1,0.8,60.0,15769.0,Nahitan Nández,4-4-1-1,Maurizio Mariani,Match Report,
2023-12-16,18:00,Serie A,Matchweek 16,Sat,Away,L,1.0,2.0,Napoli,1.1,1.8,33.0,45000.0,Leonardo Pavoletti,4-4-2,Matteo Marcenaro,Match Report,
2023-12-23,18:00,Serie A,Matchweek 17,Sat,Away,L,0.0,2.0,Hellas Verona,0.8,0.9,43.0,16716.0,Leonardo Pavoletti,3-4-1-2,Daniele Orsato,Match Report,
2023-12-30,15:00,Serie A,Matchweek 18,Sat,Home,D,0.0,0.0,Empoli,1.8,0.3,50.0,16125.0,Leonardo Pavoletti,4-1-2-1-2◆,Fabio Maresca,Match Report,
2024-01-02,21:00,Coppa Italia,Round of 16,Tue,Away,L,1.0,4.0,Milan,,,39.0,57169.0,Alessandro Deiola,4-3-1-2,Alessandro Prontera,Match Report,
2024-01-06,18:00,Serie A,Matchweek 19,Sat,Away,D,1.0,1.0,Lecce,1.0,1.5,58.0,25203.0,Nahitan Nández,4-4-1-1,Davide Massa,Match Report,
2024-01-14,15:00,Serie A,Matchweek 20,Sun,Home,W,2.0,1.0,Bologna,0.7,0.6,36.0,15980.0,Nahitan Nández,4-3-2-1,Gianluca Manganiello,Match Report,
2024-01-21,12:30,Serie A,Matchweek 21,Sun,Away,L,1.0,3.0,Frosinone,0.6,2.8,40.0,,Nahitan Nández,3-5-2,Federico Dionisi,Match Report,
2024-01-26,20:45,Serie A,Matchweek 22,Fri,Home,L,1.0,2.0,Torino,2.2,1.6,51.0,,Nahitan Nández,3-4-3,Andrea Colombo,Match Report,
2024-02-05,20:45,Serie A,Matchweek 23,Mon,Away,L,0.0,4.0,Roma,0.6,2.5,47.0,61755.0,Nahitan Nández,3-5-2,Matteo Marcenaro,Match Report,
2024-02-10,15:00,Serie A,Matchweek 24,Sat,Home,L,1.0,3.0,Lazio,0.8,1.3,45.0,,Alessandro Deiola,3-4-3,Marco Di Bello,Match Report,
