Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alberto Dossena,it ITA,DF,25-136,26,24,2182.0,24.2,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,2.0,3.9,4.0,66.0,2.0,0.08,0.12,0.21,0.08,0.21,0.08,0.08,0.16,0.08,0.16,Matches
Antoine Makoumbou,cg CGO,MF,25-223,24,24,2046.0,22.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.6,0.6,0.8,1.4,27.0,103.0,43.0,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.06,0.03,0.06,Matches
Simone Scuffet,it ITA,GK,27-271,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nahitan Nández,uy URU,"MF,DF",28-060,22,19,1483.0,16.5,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,2.9,2.1,1.5,3.6,38.0,61.0,56.0,0.06,0.06,0.12,0.0,0.06,0.17,0.09,0.27,0.13,0.22,Matches
Gabriele Zappa,it ITA,DF,24-066,26,18,1835.0,20.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.3,2.6,25.0,74.0,60.0,0.05,0.05,0.1,0.05,0.1,0.06,0.07,0.13,0.06,0.13,Matches
Tommaso Augello,it ITA,DF,29-180,21,17,1508.0,16.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.5,1.6,46.0,59.0,73.0,0.0,0.06,0.06,0.0,0.06,0.01,0.09,0.1,0.01,0.1,Matches
Matteo Prati,it ITA,MF,20-060,18,16,1507.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,0.4,1.9,7.0,58.0,13.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.12,0.09,0.12,Matches
Andrea Petagna,it ITA,FW,28-241,18,13,995.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.0,2.6,11.0,14.0,56.0,0.09,0.09,0.18,0.09,0.18,0.15,0.09,0.23,0.15,0.23,Matches
Zito Luvumbo,ao ANG,"FW,MF",21-354,21,12,1354.0,15.0,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,2.6,2.6,2.5,5.1,59.0,15.0,123.0,0.27,0.2,0.47,0.27,0.47,0.17,0.17,0.34,0.17,0.34,Matches
Edoardo Goldaniga,it ITA,DF,30-116,13,12,1011.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.1,0.7,9.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Ibrahim Sulemana,gh GHA,MF,20-280,13,11,858.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.5,10.0,20.0,11.0,0.1,0.0,0.1,0.1,0.1,0.04,0.01,0.05,0.04,0.05,Matches
Nicolas Viola,it ITA,"MF,FW",34-137,18,10,983.0,10.9,3.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,2.5,1.7,3.0,4.7,19.0,44.0,56.0,0.27,0.18,0.46,0.27,0.46,0.23,0.27,0.5,0.16,0.43,Matches
Pantelis Hatzidiakos,gr GRE,DF,27-039,10,10,638.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,1.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.05,0.06,Matches
Gaetano Oristanio,it ITA,"FW,MF",21-151,19,9,865.0,9.6,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.8,2.3,22.0,23.0,56.0,0.21,0.1,0.31,0.21,0.31,0.16,0.08,0.24,0.16,0.24,Matches
Paulo Azzi,br BRA,"DF,MF",29-226,17,9,836.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4,1.4,40.0,31.0,39.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.15,0.11,0.15,Matches
Alessandro Deiola,it ITA,MF,28-209,16,9,765.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,0.5,1.6,6.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.19,0.13,0.19,Matches
Jakub Jankto,cz CZE,"MF,FW",28-038,14,9,658.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.7,10.0,20.0,42.0,0.0,0.27,0.27,0.0,0.27,0.18,0.06,0.24,0.17,0.23,Matches
Mateusz Wieteska,pl POL,DF,27-015,10,8,697.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.6,0.8,8.0,21.0,1.0,0.0,0.13,0.13,0.0,0.13,0.03,0.07,0.1,0.03,0.1,Matches
Boris Radunović,rs SRB,GK,27-276,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gianluca Lapadula,pe PER,FW,34-019,13,7,576.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.8,1.8,0.2,2.0,3.0,0.0,31.0,0.16,0.0,0.16,0.16,0.16,0.28,0.03,0.31,0.28,0.31,Matches
Adam Obert,sk SVK,DF,21-187,11,6,575.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,9.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.09,0.01,0.09,Matches
Leonardo Pavoletti,it ITA,FW,35-092,19,5,628.0,7.0,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,2.6,2.6,0.3,2.9,0.0,16.0,41.0,0.57,0.14,0.72,0.57,0.72,0.37,0.04,0.41,0.37,0.41,Matches
Yerry Mina,co COL,DF,29-156,4,4,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
