Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sebastiano Luperto,it ITA,DF,27-173,26,26,2340.0,26.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,1.0,2.2,7.0,72.0,9.0,0.04,0.04,0.08,0.04,0.08,0.05,0.04,0.09,0.05,0.09,Matches
Youssef Maleh,ma MAR,MF,25-188,23,22,1835.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,1.8,2.8,12.0,82.0,51.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches
Nicolò Cambiaghi,it ITA,"FW,MF",23-060,25,21,1820.0,20.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.9,2.9,1.8,4.7,88.0,50.0,145.0,0.0,0.05,0.05,0.0,0.05,0.15,0.09,0.23,0.15,0.23,Matches
Alberto Grassi,it ITA,MF,28-356,23,18,1533.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.6,1.6,13.0,64.0,12.0,0.0,0.06,0.06,0.0,0.06,0.06,0.04,0.09,0.06,0.09,Matches
Ardian Ismajli,al ALB,DF,27-149,20,17,1554.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.1,5.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Liberato Cacace,nz NZL,DF,23-152,20,16,1513.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.9,1.2,24.0,64.0,44.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches
Sebastian Walukiewicz,pl POL,DF,23-327,17,15,1333.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.1,0.2,11.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Etrit Berisha,al ALB,GK,34-353,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Caputo,it ITA,FW,36-204,15,14,1096.0,12.2,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,2.2,0.7,2.9,6.0,18.0,57.0,0.25,0.0,0.25,0.16,0.16,0.24,0.06,0.3,0.18,0.23,Matches
Matteo Cancellieri,it ITA,"FW,MF",22-014,25,13,1295.0,14.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,3.0,3.0,2.2,5.2,39.0,20.0,91.0,0.14,0.14,0.28,0.14,0.28,0.21,0.15,0.36,0.21,0.36,Matches
Răzvan Marin,ro ROU,MF,27-279,20,12,1057.0,11.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.8,2.4,11.0,36.0,22.0,0.0,0.17,0.17,0.0,0.17,0.05,0.15,0.2,0.05,0.2,Matches
Bartosz Bereszyński,pl POL,DF,31-229,13,12,869.0,9.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,9.0,40.0,15.0,0.0,0.1,0.1,0.0,0.1,0.0,0.02,0.03,0.0,0.03,Matches
Tyronne Ebuehi,ng NGA,DF,28-072,14,11,1074.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,34.0,37.0,35.0,0.0,0.08,0.08,0.0,0.08,0.02,0.08,0.1,0.02,0.1,Matches
Elia Caprile,it ITA,GK,22-185,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emmanuel Gyasi,gh GHA,"DF,FW",30-046,21,10,949.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.5,3.5,0.5,4.0,11.0,28.0,40.0,0.09,0.0,0.09,0.09,0.09,0.33,0.05,0.38,0.33,0.38,Matches
Jacopo Fazzini,it ITA,MF,20-347,21,10,854.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.9,2.9,17.0,33.0,38.0,0.11,0.11,0.21,0.11,0.21,0.1,0.2,0.3,0.1,0.3,Matches
Tommaso Baldanzi,it ITA,"MF,FW",20-340,14,8,745.0,8.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.1,2.1,1.0,3.1,20.0,30.0,40.0,0.24,0.0,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38,Matches
Alberto Cerri,it ITA,FW,27-316,6,6,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,2.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.25,0.2,0.25,Matches
Filippo Ranocchia,it ITA,"MF,DF",22-288,9,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.8,5.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,Matches
Szymon Żurkowski,pl POL,MF,26-154,6,5,451.0,5.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,15.0,15.0,22.0,0.8,0.0,0.8,0.8,0.8,0.14,0.02,0.16,0.14,0.16,Matches
Steven Shpendi,al ALB,"FW,MF",20-283,11,4,397.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,3.0,6.0,31.0,0.0,0.23,0.23,0.0,0.23,0.09,0.1,0.19,0.09,0.19,Matches
Giuseppe Pezzella,it ITA,DF,26-089,8,4,338.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,22.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Viktor Kovalenko,ua UKR,MF,28-012,12,3,432.0,4.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,1.5,4.0,18.0,20.0,0.21,0.21,0.42,0.21,0.42,0.14,0.16,0.31,0.14,0.31,Matches
Simone Bastoni,it ITA,"DF,MF",27-113,9,3,365.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,6.0,12.0,15.0,0.25,0.0,0.25,0.25,0.25,0.04,0.08,0.12,0.04,0.12,Matches
Daniel Maldini,it ITA,"FW,MF",22-138,7,3,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,7.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.12,0.1,0.12,Matches
Mattia Destro,it ITA,"FW,MF",32-343,10,1,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,0.9,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.25,0.11,0.36,0.25,0.36,Matches
Nicolas Haas,ch SUI,MF,28-034,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Samuele Perisan,it ITA,GK,26-189,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
M'Baye Niang,sn SEN,FW,29-069,3,0,102.0,1.1,3.0,1.0,4.0,0.0,3.0,3.0,0.0,0.0,2.6,0.4,0.6,0.9,0.0,4.0,6.0,2.65,0.88,3.53,0.0,0.88,2.34,0.51,2.84,0.32,0.83,Matches
Roberto Piccoli,it ITA,FW,23-030,2,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Giacomo Corona,it ITA,FW,20-002,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emmanuel Ekong,se SWE,FW,21-246,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches
Liam Henderson,sct SCO,MF,27-307,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Sodero,it ITA,MF,19-203,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Saba Goglichidze,ge GEO,DF,19-246,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriele Guarino,it ITA,DF,19-318,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriele Indragoli,it ITA,DF,20-006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Marianucci,it ITA,DF,19-218,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jacopo Seghetti,it ITA,GK,19-009,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Petar Stojanović,si SVN,"DF,MF",28-142,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lovro Štubljar,si SVN,GK,19-201,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Vertua,it ITA,GK,18-056,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.6,26,286,2340.0,26.0,19.0,13.0,32.0,15.0,4.0,4.0,59.0,0.0,26.4,23.4,18.7,42.1,373.0,766.0,762.0,0.73,0.5,1.23,0.58,1.08,1.02,0.72,1.73,0.9,1.62,
Opponent Total,,,27.1,26,286,2340.0,26.0,39.0,27.0,66.0,35.0,4.0,6.0,53.0,3.0,34.4,29.7,23.0,52.7,458.0,1077.0,1065.0,1.5,1.04,2.54,1.35,2.38,1.32,0.88,2.21,1.14,2.03,
