Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pietro Terracciano,it ITA,GK,33-354,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Giacomo Bonaventura,it ITA,MF,34-187,23,20,1648.0,18.3,6.0,2.0,8.0,6.0,0.0,1.0,4.0,0.0,4.7,3.9,2.8,6.6,43.0,100.0,83.0,0.33,0.11,0.44,0.33,0.44,0.26,0.15,0.41,0.21,0.36,Matches
Lucas Martínez Quarta,ar ARG,DF,27-291,21,19,1659.0,18.4,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,1.9,1.9,0.4,2.3,12.0,130.0,12.0,0.22,0.0,0.22,0.22,0.22,0.1,0.02,0.12,0.1,0.12,Matches
Cristiano Biraghi,it ITA,DF,31-177,20,19,1638.0,18.2,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,1.5,2.1,45.0,95.0,80.0,0.05,0.16,0.22,0.05,0.22,0.04,0.08,0.12,0.04,0.12,Matches
Nikola Milenković,rs SRB,DF,26-136,23,18,1715.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,4.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Arthur Melo,br BRA,MF,27-197,24,18,1506.0,16.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.4,1.5,16.0,99.0,22.0,0.0,0.06,0.06,0.0,0.06,0.01,0.09,0.09,0.01,0.09,Matches
Alfred Duncan,gh GHA,MF,30-352,22,18,1421.0,15.8,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,1.6,2.8,18.0,99.0,34.0,0.06,0.32,0.38,0.06,0.38,0.07,0.1,0.18,0.07,0.17,Matches
Lucas Beltrán,ar ARG,"FW,MF",22-333,22,15,1194.0,13.3,6.0,1.0,7.0,5.0,1.0,1.0,4.0,0.0,3.1,2.3,1.2,3.6,5.0,28.0,83.0,0.45,0.08,0.53,0.38,0.45,0.24,0.09,0.33,0.18,0.27,Matches
Nicolás González,ar ARG,FW,25-325,18,14,1193.0,13.3,7.0,1.0,8.0,6.0,1.0,2.0,1.0,0.0,5.6,4.0,1.0,5.0,39.0,62.0,120.0,0.53,0.08,0.6,0.45,0.53,0.42,0.08,0.5,0.3,0.38,Matches
Michael Kayode,it ITA,DF,19-230,16,13,1256.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.6,0.7,27.0,45.0,52.0,0.0,0.07,0.07,0.0,0.07,0.01,0.04,0.05,0.01,0.05,Matches
Luca Ranieri,it ITA,DF,24-308,16,13,1202.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.3,0.3,0.1,0.4,7.0,55.0,3.0,0.07,0.0,0.07,0.07,0.07,0.02,0.01,0.03,0.02,0.03,Matches
M'Bala Nzola,ao ANG,FW,27-191,24,12,1270.0,14.1,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,4.3,3.5,1.0,4.5,18.0,21.0,122.0,0.14,0.14,0.28,0.07,0.21,0.3,0.07,0.37,0.25,0.32,Matches
Jonathan Ikone,fr FRA,FW,25-299,18,12,1141.0,12.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.3,2.3,1.0,3.4,31.0,39.0,114.0,0.08,0.08,0.16,0.08,0.16,0.18,0.08,0.27,0.18,0.27,Matches
Rolando Mandragora,it ITA,MF,26-241,22,11,1097.0,12.2,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,0.9,2.6,4.0,67.0,23.0,0.16,0.16,0.33,0.16,0.33,0.14,0.07,0.22,0.14,0.22,Matches
Fabiano Parisi,it ITA,DF,23-108,15,11,1002.0,11.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,1.6,2.4,33.0,54.0,47.0,0.0,0.09,0.09,0.0,0.09,0.07,0.14,0.21,0.07,0.21,Matches
Josip Brekalo,hr CRO,FW,25-247,11,8,652.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,14.0,25.0,69.0,0.14,0.0,0.14,0.14,0.14,0.06,0.04,0.1,0.06,0.1,Matches
Christian Kouamé,ci CIV,FW,26-081,14,7,685.0,7.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,1.6,2.5,8.0,35.0,78.0,0.13,0.13,0.26,0.13,0.26,0.12,0.21,0.32,0.12,0.32,Matches
Riccardo Sottil,it ITA,FW,24-267,14,7,601.0,6.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.7,2.3,40.0,16.0,84.0,0.15,0.15,0.3,0.15,0.3,0.23,0.11,0.34,0.23,0.34,Matches
Dodô,br BRA,DF,25-100,5,4,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.7,12.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.22,0.24,0.02,0.24,Matches
Maxime Lopez,fr FRA,MF,26-083,10,3,377.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,7.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.04,0.15,Matches
Davide Faraoni,it ITA,DF,32-123,4,3,286.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,6.0,14.0,13.0,0.0,0.31,0.31,0.0,0.31,0.03,0.07,0.1,0.03,0.1,Matches
Andrea Belotti,it ITA,FW,30-067,4,3,278.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,6.0,6.0,16.0,0.32,0.0,0.32,0.32,0.32,0.22,0.08,0.3,0.22,0.3,Matches
Antonín Barák,cz CZE,MF,29-084,10,2,240.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.5,9.0,10.0,23.0,0.37,0.0,0.37,0.37,0.37,0.16,0.01,0.17,0.16,0.17,Matches
Oliver Christensen,dk DEN,GK,24-340,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gino Infantino,ar ARG,MF,20-282,5,0,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
Yerry Mina,co COL,"DF,MF",29-155,4,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Pietro Comuzzo,it ITA,"DF,FW",19-005,3,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorenzo Amatucci,it ITA,MF,20-020,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Sofyan Amrabat,ma MAR,MF,27-188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Christian Dalle Mura,it ITA,DF,22-023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luka Jović,rs SRB,FW,26-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Aleksandr Kokorin,ru RUS,"FW,MF",32-343,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tommaso Martinelli,it ITA,GK,18-050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Niccolò Pierozzi,it ITA,DF,22-166,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Abdelhamid Sabiri,ma MAR,MF,27-089,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tommaso Vannucchi,it ITA,GK,16-357,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.7,25,275,2250.0,25.0,36.0,23.0,59.0,33.0,3.0,5.0,55.0,0.0,30.7,26.8,19.9,46.7,405.0,1112.0,1104.0,1.44,0.92,2.36,1.32,2.24,1.23,0.8,2.02,1.07,1.87,
Opponent Total,,,26.8,25,275,2250.0,25.0,29.0,18.0,47.0,23.0,6.0,7.0,53.0,2.0,32.5,26.9,19.9,46.8,307.0,648.0,637.0,1.16,0.72,1.88,0.92,1.64,1.3,0.79,2.1,1.08,1.87,
