Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stefano Turati,it ITA,GK,22-173,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matìas Soulé,ar ARG,"FW,MF",20-316,23,23,2001.0,22.2,10.0,2.0,12.0,6.0,4.0,4.0,3.0,0.0,7.7,4.6,4.3,8.9,79.0,137.0,148.0,0.45,0.09,0.54,0.27,0.36,0.35,0.2,0.54,0.21,0.4,Matches
Enzo Barrenechea,ar ARG,MF,22-279,24,22,1884.0,20.9,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,1.3,1.7,8.0,105.0,18.0,0.0,0.05,0.05,0.0,0.05,0.02,0.06,0.08,0.02,0.08,Matches
Caleb Okoli,it ITA,DF,22-227,21,19,1766.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.1,0.3,12.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches
Simone Romagnoli,it ITA,DF,34-016,21,18,1653.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.4,1.2,1.0,35.0,1.0,0.05,0.05,0.11,0.05,0.11,0.05,0.02,0.07,0.05,0.07,Matches
Ilario Monterisi,it ITA,DF,22-068,20,16,1445.0,16.1,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,0.4,1.5,4.0,47.0,18.0,0.12,0.12,0.25,0.12,0.25,0.07,0.02,0.09,0.07,0.09,Matches
Luca Mazzitelli,it ITA,MF,28-102,18,16,1400.0,15.6,5.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,1.7,1.7,0.9,2.6,12.0,115.0,36.0,0.32,0.0,0.32,0.32,0.32,0.11,0.06,0.17,0.11,0.17,Matches
Francesco Gelli,it ITA,"DF,MF",27-133,17,14,1307.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.7,2.2,36.0,49.0,74.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.15,0.03,0.15,Matches
Anthony Oyono,ga GAB,DF,22-319,16,14,1198.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.9,1.0,35.0,33.0,39.0,0.0,0.08,0.08,0.0,0.08,0.01,0.07,0.08,0.01,0.08,Matches
