Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Josep Martinez,es ESP,GK,25-274,25,25,2249.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Morten Frendrup,dk DEN,MF,22-324,25,24,2180.0,24.2,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.9,2.1,29.0,84.0,52.0,0.04,0.17,0.21,0.04,0.21,0.05,0.04,0.09,0.05,0.09,Matches
Albert Guðmundsson,is ISL,"FW,MF",26-255,24,24,2145.0,23.8,9.0,3.0,12.0,7.0,2.0,2.0,3.0,0.0,4.9,3.3,3.7,7.0,53.0,88.0,118.0,0.38,0.13,0.5,0.29,0.42,0.21,0.15,0.36,0.14,0.29,Matches
Stefano Sabelli,it ITA,DF,31-043,23,22,1865.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.6,1.9,56.0,66.0,74.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.09,0.02,0.09,Matches
Milan Badelj,hr CRO,MF,35-000,22,22,1724.0,19.2,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.8,1.5,12.0,99.0,16.0,0.0,0.16,0.16,0.0,0.16,0.04,0.04,0.08,0.04,0.08,Matches
Johan Vásquez,mx MEX,DF,25-126,26,21,1878.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3,1.3,0.5,1.8,17.0,49.0,43.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
Mattia Bani,it ITA,DF,30-077,21,21,1772.0,19.7,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,1.2,1.2,0.1,1.3,4.0,27.0,4.0,0.1,0.0,0.1,0.1,0.1,0.06,0.0,0.06,0.06,0.06,Matches
Radu Drăgușin,ro ROU,DF,22-022,19,19,1710.0,19.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,1.9,6.0,29.0,13.0,0.11,0.05,0.16,0.11,0.16,0.05,0.04,0.1,0.05,0.1,Matches
Mateo Retegui,it ITA,FW,24-302,19,17,1428.0,15.9,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,4.0,4.0,0.5,4.5,10.0,12.0,79.0,0.38,0.13,0.5,0.38,0.5,0.25,0.03,0.28,0.25,0.28,Matches
Ruslan Malinovskyi,ua UKR,MF,30-297,23,17,1389.0,15.4,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,0.8,0.8,0.4,1.3,20.0,68.0,27.0,0.19,0.06,0.26,0.19,0.26,0.05,0.03,0.08,0.05,0.08,Matches
Koni De Winter,be BEL,DF,21-258,19,16,1480.0,16.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.6,0.6,1.0,1.6,16.0,32.0,12.0,0.0,0.06,0.06,0.0,0.06,0.04,0.06,0.1,0.04,0.1,Matches
Kevin Strootman,nl NED,MF,34-012,17,12,862.0,9.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.2,1.3,9.0,43.0,14.0,0.0,0.21,0.21,0.0,0.21,0.01,0.13,0.14,0.01,0.14,Matches
