Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lorenzo Montipò,it ITA,GK,28-005,26,26,2340.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,Matches
Michael Folorunsho,ng NGA,"MF,FW",26-018,25,25,2108.0,23.4,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.0,2.0,1.1,3.0,45.0,41.0,81.0,0.13,0.04,0.17,0.13,0.17,0.09,0.04,0.13,0.09,0.13,Matches
Ondrej Duda,sk SVK,MF,29-082,22,21,1742.0,19.4,1.0,3.0,4.0,1.0,0.0,1.0,10.0,2.0,2.0,1.2,2.7,3.9,28.0,77.0,38.0,0.05,0.15,0.21,0.05,0.21,0.1,0.14,0.24,0.06,0.2,Matches
Giangiacomo Magnani,it ITA,DF,28-144,22,20,1765.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.2,0.6,13.0,63.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Paweł Dawidowicz,pl POL,DF,28-281,20,18,1541.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.0,0.5,8.0,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Cyril Ngonge,be BEL,"FW,MF",23-275,19,17,1431.0,15.9,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,4.2,3.4,1.7,5.1,53.0,44.0,117.0,0.38,0.13,0.5,0.38,0.5,0.27,0.11,0.37,0.21,0.32,Matches
Tomáš Suslov,sk SVK,"MF,FW",21-263,20,16,1420.0,15.8,1.0,3.0,4.0,0.0,1.0,1.0,5.0,0.0,2.3,1.3,1.9,3.3,32.0,45.0,52.0,0.06,0.19,0.25,0.0,0.19,0.14,0.12,0.27,0.08,0.21,Matches
Filippo Terracciano,it ITA,DF,21-017,18,14,1296.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.0,1.3,26.0,51.0,28.0,0.0,0.07,0.07,0.0,0.07,0.02,0.07,0.09,0.02,0.09,Matches
Milan Đurić,ba BIH,FW,33-279,20,13,1204.0,13.4,5.0,1.0,6.0,4.0,1.0,3.0,2.0,0.0,4.5,2.2,1.2,3.4,3.0,15.0,33.0,0.37,0.07,0.45,0.3,0.37,0.34,0.09,0.43,0.16,0.25,Matches
Jackson Tchatchoua,be BEL,DF,22-164,18,13,1203.0,13.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,1.2,26.0,48.0,55.0,0.0,0.15,0.15,0.0,0.15,0.0,0.09,0.09,0.0,0.09,Matches
