Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yann Sommer,ch SUI,GK,35-070,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcus Thuram,fr FRA,FW,26-203,24,24,1824.0,20.3,10.0,7.0,17.0,10.0,0.0,0.0,3.0,0.0,11.8,11.8,1.8,13.6,48.0,33.0,134.0,0.49,0.35,0.84,0.49,0.84,0.58,0.09,0.67,0.58,0.67,Matches
Henrikh Mkhitaryan,am ARM,MF,35-035,24,23,1934.0,21.5,2.0,6.0,8.0,2.0,0.0,0.0,3.0,0.0,2.7,2.7,3.7,6.5,68.0,134.0,82.0,0.09,0.28,0.37,0.09,0.37,0.13,0.17,0.3,0.13,0.3,Matches
Hakan Çalhanoğlu,tr TUR,MF,30-017,23,23,1864.0,20.7,9.0,3.0,12.0,2.0,7.0,7.0,5.0,0.0,7.3,1.8,3.9,5.7,36.0,143.0,26.0,0.43,0.14,0.58,0.1,0.24,0.35,0.19,0.54,0.09,0.27,Matches
Nicolò Barella,it ITA,MF,27-018,23,22,1811.0,20.1,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,3.3,3.3,2.2,5.5,43.0,194.0,99.0,0.1,0.15,0.25,0.1,0.25,0.16,0.11,0.27,0.16,0.27,Matches
Lautaro Martínez,ar ARG,FW,26-187,22,21,1819.0,20.2,20.0,2.0,22.0,18.0,2.0,2.0,2.0,0.0,12.2,10.6,1.8,12.4,38.0,61.0,118.0,0.99,0.1,1.09,0.89,0.99,0.6,0.09,0.69,0.53,0.61,Matches
Alessandro Bastoni,it ITA,DF,24-318,19,19,1549.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.7,3.7,39.0,92.0,61.0,0.06,0.0,0.06,0.06,0.06,0.06,0.16,0.21,0.06,0.21,Matches
Matteo Darmian,it ITA,DF,34-085,22,18,1673.0,18.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.2,1.5,10.0,45.0,50.0,0.0,0.05,0.05,0.0,0.05,0.02,0.06,0.08,0.02,0.08,Matches
Francesco Acerbi,it ITA,DF,36-015,20,18,1642.0,18.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.7,2.7,13.0,54.0,17.0,0.11,0.05,0.16,0.11,0.16,0.06,0.09,0.15,0.06,0.15,Matches
Federico Dimarco,it ITA,DF,26-107,19,18,1290.0,14.3,3.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,1.9,1.9,6.1,8.0,34.0,68.0,126.0,0.21,0.35,0.56,0.21,0.56,0.13,0.43,0.56,0.13,0.56,Matches
Denzel Dumfries,nl NED,DF,27-313,19,14,1158.0,12.9,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,3.5,5.0,36.0,39.0,111.0,0.23,0.23,0.47,0.23,0.47,0.12,0.27,0.39,0.12,0.39,Matches
Benjamin Pavard,fr FRA,DF,27-334,14,12,925.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.6,1.1,14.0,51.0,28.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11,Matches
Stefan de Vrij,nl NED,DF,32-020,18,11,1043.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Carlos,br BRA,DF,25-049,24,6,951.0,10.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,2.0,2.8,30.0,31.0,63.0,0.0,0.28,0.28,0.0,0.28,0.07,0.19,0.26,0.07,0.26,Matches
Yann Aurel Bisseck,de GER,DF,23-088,9,4,391.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,11.0,23.0,10.0,0.23,0.0,0.23,0.23,0.23,0.1,0.12,0.21,0.1,0.21,Matches
Davide Frattesi,it ITA,MF,24-126,19,2,472.0,5.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.3,2.3,0.2,2.5,18.0,19.0,21.0,0.38,0.0,0.38,0.38,0.38,0.44,0.04,0.48,0.44,0.48,Matches
Marko Arnautović,at AUT,FW,34-312,17,2,452.0,5.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,3.4,3.4,2.5,5.8,5.0,11.0,46.0,0.4,0.6,1.0,0.4,1.0,0.67,0.49,1.16,0.67,1.16,Matches
Kristjan Asllani,al ALB,MF,21-353,13,1,280.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.4,0.0,11.0,4.0,0.0,0.32,0.32,0.0,0.32,0.09,0.07,0.15,0.08,0.14,Matches
Alexis Sánchez,cl CHI,FW,35-068,11,1,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,5.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.26,0.15,0.42,0.26,0.42,Matches
Davy Klaassen,nl NED,"MF,FW",31-004,8,1,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.2,0.08,0.2,Matches
Juan Cuadrado,co COL,DF,35-275,7,0,156.0,1.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.3,1.4,13.0,6.0,17.0,0.0,1.15,1.15,0.0,1.15,0.08,0.73,0.81,0.08,0.81,Matches
