Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gleison Bremer,br BRA,DF,26-344,24,24,2153.0,23.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,0.3,1.4,4.0,74.0,3.0,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06,Matches
Wojciech Szczęsny,pl POL,GK,33-313,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Weston McKennie,us USA,"MF,FW",25-181,24,22,1961.0,21.8,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,2.9,2.9,2.9,5.8,52.0,70.0,134.0,0.0,0.14,0.14,0.0,0.14,0.13,0.13,0.27,0.13,0.27,Matches
Manuel Locatelli,it ITA,MF,26-048,24,22,1945.0,21.6,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.9,1.4,13.0,149.0,16.0,0.05,0.14,0.19,0.05,0.19,0.02,0.04,0.06,0.02,0.06,Matches
Adrien Rabiot,fr FRA,MF,28-328,21,21,1890.0,21.0,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,2.6,2.5,3.6,6.2,50.0,79.0,86.0,0.19,0.14,0.33,0.19,0.33,0.12,0.17,0.3,0.12,0.29,Matches
Federico Gatti,it ITA,DF,25-246,22,20,1788.0,19.9,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,2.6,2.6,0.9,3.5,28.0,70.0,17.0,0.15,0.0,0.15,0.15,0.15,0.13,0.05,0.18,0.13,0.18,Matches
Filip Kostić,rs SRB,"DF,FW",31-116,22,20,1438.0,16.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,5.0,5.6,48.0,63.0,73.0,0.0,0.25,0.25,0.0,0.25,0.04,0.31,0.35,0.04,0.35,Matches
Danilo,br BRA,DF,32-225,18,17,1551.0,17.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.7,1.7,9.0,97.0,10.0,0.06,0.06,0.12,0.06,0.12,0.06,0.04,0.1,0.06,0.1,Matches
Dušan Vlahović,rs SRB,FW,24-028,22,17,1494.0,16.6,13.0,3.0,16.0,11.0,2.0,4.0,4.0,0.0,11.2,7.9,1.1,9.0,22.0,30.0,103.0,0.78,0.18,0.96,0.66,0.84,0.67,0.07,0.74,0.48,0.54,Matches
Andrea Cambiaso,it ITA,"DF,FW",24-005,22,16,1435.0,15.9,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,2.5,4.0,60.0,32.0,103.0,0.06,0.19,0.25,0.06,0.25,0.09,0.16,0.25,0.09,0.25,Matches
Federico Chiesa,it ITA,FW,26-123,20,14,1291.0,14.3,6.0,1.0,7.0,5.0,1.0,1.0,1.0,0.0,4.5,3.7,3.1,6.8,73.0,44.0,117.0,0.42,0.07,0.49,0.35,0.42,0.31,0.22,0.53,0.26,0.48,Matches
Fabio Miretti,it ITA,MF,20-206,17,11,728.0,8.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.8,1.3,15.0,26.0,43.0,0.12,0.12,0.25,0.12,0.25,0.07,0.1,0.17,0.07,0.17,Matches
Timothy Weah,us USA,"DF,FW",24-003,20,8,823.0,9.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.5,1.5,1.1,2.6,21.0,25.0,53.0,0.0,0.11,0.11,0.0,0.11,0.16,0.12,0.29,0.16,0.29,Matches
Daniele Rugani,it ITA,DF,29-211,12,8,751.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.1,2.0,30.0,1.0,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.13,0.12,0.13,Matches
Kenan Yıldız,tr TUR,"FW,DF",18-297,15,7,532.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.3,1.4,18.0,25.0,32.0,0.17,0.0,0.17,0.17,0.17,0.18,0.06,0.24,0.18,0.24,Matches
Alex Sandro,br BRA,DF,33-030,12,6,536.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.8,1.0,14.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.16,0.02,0.16,Matches
Moise Kean,it ITA,FW,23-362,12,6,472.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,0.6,2.4,11.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.35,0.11,0.46,0.35,0.46,Matches
Arkadiusz Milik,pl POL,FW,29-362,23,5,665.0,7.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,3.9,3.9,2.0,5.9,9.0,18.0,33.0,0.27,0.14,0.41,0.27,0.41,0.53,0.28,0.8,0.53,0.8,Matches
Nicolò Fagioli,it ITA,MF,23-013,6,3,339.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,6.0,20.0,14.0,0.0,0.27,0.27,0.0,0.27,0.07,0.07,0.15,0.07,0.15,Matches
Hans Nicolussi Caviglia,it ITA,MF,23-252,6,3,241.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,0.0,12.0,0.0,0.0,0.37,0.37,0.0,0.37,0.04,0.22,0.26,0.04,0.26,Matches
Mattia Perin,it ITA,GK,31-107,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuel Iling-Junior,eng ENG,"DF,FW",20-144,13,0,284.0,3.2,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,11.0,7.0,32.0,0.32,0.63,0.95,0.32,0.95,0.15,0.1,0.25,0.15,0.25,Matches
Paul Pogba,fr FRA,MF,30-347,2,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Carlos Alcaraz,ar ARG,MF,21-087,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.27,0.37,0.09,0.37,Matches
Dean Huijsen,nl NED,DF,18-317,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joseph Nonge,be BEL,MF,18-286,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Cerri,it ITA,DF,20-358,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gian Crespi,it ITA,GK,22-242,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Giovanni Daffara,it ITA,GK,19-082,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tiago Djaló,pt POR,DF,23-322,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Giovanni Garofani,it ITA,GK,21-128,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
