Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ivan Provedel,it ITA,GK,29-345,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adam Marušić,me MNE,DF,31-131,25,25,2111.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.6,0.7,26.0,81.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Felipe Anderson,br BRA,FW,30-316,25,22,1852.0,20.6,3.0,6.0,9.0,3.0,0.0,0.0,2.0,0.0,2.7,2.7,3.9,6.6,74.0,73.0,155.0,0.15,0.29,0.44,0.15,0.44,0.13,0.19,0.32,0.13,0.32,Matches
Luis Alberto,es ESP,MF,31-150,22,21,1642.0,18.2,3.0,4.0,7.0,3.0,0.0,0.0,6.0,0.0,2.9,2.9,2.8,5.7,58.0,154.0,78.0,0.16,0.22,0.38,0.16,0.38,0.16,0.15,0.31,0.16,0.31,Matches
Mattéo Guendouzi,fr FRA,MF,24-317,23,20,1690.0,18.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,1.5,2.8,29.0,69.0,56.0,0.11,0.0,0.11,0.11,0.11,0.07,0.08,0.15,0.07,0.15,Matches
Alessio Romagnoli,it ITA,DF,29-044,18,16,1511.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,5.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches
Mattia Zaccagni,it ITA,FW,28-254,18,16,1291.0,14.3,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,3.1,3.1,1.4,4.5,64.0,38.0,146.0,0.21,0.0,0.21,0.21,0.21,0.22,0.1,0.31,0.22,0.31,Matches
Ciro Immobile,it ITA,FW,34-005,21,15,1200.0,13.3,6.0,1.0,7.0,2.0,4.0,4.0,6.0,0.0,7.1,4.0,1.8,5.8,16.0,28.0,91.0,0.45,0.07,0.52,0.15,0.23,0.54,0.14,0.67,0.3,0.44,Matches
Manuel Lazzari,it ITA,DF,30-088,17,14,1211.0,13.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,1.1,1.3,61.0,52.0,73.0,0.0,0.15,0.15,0.0,0.15,0.02,0.08,0.1,0.02,0.1,Matches
Nicolò Rovella,it ITA,MF,22-083,18,14,1160.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.3,0.9,20.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Mario Gila,es ESP,DF,23-180,13,13,1109.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,0.1,0.3,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Patric,es ESP,DF,30-314,13,13,1023.0,11.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.0,0.4,2.0,39.0,1.0,0.09,0.0,0.09,0.09,0.09,0.03,0.0,0.04,0.03,0.04,Matches
Danilo Cataldi,it ITA,MF,29-203,18,11,1018.0,11.3,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.3,0.3,0.8,1.0,7.0,53.0,7.0,0.09,0.0,0.09,0.09,0.09,0.02,0.07,0.09,0.02,0.09,Matches
Valentín Castellanos,ar ARG,FW,25-145,22,9,998.0,11.1,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,4.8,4.8,1.1,5.9,12.0,28.0,70.0,0.18,0.27,0.45,0.18,0.45,0.43,0.1,0.53,0.43,0.53,Matches
Gustav Isaksen,dk DEN,FW,22-312,20,9,805.0,8.9,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,1.1,2.3,29.0,16.0,68.0,0.22,0.11,0.34,0.22,0.34,0.12,0.13,0.25,0.12,0.25,Matches
Nicolò Casale,it ITA,DF,26-011,11,8,856.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,13.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.07,0.08,Matches
Daichi Kamada,jp JPN,MF,27-204,18,8,757.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.6,1.7,18.0,38.0,33.0,0.12,0.12,0.24,0.12,0.24,0.14,0.07,0.2,0.14,0.2,Matches
