Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wladimiro Falcone,it ITA,GK,28-319,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marin Pongračić,hr CRO,DF,26-167,24,24,2139.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.2,1.1,24.0,81.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Federico Baschirotto,it ITA,DF,27-158,24,24,2124.0,23.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.1,0.8,0.7,1.5,18.0,61.0,2.0,0.0,0.04,0.04,0.0,0.04,0.05,0.03,0.07,0.04,0.06,Matches
Ylber Ramadani,al ALB,MF,27-319,23,23,2029.0,22.5,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.9,0.9,0.3,1.3,21.0,84.0,8.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.06,0.04,0.06,Matches
Valentin Gendrey,fr FRA,DF,23-249,24,23,2025.0,22.5,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,1.1,1.9,49.0,83.0,55.0,0.04,0.13,0.18,0.04,0.18,0.04,0.05,0.09,0.04,0.09,Matches
Nikola Krstović,me MNE,FW,23-326,24,19,1500.0,16.7,5.0,0.0,5.0,4.0,1.0,2.0,3.0,0.0,7.6,6.0,1.1,7.2,16.0,28.0,76.0,0.3,0.0,0.3,0.24,0.24,0.46,0.07,0.52,0.36,0.43,Matches
Pontus Almqvist,se SWE,FW,24-230,19,17,1473.0,16.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.7,1.7,1.1,2.8,59.0,23.0,103.0,0.12,0.0,0.12,0.12,0.12,0.1,0.07,0.17,0.1,0.17,Matches
Antonino Gallo,it ITA,DF,24-051,22,17,1396.0,15.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,2.5,2.7,37.0,84.0,57.0,0.0,0.13,0.13,0.0,0.13,0.01,0.16,0.18,0.01,0.18,Matches
Remi Oudin,fr FRA,"MF,FW",27-099,19,15,1238.0,13.8,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.1,1.1,4.3,5.4,19.0,59.0,60.0,0.22,0.07,0.29,0.22,0.29,0.08,0.31,0.39,0.08,0.39,Matches
Mohamed Kaba,fr FRA,MF,22-121,21,14,1284.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.2,1.2,0.8,2.0,13.0,59.0,30.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14,Matches
Lameck Banda,zm ZAM,FW,23-027,16,14,1106.0,12.3,2.0,4.0,6.0,2.0,0.0,0.0,4.0,1.0,2.9,2.9,1.8,4.7,61.0,22.0,119.0,0.16,0.33,0.49,0.16,0.49,0.23,0.15,0.38,0.23,0.38,Matches
Gabriel Strefezza,br BRA,FW,26-313,19,13,1112.0,12.4,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,2.5,1.7,1.2,2.8,34.0,54.0,81.0,0.08,0.0,0.08,0.0,0.0,0.2,0.09,0.29,0.14,0.23,Matches
