Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tijjani Reijnders,nl NED,MF,25-211,24,23,1966.0,21.8,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,2.9,2.9,2.0,4.9,57.0,127.0,58.0,0.09,0.09,0.18,0.09,0.18,0.13,0.09,0.22,0.13,0.22,Matches
Mike Maignan,fr FRA,GK,28-237,22,22,1979.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,Matches
Theo Hernández,fr FRA,DF,26-142,22,22,1967.0,21.9,4.0,2.0,6.0,3.0,1.0,2.0,8.0,0.0,3.7,2.1,3.2,5.3,65.0,107.0,90.0,0.18,0.09,0.27,0.14,0.23,0.17,0.15,0.32,0.1,0.24,Matches
Christian Pulisic,us USA,FW,25-160,23,21,1661.0,18.5,7.0,6.0,13.0,7.0,0.0,0.0,1.0,0.0,3.9,3.9,3.4,7.3,78.0,52.0,170.0,0.38,0.33,0.7,0.38,0.7,0.21,0.18,0.4,0.21,0.4,Matches
Olivier Giroud,fr FRA,FW,37-148,22,20,1620.0,18.0,12.0,8.0,20.0,8.0,4.0,5.0,1.0,1.0,10.6,6.6,3.9,10.5,9.0,19.0,64.0,0.67,0.44,1.11,0.44,0.89,0.59,0.22,0.8,0.37,0.59,Matches
Davide Calabria,it ITA,DF,27-081,21,20,1585.0,17.6,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.6,0.6,1.0,1.5,23.0,90.0,47.0,0.0,0.17,0.17,0.0,0.17,0.03,0.05,0.09,0.03,0.09,Matches
Rafael Leão,pt POR,FW,24-260,22,19,1622.0,18.0,3.0,7.0,10.0,3.0,0.0,0.0,3.0,0.0,3.4,3.4,5.2,8.7,103.0,68.0,180.0,0.17,0.39,0.55,0.17,0.55,0.19,0.29,0.48,0.19,0.48,Matches
Ruben Loftus-Cheek,eng ENG,MF,28-033,21,18,1442.0,16.0,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,2.1,2.1,2.0,4.0,57.0,50.0,87.0,0.31,0.06,0.37,0.31,0.37,0.13,0.12,0.25,0.13,0.25,Matches
Fikayo Tomori,eng ENG,DF,26-068,16,16,1384.0,15.4,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,2.3,2.3,0.0,2.3,13.0,52.0,1.0,0.2,0.0,0.2,0.2,0.2,0.15,0.0,0.15,0.15,0.15,Matches
Malick Thiaw,de GER,DF,22-201,12,12,1014.0,11.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.1,0.2,13.0,46.0,0.0,0.0,0.09,0.09,0.0,0.09,0.01,0.01,0.02,0.01,0.02,Matches
Simon Kjær,dk DEN,DF,34-336,15,12,997.0,11.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,4.0,44.0,0.0,0.0,0.09,0.09,0.0,0.09,0.04,0.05,0.08,0.04,0.08,Matches
Alessandro Florenzi,it ITA,DF,32-351,22,11,1081.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.4,2.1,18.0,64.0,30.0,0.0,0.17,0.17,0.0,0.17,0.05,0.12,0.17,0.05,0.17,Matches
Yacine Adli,fr FRA,MF,23-211,15,11,904.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.7,19.0,70.0,14.0,0.1,0.0,0.1,0.1,0.1,0.03,0.05,0.07,0.03,0.07,Matches
Yunus Musah,us USA,"MF,FW",21-088,20,8,978.0,10.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.6,1.1,25.0,40.0,45.0,0.0,0.09,0.09,0.0,0.09,0.04,0.06,0.1,0.04,0.1,Matches
Rade Krunić,ba BIH,MF,30-141,10,8,687.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.5,0.6,5.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.08,0.02,0.08,Matches
Samuel Chukwueze,ng NGA,FW,24-279,15,7,590.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.2,28.0,24.0,69.0,0.0,0.15,0.15,0.0,0.15,0.12,0.06,0.18,0.12,0.18,Matches
Matteo Gabbia,it ITA,DF,24-127,7,6,547.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.1,0.9,6.0,19.0,0.0,0.16,0.0,0.16,0.16,0.16,0.13,0.02,0.15,0.13,0.15,Matches
Luka Jović,rs SRB,FW,26-064,17,5,581.0,6.5,5.0,1.0,6.0,5.0,0.0,0.0,2.0,1.0,3.6,3.6,0.7,4.3,4.0,18.0,31.0,0.77,0.15,0.93,0.77,0.93,0.55,0.11,0.67,0.55,0.67,Matches
Ismaël Bennacer,dz ALG,MF,26-086,8,4,345.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,9.0,16.0,5.0,0.0,0.26,0.26,0.0,0.26,0.08,0.18,0.26,0.08,0.26,Matches
Noah Okafor,ch SUI,"FW,MF",23-277,17,3,501.0,5.6,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.4,2.4,0.0,2.5,17.0,8.0,34.0,0.72,0.0,0.72,0.72,0.72,0.44,0.01,0.44,0.44,0.44,Matches
Tommaso Pobega,it ITA,MF,24-225,9,3,299.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Marco Sportiello,it ITA,GK,31-291,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pierre Kalulu,fr FRA,DF,23-265,4,1,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Mirante,it ITA,GK,40-232,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jan-Carlo Simic,rs SRB,DF,18-299,4,0,146.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,6.0,0.0,0.62,0.0,0.62,0.62,0.62,0.38,0.0,0.38,0.38,0.38,Matches
Luka Romero,ar ARG,"FW,MF",19-099,4,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Davide Bartesaghi,it ITA,"DF,MF",18-058,5,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alejandro Jiménez,es ESP,DF,18-293,3,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Marco Pellegrino,,DF,,1,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Chaka Traorè,ci CIV,FW,19-064,2,0,20.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,2.0,4.5,0.0,4.5,4.5,4.5,0.35,0.0,0.35,0.35,0.35,Matches
Kevin Zeroli,it ITA,MF,19-045,2,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francesco Camarda,it ITA,FW,15-352,2,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Filippo Terracciano,it ITA,FW,21-017,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Bartoccioni,it ITA,GK,19-348,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lorenzo Colombo,it ITA,FW,21-354,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Victor Ehuwa Eletu,ng NGA,MF,18-330,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lapo Nava,it ITA,GK,20-034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Clinton Nsiala,fr FRA,DF,20-039,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.3,25,275,2250.0,25.0,49.0,38.0,87.0,44.0,5.0,7.0,58.0,6.0,39.5,34.1,26.6,60.8,570.0,966.0,959.0,1.96,1.52,3.48,1.76,3.28,1.58,1.07,2.65,1.37,2.43,
Opponent Total,,,27.0,25,275,2250.0,25.0,31.0,22.0,53.0,25.0,6.0,6.0,62.0,3.0,30.7,26.0,19.3,45.3,441.0,881.0,873.0,1.24,0.88,2.12,1.0,1.88,1.23,0.77,2.0,1.04,1.81,
