Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matteo Pessina,it ITA,MF,26-310,26,26,2256.0,25.1,4.0,2.0,6.0,1.0,3.0,4.0,3.0,0.0,3.9,0.8,0.9,1.7,53.0,138.0,30.0,0.16,0.08,0.24,0.04,0.12,0.16,0.04,0.19,0.03,0.07,Matches
Andrea Colpani,it ITA,"MF,FW",24-290,26,25,1843.0,20.5,7.0,2.0,9.0,7.0,0.0,0.0,1.0,0.0,3.7,3.7,3.1,6.8,69.0,87.0,144.0,0.34,0.1,0.44,0.34,0.44,0.18,0.15,0.33,0.18,0.33,Matches
Michele Di Gregorio,it ITA,GK,26-213,23,23,1972.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roberto Gagliardini,it ITA,"MF,DF",29-324,24,23,1900.0,21.1,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,2.6,2.6,1.5,4.1,35.0,102.0,26.0,0.05,0.09,0.14,0.05,0.14,0.12,0.07,0.2,0.12,0.2,Matches
Luca Caldirola,it ITA,DF,33-024,22,21,1859.0,20.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,0.6,1.0,9.0,49.0,8.0,0.05,0.05,0.1,0.05,0.1,0.02,0.03,0.05,0.02,0.05,Matches
Patrick Ciurria,it ITA,"DF,MF",29-016,21,18,1561.0,17.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.5,1.5,2.6,4.1,41.0,68.0,92.0,0.0,0.06,0.06,0.0,0.06,0.09,0.15,0.24,0.09,0.24,Matches
Pablo Marí,es ESP,DF,30-178,22,18,1553.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.3,0.3,0.3,0.6,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Dany Mota,pt POR,"FW,MF",25-299,25,17,1549.0,17.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,3.1,3.1,1.9,5.0,90.0,51.0,111.0,0.17,0.12,0.29,0.17,0.29,0.18,0.11,0.29,0.18,0.29,Matches
Danilo D'Ambrosio,it ITA,DF,35-169,19,15,1360.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.6,0.6,0.2,0.7,9.0,53.0,22.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Giorgos Kyriakopoulos,gr GRE,"DF,MF",28-020,19,15,1293.0,14.4,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,1.2,2.0,53.0,53.0,81.0,0.0,0.21,0.21,0.0,0.21,0.06,0.08,0.14,0.06,0.14,Matches
Lorenzo Colombo,it ITA,FW,21-354,21,15,1273.0,14.1,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,3.2,3.2,0.6,3.8,15.0,24.0,70.0,0.28,0.07,0.35,0.28,0.35,0.23,0.04,0.27,0.23,0.27,Matches
Andrea Carboni,it ITA,DF,23-021,16,11,1095.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,8.0,37.0,13.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
Samuele Birindelli,it ITA,DF,24-221,23,10,1068.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,2.1,2.9,30.0,30.0,79.0,0.0,0.08,0.08,0.0,0.08,0.06,0.18,0.24,0.06,0.24,Matches
Armando Izzo,it ITA,DF,31-360,12,9,728.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.4,1.0,5.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches
Pedro Pereira,pt POR,DF,26-034,17,8,666.0,7.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,16.0,34.0,61.0,0.0,0.27,0.27,0.0,0.27,0.03,0.06,0.09,0.03,0.09,Matches
Valentin Carboni,ar ARG,MF,18-357,19,7,726.0,8.1,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,1.0,2.5,32.0,33.0,49.0,0.25,0.25,0.5,0.25,0.5,0.19,0.12,0.31,0.19,0.31,Matches
Warren Bondo,fr FRA,MF,20-163,14,5,640.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.0,0.6,15.0,22.0,3.0,0.14,0.0,0.14,0.14,0.14,0.08,0.01,0.08,0.08,0.08,Matches
Gianluca Caprari,it ITA,"MF,FW",30-210,4,4,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.9,11.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,0.23,0.33,0.1,0.33,Matches
Alessandro Sorrentino,it ITA,GK,21-328,5,3,368.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuele Vignato,it ITA,"MF,FW",20-001,10,3,343.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,0.2,1.8,13.0,13.0,20.0,0.26,0.0,0.26,0.26,0.26,0.44,0.04,0.48,0.44,0.48,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,31-137,11,3,310.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.5,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches
Milan Đurić,ba BIH,FW,33-279,5,3,307.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.6,1.1,1.0,2.0,10.0,0.0,0.29,0.29,0.0,0.29,0.15,0.17,0.33,0.15,0.33,Matches
Pepín,gq EQG,"MF,FW",27-195,9,2,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,1.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Mirko Marić,hr CRO,FW,28-285,10,1,287.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9,0.9,0.5,1.3,2.0,4.0,30.0,0.31,0.0,0.31,0.31,0.31,0.27,0.15,0.42,0.27,0.42,Matches
Alessio Zerbin,it ITA,"DF,MF",24-359,3,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Daniel Maldini,it ITA,"FW,MF",22-137,3,0,50.0,0.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.8,2.0,3.0,7.0,1.8,1.8,3.6,1.8,3.6,0.45,0.94,1.39,0.45,1.39,Matches
