Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Bryan Cristante,it ITA,"MF,DF",28-359,24,24,2130.0,23.7,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,2.6,2.6,2.3,4.9,24.0,149.0,47.0,0.08,0.08,0.17,0.08,0.17,0.11,0.1,0.21,0.11,0.21,Matches
Gianluca Mancini,it ITA,DF,27-314,24,24,2012.0,22.4,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.7,1.7,0.8,2.5,22.0,92.0,11.0,0.13,0.04,0.18,0.13,0.18,0.07,0.04,0.11,0.07,0.11,Matches
Rui Patrício,pt POR,GK,36-010,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Romelu Lukaku,be BEL,FW,30-288,22,21,1853.0,20.6,9.0,1.0,10.0,9.0,0.0,1.0,3.0,1.0,7.2,6.4,1.5,7.9,28.0,27.0,167.0,0.44,0.05,0.49,0.44,0.49,0.35,0.07,0.42,0.31,0.38,Matches
Leandro Paredes,ar ARG,MF,29-241,23,21,1774.0,19.7,2.0,4.0,6.0,0.0,2.0,2.0,11.0,0.0,2.2,0.6,1.7,2.4,19.0,126.0,12.0,0.1,0.2,0.3,0.0,0.2,0.11,0.09,0.2,0.03,0.12,Matches
Diego Llorente,es ESP,DF,30-193,22,20,1630.0,18.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.5,0.6,12.0,48.0,3.0,0.0,0.06,0.06,0.0,0.06,0.0,0.03,0.03,0.0,0.03,Matches
Paulo Dybala,ar ARG,"FW,MF",30-102,17,17,1259.0,14.0,8.0,6.0,14.0,3.0,5.0,5.0,3.0,0.0,7.8,3.9,2.2,6.1,52.0,86.0,111.0,0.57,0.43,1.0,0.21,0.64,0.56,0.16,0.72,0.28,0.44,Matches
Obite N'Dicka,ci CIV,DF,24-189,15,15,1332.0,14.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.0,10.0,40.0,8.0,0.0,0.07,0.07,0.0,0.07,0.03,0.04,0.07,0.03,0.07,Matches
Rasmus Nissen,dk DEN,DF,26-229,23,14,1367.0,15.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.1,0.1,0.8,1.0,15.0,33.0,97.0,0.07,0.07,0.13,0.07,0.13,0.01,0.06,0.06,0.01,0.06,Matches
Edoardo Bove,it ITA,MF,21-285,22,14,1343.0,14.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.9,1.9,0.5,2.4,12.0,62.0,37.0,0.0,0.13,0.13,0.0,0.13,0.13,0.04,0.16,0.13,0.16,Matches
Leonardo Spinazzola,it ITA,DF,30-337,17,13,1069.0,11.9,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,2.8,3.0,88.0,38.0,59.0,0.08,0.17,0.25,0.08,0.25,0.02,0.24,0.26,0.02,0.26,Matches
Stephan El Shaarawy,it ITA,"FW,DF",31-121,22,12,1133.0,12.6,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,1.7,1.7,1.5,3.2,36.0,29.0,80.0,0.24,0.24,0.48,0.24,0.48,0.14,0.12,0.26,0.14,0.26,Matches
Rick Karsdorp,nl NED,DF,29-014,14,12,982.0,10.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,2.1,2.5,12.0,28.0,55.0,0.0,0.18,0.18,0.0,0.18,0.04,0.19,0.22,0.04,0.22,Matches
Lorenzo Pellegrini,it ITA,MF,27-251,17,11,1076.0,12.0,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,2.5,2.5,1.6,4.2,29.0,54.0,53.0,0.42,0.25,0.67,0.42,0.67,0.21,0.14,0.35,0.21,0.35,Matches
Nicola Zalewski,pl POL,"DF,FW",22-033,17,7,693.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,1.2,1.6,37.0,25.0,36.0,0.0,0.13,0.13,0.0,0.13,0.05,0.15,0.2,0.05,0.2,Matches
Andrea Belotti,it ITA,FW,30-067,14,6,679.0,7.5,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.4,2.4,1.2,3.6,15.0,8.0,49.0,0.4,0.27,0.66,0.4,0.66,0.32,0.16,0.48,0.32,0.48,Matches
Houssem Aouar,dz ALG,MF,25-240,11,5,449.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.2,1.2,0.3,1.6,12.0,16.0,18.0,0.4,0.0,0.4,0.4,0.4,0.24,0.07,0.31,0.24,0.31,Matches
Dean Huijsen,nl NED,DF,18-317,7,3,322.0,3.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.4,0.4,0.0,0.4,3.0,6.0,2.0,0.56,0.0,0.56,0.56,0.56,0.12,0.0,0.12,0.12,0.12,Matches
Chris Smalling,eng ENG,DF,34-095,4,3,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.15,0.02,0.15,Matches
Angeliño,es ESP,DF,27-052,3,3,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Zeki Çelik,tr TUR,DF,27-008,10,2,258.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,3.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches
Mile Svilar,rs SRB,GK,24-182,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Sardar Azmoun,ir IRN,"FW,MF",29-055,15,1,341.0,3.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,0.8,2.8,2.0,8.0,25.0,0.53,0.0,0.53,0.53,0.53,0.52,0.21,0.73,0.52,0.73,Matches
Renato Sanches,pt POR,MF,26-191,5,1,119.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,5.0,10.0,5.0,0.76,0.0,0.76,0.76,0.76,0.06,0.17,0.23,0.06,0.23,Matches
Tommaso Baldanzi,it ITA,"FW,MF",20-339,3,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches
Riccardo Pagano,it ITA,"MF,DF",19-089,4,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.18,0.1,0.18,Matches
