Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antonio Candreva,it ITA,"MF,FW",36-362,25,24,2044.0,22.7,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,3.1,3.1,4.2,7.3,47.0,97.0,141.0,0.22,0.22,0.44,0.22,0.44,0.14,0.19,0.32,0.14,0.32,Matches
Domagoj Bradarić,hr CRO,DF,24-077,25,21,1953.0,21.7,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,1.0,1.6,41.0,53.0,88.0,0.0,0.14,0.14,0.0,0.14,0.03,0.05,0.07,0.03,0.07,Matches
Guillermo Ochoa,mx MEX,GK,38-227,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Norbert Gyömbér,sk SVK,DF,31-237,19,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.2,0.3,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Pasquale Mazzocchi,it ITA,DF,28-213,18,16,1272.0,14.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.3,1.6,36.0,36.0,62.0,0.0,0.07,0.07,0.0,0.07,0.02,0.09,0.11,0.02,0.11,Matches
Lassana Coulibaly,ml MLI,MF,27-321,17,15,1269.0,14.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.3,0.5,22.0,43.0,24.0,0.0,0.07,0.07,0.0,0.07,0.02,0.02,0.04,0.02,0.04,Matches
Grigoris Kastanos,cy CYP,"MF,DF",26-026,22,15,1235.0,13.7,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.5,2.5,2.6,5.1,20.0,62.0,60.0,0.15,0.22,0.36,0.15,0.36,0.19,0.19,0.37,0.19,0.37,Matches
Lorenzo Pirola,it ITA,DF,22-005,17,15,1205.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.0,0.6,8.0,35.0,7.0,0.07,0.0,0.07,0.07,0.07,0.05,0.0,0.05,0.05,0.05,Matches
Giulio Maggiore,it ITA,MF,25-350,19,13,1235.0,13.7,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.8,0.8,0.6,1.4,3.0,45.0,19.0,0.07,0.0,0.07,0.07,0.07,0.06,0.05,0.1,0.06,0.1,Matches
