Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andrea Pinamonti,it ITA,FW,24-282,25,25,2019.0,22.4,9.0,0.0,9.0,8.0,1.0,2.0,2.0,0.0,6.3,4.7,0.8,5.5,11.0,25.0,93.0,0.4,0.0,0.4,0.36,0.36,0.28,0.04,0.32,0.21,0.25,Matches
Armand Lauriente,fr FRA,FW,25-083,25,24,1931.0,21.5,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,3.1,3.1,3.4,6.5,84.0,74.0,180.0,0.05,0.19,0.23,0.05,0.23,0.14,0.16,0.3,0.14,0.3,Matches
Andrea Consigli,it ITA,GK,37-029,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Martin Erlic,hr CRO,DF,26-032,22,21,1815.0,20.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.0,0.9,14.0,55.0,7.0,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,Matches
Matheus Henrique,br BRA,MF,26-068,19,19,1701.0,18.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.2,2.2,0.9,3.1,28.0,64.0,29.0,0.11,0.05,0.16,0.11,0.16,0.12,0.05,0.16,0.12,0.16,Matches
Daniel Boloca,ro ROU,MF,25-065,21,19,1595.0,17.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.5,0.5,0.4,0.9,18.0,85.0,11.0,0.06,0.0,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,Matches
Jeremy Toljan,de GER,DF,29-201,18,18,1614.0,17.9,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.4,1.8,34.0,60.0,64.0,0.0,0.28,0.28,0.0,0.28,0.02,0.08,0.1,0.02,0.1,Matches
Kristian Thorstvedt,no NOR,MF,24-349,22,18,1516.0,16.8,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,3.3,3.3,1.1,4.3,23.0,88.0,61.0,0.24,0.0,0.24,0.24,0.24,0.19,0.06,0.26,0.19,0.26,Matches
Domenico Berardi,it ITA,FW,29-208,16,16,1372.0,15.2,9.0,3.0,12.0,4.0,5.0,5.0,6.0,0.0,6.5,2.5,2.9,5.4,34.0,78.0,118.0,0.59,0.2,0.79,0.26,0.46,0.42,0.19,0.61,0.16,0.35,Matches
