Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Vanja Milinković-Savić,rs SRB,GK,27-005,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Raoul Bellanova,it ITA,"DF,MF",23-284,24,23,1958.0,21.8,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,3.2,4.8,95.0,68.0,131.0,0.05,0.18,0.23,0.05,0.23,0.08,0.15,0.22,0.08,0.22,Matches
Ricardo Rodríguez,ch SUI,DF,31-184,23,23,1854.0,20.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.5,0.6,50.0,89.0,21.0,0.0,0.05,0.05,0.0,0.05,0.01,0.02,0.03,0.01,0.03,Matches
Duván Zapata,co COL,FW,32-330,22,21,1786.0,19.8,7.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,6.9,6.9,2.4,9.2,48.0,33.0,163.0,0.35,0.15,0.5,0.35,0.5,0.35,0.12,0.46,0.35,0.46,Matches
Nikola Vlašić,hr CRO,"MF,FW",26-144,23,20,1771.0,19.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.6,1.6,2.4,4.1,42.0,98.0,122.0,0.1,0.1,0.2,0.1,0.2,0.08,0.12,0.21,0.08,0.21,Matches
Valentino Lazaro,at AUT,"DF,MF",27-338,23,18,1649.0,18.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,2.2,3.6,46.0,79.0,85.0,0.0,0.11,0.11,0.0,0.11,0.08,0.12,0.2,0.08,0.2,Matches
Alessandro Buongiorno,it ITA,DF,24-264,18,18,1556.0,17.3,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.5,1.5,0.1,1.6,10.0,42.0,6.0,0.17,0.0,0.17,0.17,0.17,0.09,0.01,0.09,0.09,0.09,Matches
Ivan Ilić,rs SRB,MF,22-345,23,18,1545.0,17.2,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.9,0.9,4.6,5.5,42.0,109.0,41.0,0.12,0.12,0.23,0.12,0.23,0.05,0.27,0.32,0.05,0.32,Matches
Samuele Ricci,it ITA,MF,22-188,21,18,1468.0,16.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.5,2.6,31.0,87.0,51.0,0.06,0.12,0.18,0.06,0.18,0.07,0.09,0.16,0.07,0.16,Matches
