Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nehuén Pérez,ar ARG,DF,23-246,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.1,1.1,0.1,1.2,23.0,89.0,19.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Walace,br BRA,MF,28-327,26,26,2253.0,25.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.7,0.7,1.0,1.7,29.0,87.0,15.0,0.08,0.0,0.08,0.08,0.08,0.03,0.04,0.07,0.03,0.07,Matches
Lorenzo Lucca,it ITA,FW,23-168,26,19,1689.0,18.8,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,5.5,5.5,1.1,6.6,6.0,13.0,77.0,0.32,0.16,0.48,0.32,0.48,0.29,0.06,0.35,0.29,0.35,Matches
Lazar Samardzic,rs SRB,MF,22-001,24,19,1575.0,17.5,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,1.9,1.9,2.9,4.8,44.0,57.0,46.0,0.17,0.11,0.29,0.17,0.29,0.11,0.17,0.27,0.11,0.27,Matches
Festy Ebosele,ie IRL,DF,21-207,25,19,1521.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.8,2.4,63.0,30.0,83.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.14,0.04,0.14,Matches
Sandi Lovrić,si SVN,MF,25-334,24,17,1621.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,2.3,2.3,2.9,5.2,44.0,72.0,66.0,0.06,0.17,0.22,0.06,0.22,0.13,0.16,0.29,0.13,0.29,Matches
Marco Silvestri,it ITA,GK,32-360,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Thomas Kristensen,dk DEN,DF,22-039,17,15,1331.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,0.0,0.2,14.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches
Hassane Kamara,ci CIV,DF,29-357,23,15,1268.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.2,2.1,33.0,42.0,51.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15,Matches
Roberto Pereyra,ar ARG,"FW,MF",33-049,19,15,1242.0,13.8,3.0,2.0,5.0,2.0,1.0,1.0,5.0,0.0,3.0,2.2,1.5,3.7,26.0,46.0,64.0,0.22,0.14,0.36,0.14,0.29,0.21,0.11,0.33,0.16,0.27,Matches
Florian Thauvin,fr FRA,FW,31-030,24,14,1262.0,14.0,4.0,1.0,5.0,3.0,1.0,1.0,4.0,0.0,3.8,3.0,2.8,5.8,53.0,49.0,77.0,0.29,0.07,0.36,0.21,0.29,0.27,0.2,0.47,0.21,0.41,Matches
João Ferreira,pt POR,DF,22-340,23,13,1302.0,14.5,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.1,0.1,0.8,0.9,12.0,36.0,35.0,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,Matches
Jaka Bijol,si SVN,DF,25-020,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches
Martín Payero,ar ARG,MF,25-167,19,12,1070.0,11.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.1,1.1,0.6,1.7,30.0,51.0,44.0,0.08,0.08,0.17,0.08,0.17,0.09,0.05,0.14,0.09,0.14,Matches
Jordan Zemura,zw ZIM,DF,24-103,19,10,919.0,10.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,22.0,26.0,45.0,0.1,0.0,0.1,0.1,0.1,0.08,0.03,0.1,0.08,0.1,Matches
Christian Kabasele,be BEL,DF,33-001,11,10,859.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.5,1.6,7.0,22.0,1.0,0.1,0.1,0.21,0.1,0.21,0.12,0.05,0.17,0.12,0.17,Matches
Maduka Okoye,ng NGA,GK,24-181,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Isaac Success,ng NGA,FW,28-049,21,7,752.0,8.4,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,2.4,1.6,1.0,2.6,14.0,13.0,46.0,0.0,0.12,0.12,0.0,0.12,0.29,0.12,0.41,0.19,0.31,Matches
Lautaro Gianetti,ar ARG,DF,30-104,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,0.0,2.0,0.0,0.25,0.0,0.25,0.25,0.25,0.08,0.0,0.08,0.08,0.08,Matches
Kingsley Ehizibue,nl NED,DF,28-276,12,3,381.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.6,9.0,10.0,22.0,0.0,0.24,0.24,0.0,0.24,0.11,0.03,0.13,0.11,0.13,Matches
Oier Zarraga,es ESP,"MF,DF",25-052,8,1,113.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,3.0,4.0,5.0,0.8,0.0,0.8,0.8,0.8,0.32,0.04,0.36,0.32,0.36,Matches
Beto,gw GNB,FW,26-025,1,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,Matches
Adam Masina,ma MAR,DF,30-054,4,1,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Axel Guessand,fr FRA,DF,19-111,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
